Record,Fixture,Arm,Kind,Elapsed_s
DEV01_BASELINE_clean,DEV01,BASELINE,clean,4.6021505
DEV01_BASELINE_exposed,DEV01,BASELINE,exposed,7.3996893
DEV01_EM_ONLY_clean,DEV01,EM_ONLY,clean,3.3459347
DEV01_EM_ONLY_exposed,DEV01,EM_ONLY,exposed,7.6223189
DEV01_SW_ONLY_clean,DEV01,SW_ONLY,clean,4.1417534
DEV01_SW_ONLY_exposed,DEV01,SW_ONLY,exposed,8.0977483
DEV01_COMBINED_clean,DEV01,COMBINED,clean,4.146785
DEV01_COMBINED_exposed,DEV01,COMBINED,exposed,8.5290636
DEV02_BASELINE_clean,DEV02,BASELINE,clean,3.1050297
DEV02_BASELINE_exposed,DEV02,BASELINE,exposed,11.951564
DEV02_EM_ONLY_clean,DEV02,EM_ONLY,clean,3.0839494
DEV02_EM_ONLY_exposed,DEV02,EM_ONLY,exposed,13.167614
DEV02_SW_ONLY_clean,DEV02,SW_ONLY,clean,4.3210136
DEV02_SW_ONLY_exposed,DEV02,SW_ONLY,exposed,8.5751052
DEV02_COMBINED_clean,DEV02,COMBINED,clean,3.969993
DEV02_COMBINED_exposed,DEV02,COMBINED,exposed,8.0714746
