Case,Cdiff_pF,Ccp_pF,InitialA,MaxStep_ns,Samples,Warnings,VoltageError_V,DifferentialError_V,CommonModeError_V,EventSequenceExact,EventTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,DomainPass,GridPass,FinitePass,InitialError,Pass,Elapsed_s,Error
Cd100_Ccp30_A0,100,30,0,0.5,185780,0,7.27805343503363e-06,1.35300768553392e-05,2.6137370601198e-06,1,6.18407362197224e-06,1,1.09298590414853e-07,1,1,1,1,1.33226762955019e-15,1,13.6523312,
Cd100_Ccp30_A0,100,30,0,0.25,275735,0,7.27784865861558e-06,1.35296786871741e-05,2.62230517167339e-06,1,6.36814108119065e-06,1,3.76544261537163e-08,1,1,1,1,1.33226762955019e-15,1,6.4841015,
Cd100_Ccp30_A0,100,30,0,0.125,455198,0,7.74573275164059e-06,1.43767467566391e-05,2.6167946047817e-06,1,6.32506267955919e-06,1,9.09145873276458e-08,1,1,1,1,1.33226762955019e-15,1,8.8360148,
Cd100_Ccp30_A1,100,30,1,0.5,190073,0,7.33218416959502e-06,1.36351002166801e-05,3.20558107014257e-06,1,1.52108889177847e-05,1,1.52108889177847e-05,1,1,1,1,6.66133814775094e-16,1,4.8889719,
Cd100_Ccp30_A1,100,30,1,0.25,275452,0,7.33211979797588e-06,1.36349753678822e-05,3.19575843654718e-06,1,1.52748310114565e-05,1,1.52748310114565e-05,1,1,1,1,6.66133814775094e-16,1,6.4853075,
Cd100_Ccp30_A1,100,30,1,0.125,455104,0,7.77584838473899e-06,1.44322479640469e-05,3.21114565093872e-06,1,1.44788559397133e-05,1,1.44788559397133e-05,1,1,1,1,6.66133814775094e-16,1,11.2464779,
Cd100_Ccp300_A0,100,300,0,0.5,188031,0,7.43952719357566e-05,6.95417866543036e-05,3.96243786086048e-05,1,0.000294103778060873,1,0.000294103778060873,1,0,1,1,1.57651669496772e-14,1,9.1349195,
Cd100_Ccp300_A0,100,300,0,0.25,277883,0,7.4395209214817e-05,6.95417280320854e-05,3.96243451988854e-05,1,0.000293967218562084,1,0.000293967218562084,1,0,1,1,1.57651669496772e-14,1,11.4619962,
Cd100_Ccp300_A0,100,300,0,0.125,485169,0,8.01782815091912e-05,7.49450246113614e-05,4.27057692035104e-05,1,0.000296473044834341,1,0.000296473044834341,1,0,1,1,1.57651669496772e-14,1,13.7877204,
Cd100_Ccp300_A1,100,300,1,0.5,188572,0,7.44175836593364e-05,6.95626411655326e-05,3.96362630767921e-05,1,0.000578601834887583,1,8.56097470339342e-07,1,0,1,1,7.54951656745106e-15,1,7.3831233,
Cd100_Ccp300_A1,100,300,1,0.25,281378,0,7.4417567981877e-05,6.95626265148075e-05,3.96362547245843e-05,1,0.000578588437367457,1,8.57942308098462e-07,1,0,1,1,7.54951656745106e-15,1,9.1093545,
