Record,Fixture,Arm,Exposed,MaxAbsCommonMode_V,DomainPass,FirstDomainExit_s,CleanSequencePass,CleanDelayPass,CleanMaximumDelay_s,CleanCountConservationPass,Engine
DEV01_BASELINE_clean,DEV01,BASELINE,0,2.52593509005406,1,NaN,1,1,6.66450989950107e-08,1,fourway_exact_cc1fdc1322a41157
DEV01_BASELINE_exposed,DEV01,BASELINE,1,3.34750050200855,1,NaN,0,0,NaN,0,fourway_exact_cc1fdc1322a41157
DEV01_EM_ONLY_clean,DEV01,EM_ONLY,0,2.55143157306474,1,NaN,1,1,1.07852225372795e-07,1,fourway_exact_cc1fdc1322a41157
DEV01_EM_ONLY_exposed,DEV01,EM_ONLY,1,3.34750776203227,1,NaN,0,0,NaN,0,fourway_exact_cc1fdc1322a41157
DEV01_SW_ONLY_clean,DEV01,SW_ONLY,0,2.52593509005406,1,NaN,1,1,6.66450989950107e-08,1,fourway_exact_cc1fdc1322a41157
DEV01_SW_ONLY_exposed,DEV01,SW_ONLY,1,3.34750050200855,1,NaN,0,0,NaN,0,fourway_exact_cc1fdc1322a41157
DEV01_COMBINED_clean,DEV01,COMBINED,0,2.55143157306474,1,NaN,1,1,1.07852225372795e-07,1,fourway_exact_cc1fdc1322a41157
DEV01_COMBINED_exposed,DEV01,COMBINED,1,3.34750776203227,1,NaN,0,0,NaN,0,fourway_exact_cc1fdc1322a41157
DEV02_BASELINE_clean,DEV02,BASELINE,0,2.54097247588857,1,NaN,1,1,6.91169332878161e-08,1,fourway_exact_cc1fdc1322a41157
DEV02_BASELINE_exposed,DEV02,BASELINE,1,7.5574846311737,0,0.250002044645069,0,0,NaN,0,fourway_exact_cc1fdc1322a41157
DEV02_EM_ONLY_clean,DEV02,EM_ONLY,0,2.51738072018037,1,NaN,1,1,1.09838668382878e-07,1,fourway_exact_cc1fdc1322a41157
DEV02_EM_ONLY_exposed,DEV02,EM_ONLY,1,8.03757142585377,0,0.250002044048897,0,0,NaN,0,fourway_exact_cc1fdc1322a41157
DEV02_SW_ONLY_clean,DEV02,SW_ONLY,0,2.54097247588857,1,NaN,1,1,6.91169332878161e-08,1,fourway_exact_cc1fdc1322a41157
DEV02_SW_ONLY_exposed,DEV02,SW_ONLY,1,7.5574846311737,0,0.250002044645069,0,0,NaN,0,fourway_exact_cc1fdc1322a41157
DEV02_COMBINED_clean,DEV02,COMBINED,0,2.51738072018037,1,NaN,1,1,1.09838668382878e-07,1,fourway_exact_cc1fdc1322a41157
DEV02_COMBINED_exposed,DEV02,COMBINED,1,8.03757142585377,0,0.250002044048897,0,0,NaN,0,fourway_exact_cc1fdc1322a41157
