Case,MaxStep_ns,Samples,RelTol,AbsTol,Warnings,VoltageError_V,DifferentialError_V,EventSequenceExact,EventTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,NativeDomainFailed,ExactDomainFailed,DomainAgreement,GridPass,FinitePass,NumericalPass,RawNativeFile,RawNativeSHA256,Engine
Cd100_Ccp30_A0,0.5,185780,1e-07,1e-10,0,7.27805343503363e-06,1.35300768553392e-05,1,6.18407362197224e-06,1,1.09298590414853e-07,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp30_A0\native_0.5ns\native_raw.mat,0f8b0e4395944e33b062bca0b294f6c0782c8f10fb71835b8047c4bf6eeb52df,fourway_exact_cc1fdc1322a41157
Cd100_Ccp30_A0,0.25,275735,1e-07,1e-10,0,7.27784865861558e-06,1.35296786871741e-05,1,6.36814108119065e-06,1,3.76544261537163e-08,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp30_A0\native_0.25ns\native_raw.mat,c8451413977de086b0a6d3ba0f88c800e3b6386f25d41876ddd2a0ce0a618262,fourway_exact_cc1fdc1322a41157
Cd100_Ccp30_A0,0.125,455198,1e-07,1e-10,0,7.74573275164059e-06,1.43767467566391e-05,1,6.32506267955919e-06,1,9.09145873276458e-08,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp30_A0\native_0.125ns\native_raw.mat,812acf0ce6664b1e869cbe309651d7b51298a5a5fedac4c950d4e10cdbbd9c93,fourway_exact_cc1fdc1322a41157
Cd100_Ccp30_A1,0.5,190073,1e-07,1e-10,0,7.33218416959502e-06,1.36351002164581e-05,1,1.52108889177847e-05,1,1.52108889177847e-05,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp30_A1\native_0.5ns\native_raw.mat,24d713e6ec9774898fce94ef46903b22930c8270a92d0292242cdac6845c6fe7,fourway_exact_cc1fdc1322a41157
Cd100_Ccp30_A1,0.25,275452,1e-07,1e-10,0,7.33211979797588e-06,1.36349753678822e-05,1,1.52748310114565e-05,1,1.52748310114565e-05,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp30_A1\native_0.25ns\native_raw.mat,56f63fa7670528e2bfd23a68a06b4e89c1d8488d52e20d0cdcc5555183f6d6d7,fourway_exact_cc1fdc1322a41157
Cd100_Ccp30_A1,0.125,455104,1e-07,1e-10,0,7.77584838473899e-06,1.44322479638248e-05,1,1.44788559397133e-05,1,1.44788559397133e-05,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp30_A1\native_0.125ns\native_raw.mat,b2c0eb1078485ec821d3add93e08c0e7c871f0ed874037cd1599ff9b0aab4b1e,fourway_exact_cc1fdc1322a41157
Cd100_Ccp300_A0,0.5,188031,1e-07,1e-10,0,7.43952719357566e-05,6.95417866543036e-05,1,0.000294103778060873,1,0.000294103778060873,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp300_A0\native_0.5ns\native_raw.mat,b2d3e940a47a3adc4297d91cde52b1499ebdfa43a7fef04a572199f2b3af2338,fourway_exact_cc1fdc1322a41157
Cd100_Ccp300_A0,0.25,277883,1e-07,1e-10,0,7.4395209214817e-05,6.95417280320854e-05,1,0.000293967218562084,1,0.000293967218562084,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp300_A0\native_0.25ns\native_raw.mat,cfd1abd35be911f006b48ce16338167aca061bddbd509ae6099e93d28409ac6f,fourway_exact_cc1fdc1322a41157
Cd100_Ccp300_A0,0.125,485169,1e-07,1e-10,0,8.01782815091912e-05,7.49450246113614e-05,1,0.000296473044834341,1,0.000296473044834341,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp300_A0\native_0.125ns\native_raw.mat,b992752b23b4cfb521e9e1b77efa0814ca21fe49081f5fd34694d783495ba0e4,fourway_exact_cc1fdc1322a41157
Cd100_Ccp300_A1,0.5,188572,1e-07,1e-10,0,7.44175836593364e-05,6.95626411655326e-05,1,0.000578601834887583,1,8.56097470339342e-07,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp300_A1\native_0.5ns\native_raw.mat,54a41559e50da848e8d68898f8aafd1160ef5ce15779e814764941222b7ee575,fourway_exact_cc1fdc1322a41157
Cd100_Ccp300_A1,0.25,281378,1e-07,1e-10,0,7.4417567981877e-05,6.95626265150295e-05,1,0.000578588437367457,1,8.57942308098462e-07,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd100_Ccp300_A1\native_0.25ns\native_raw.mat,a4d25cf20d7ad684fb8e27af36c420e7ed3cd936069d70cf86e080eebb1dd9e2,fourway_exact_cc1fdc1322a41157
