Case,CoarseStep_ns,FineStep_ns,VoltageError_V,EventSequenceExact,EventTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,NumericalPass
Cd100_Ccp30_A0,0.5,0.25,3.94450101692811e-07,1,1.84067459218411e-07,1,1.46953016568569e-07,1,1
Cd100_Ccp30_A0,0.25,0.125,2.65083038186731e-06,1,1.28569013481362e-07,1,1.28569013481362e-07,1,1
Cd100_Ccp30_A1,0.5,0.25,4.32904792013744e-07,1,6.39420936717535e-08,1,6.39420936717535e-08,1,1
Cd100_Ccp30_A1,0.25,0.125,1.92965453926774e-06,1,7.95975071743232e-07,1,7.95975071743232e-07,1,1
Cd100_Ccp300_A0,0.5,0.25,7.27251942822527e-06,1,2.10962872876103e-07,1,1.36559498789286e-07,1,1
Cd100_Ccp300_A0,0.25,0.125,7.26391431038476e-06,1,2.50582627225686e-06,1,2.50582627225686e-06,1,1
Cd100_Ccp300_A1,0.5,0.25,4.78427015782046e-06,1,2.69890107983638e-08,1,2.75201004562922e-09,1,1
Cd100_Ccp300_A1,0.25,0.125,6.40038984356384e-06,1,3.06219181684785e-06,1,3.50197301712818e-08,1,1
Cd1000_Ccp30_A0,0.5,0.25,1.57082616247806e-07,1,1.1357470495896e-05,1,1.1357470495896e-05,1,1
Cd1000_Ccp30_A0,0.25,0.125,6.60369733651578e-06,1,1.72139249028809e-05,1,1.72139249028809e-05,1,1
Cd1000_Ccp30_A1,0.5,0.25,1.57004543144268e-07,1,5.03696612414242e-08,1,5.03696612414242e-08,1,1
Cd1000_Ccp30_A1,0.25,0.125,6.13060744480975e-06,1,4.94593197811427e-05,1,4.94593197811427e-05,1,1
Cd1000_Ccp300_A0,0.5,0.25,2.32210966810698e-06,1,1.01787949271549e-08,1,6.87367236696865e-10,1,1
Cd1000_Ccp300_A0,0.25,0.125,2.17620321940615e-06,1,5.54747288145259e-08,1,5.54747288145259e-08,1,1
Cd1000_Ccp300_A1,0.5,0.25,2.49546620700869e-06,1,5.08668695814625e-08,1,9.24536461928069e-10,1,1
Cd1000_Ccp300_A1,0.25,0.125,8.73580829008347e-07,1,5.8227077673334e-07,1,5.70900206449398e-10,1,1
