Record,Fixture,Arm,Kind,Elapsed_s
DEV01_BASELINE_clean,DEV01,BASELINE,clean,5.5112433
DEV01_BASELINE_exposed,DEV01,BASELINE,exposed,10.9017222
DEV01_EM_ONLY_clean,DEV01,EM_ONLY,clean,3.8106524
DEV01_EM_ONLY_exposed,DEV01,EM_ONLY,exposed,8.6568925
DEV01_SW_ONLY_clean,DEV01,SW_ONLY,clean,4.5112133
DEV01_SW_ONLY_exposed,DEV01,SW_ONLY,exposed,8.8661055
DEV01_COMBINED_clean,DEV01,COMBINED,clean,4.0995937
DEV01_COMBINED_exposed,DEV01,COMBINED,exposed,9.4712999
DEV02_BASELINE_clean,DEV02,BASELINE,clean,3.5312146
DEV02_BASELINE_exposed,DEV02,BASELINE,exposed,12.8362475
DEV02_EM_ONLY_clean,DEV02,EM_ONLY,clean,3.1390385
DEV02_EM_ONLY_exposed,DEV02,EM_ONLY,exposed,12.6957105
DEV02_SW_ONLY_clean,DEV02,SW_ONLY,clean,4.3291606
DEV02_SW_ONLY_exposed,DEV02,SW_ONLY,exposed,10.097544
DEV02_COMBINED_clean,DEV02,COMBINED,clean,4.2047205
DEV02_COMBINED_exposed,DEV02,COMBINED,exposed,8.8182939
