Fixture,Arm,Burst,LastSourceDerivative_s,RecoveryStart_s,Confirmation_s,Delay_s,Status,WithinLimit
DEV01,BASELINE,1,0.254953081,0.255,0.305,4.69190000000341e-05,recovered,1
DEV01,BASELINE,2,1.704953081,1.705,1.755,4.69190000000896e-05,recovered,1
DEV01,EM_ONLY,1,0.254953081,0.255,0.305,4.69190000000341e-05,recovered,1
DEV01,EM_ONLY,2,1.704953081,1.705,1.755,4.69190000000896e-05,recovered,1
DEV01,SW_ONLY,1,0.254953081,0.255,0.305,4.69190000000341e-05,recovered,1
DEV01,SW_ONLY,2,1.704953081,1.705,1.755,4.69190000000896e-05,recovered,1
DEV01,COMBINED,1,0.254953081,0.255,0.305,4.69190000000341e-05,recovered,1
DEV01,COMBINED,2,1.704953081,1.705,1.755,4.69190000000896e-05,recovered,1
DEV02,BASELINE,1,0.254953081,NaN,NaN,NaN,right_censored,0
DEV02,BASELINE,2,1.704953081,NaN,NaN,NaN,right_censored,0
DEV02,EM_ONLY,1,0.254953081,NaN,NaN,NaN,right_censored,0
DEV02,EM_ONLY,2,1.704953081,NaN,NaN,NaN,right_censored,0
DEV02,SW_ONLY,1,0.254953081,NaN,NaN,NaN,right_censored,0
DEV02,SW_ONLY,2,1.704953081,NaN,NaN,NaN,right_censored,0
DEV02,COMBINED,1,0.254953081,NaN,NaN,NaN,right_censored,0
DEV02,COMBINED,2,1.704953081,NaN,NaN,NaN,right_censored,0
