Scenario,Variant,TimeExact,StateExact,LoopExact,SignalReasonTableExact
clean_step,protected,1,1,1,1
clean_positive_load,protected,1,1,1,1
clean_negative_load,protected,1,1,1,1
clean_reference_reversal,protected,1,1,1,1
benign_noise,protected,1,1,1,1
permitted_delay,protected,1,1,1,1
permitted_delay_jitter,protected,1,1,1,1
mild_model_mismatch,protected,1,1,1,1
unmodelled_small_load,protected,1,1,1,1
encoder_count_jump,protected,1,1,1,1
encoder_gaussian,protected,1,1,1,1
encoder_sinusoidal,protected,1,1,1,1
encoder_dropout,protected,1,1,1,1
encoder_combined,protected,1,1,1,1
negative_count_jump,protected,1,1,1,1
freeze_during_motion,protected,1,1,1,1
freeze_at_rest,protected,1,1,1,1
large_bias,protected,1,1,1,1
subthreshold_bias,protected,1,1,1,1
slow_bias_ramp,protected,1,1,1,1
missing_packet_burst,protected,1,1,1,1
out_of_range_measurement,protected,1,1,1,1
supply_sag,protected,1,1,1,1
supply_interruption,protected,1,1,1,1
combined_phase2b,protected,1,1,1,1
combined_supply,protected,1,1,1,1
loaded_supply_interruption,protected,1,1,1,1
late_fault_censored,protected,1,1,1,1
late_missing_packets,protected,1,1,1,1
clean_step,baseline,1,1,1,1
clean_positive_load,baseline,1,1,1,1
clean_negative_load,baseline,1,1,1,1
clean_reference_reversal,baseline,1,1,1,1
benign_noise,baseline,1,1,1,1
permitted_delay,baseline,1,1,1,1
permitted_delay_jitter,baseline,1,1,1,1
mild_model_mismatch,baseline,1,1,1,1
unmodelled_small_load,baseline,1,1,1,1
encoder_count_jump,baseline,1,1,1,1
encoder_gaussian,baseline,1,1,1,1
encoder_sinusoidal,baseline,1,1,1,1
encoder_dropout,baseline,1,1,1,1
encoder_combined,baseline,1,1,1,1
negative_count_jump,baseline,1,1,1,1
freeze_during_motion,baseline,1,1,1,1
freeze_at_rest,baseline,1,1,1,1
large_bias,baseline,1,1,1,1
subthreshold_bias,baseline,1,1,1,1
slow_bias_ramp,baseline,1,1,1,1
missing_packet_burst,baseline,1,1,1,1
out_of_range_measurement,baseline,1,1,1,1
supply_sag,baseline,1,1,1,1
supply_interruption,baseline,1,1,1,1
combined_phase2b,baseline,1,1,1,1
combined_supply,baseline,1,1,1,1
loaded_supply_interruption,baseline,1,1,1,1
late_fault_censored,baseline,1,1,1,1
late_missing_packets,baseline,1,1,1,1
clean_step_matched_clean,protectedClean,1,1,1,1
clean_positive_load_matched_clean,protectedClean,1,1,1,1
clean_negative_load_matched_clean,protectedClean,1,1,1,1
clean_reference_reversal_matched_clean,protectedClean,1,1,1,1
benign_noise_matched_clean,protectedClean,1,1,1,1
permitted_delay_matched_clean,protectedClean,1,1,1,1
permitted_delay_jitter_matched_clean,protectedClean,1,1,1,1
mild_model_mismatch_matched_clean,protectedClean,1,1,1,1
unmodelled_small_load_matched_clean,protectedClean,1,1,1,1
encoder_count_jump_matched_clean,protectedClean,1,1,1,1
encoder_gaussian_matched_clean,protectedClean,1,1,1,1
encoder_sinusoidal_matched_clean,protectedClean,1,1,1,1
encoder_dropout_matched_clean,protectedClean,1,1,1,1
encoder_combined_matched_clean,protectedClean,1,1,1,1
negative_count_jump_matched_clean,protectedClean,1,1,1,1
