Fixture,Variant,Arm,Ccp_pF,ReturnSensitivityRMSE_deg,ReturnSensitivityPeak_deg,ShortReturnPeakCountError,LongReturnPeakCountError,ShortReturnFinalCountError,LongReturnFinalCountError,ShortReturnDomainNumericsPass,LongReturnDomainNumericsPass
V2CLOS40,V01,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V01,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V01,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V01,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V01,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V01,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V01,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V01,COMBINED,240,0,0,0,0,0,0,1,1
V2CLOS40,V02,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V02,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V02,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V02,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V02,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V02,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V02,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V02,COMBINED,240,0,0,0,0,0,0,1,1
V2CLOS40,V03,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V03,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V03,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V03,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V03,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V03,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V03,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V03,COMBINED,240,0,0,0,0,0,0,1,1
V2CLOS40,V04,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V04,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V04,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V04,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V04,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V04,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V04,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V04,COMBINED,240,0,0,0,0,0,0,1,1
V2CLOS40,V05,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V05,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V05,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V05,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V05,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V05,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V05,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V05,COMBINED,240,0,0,0,0,0,0,1,1
V2CLOS40,V06,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V06,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V06,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V06,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V06,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V06,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V06,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V06,COMBINED,240,0,0,0,0,0,0,1,1
V2CLOS40,V07,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V07,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V07,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V07,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V07,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V07,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V07,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V07,COMBINED,240,0,0,0,0,0,0,1,1
V2CLOS40,V08,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V08,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V08,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V08,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V08,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V08,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V08,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V08,COMBINED,240,0,0,0,0,0,0,1,1
V2CLOS40,V09,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V09,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V09,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V09,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V09,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V09,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V09,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V09,COMBINED,240,0,0,0,0,0,0,1,1
V2CLOS40,V10,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V10,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V10,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V10,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V10,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V10,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V10,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V10,COMBINED,240,0,0,0,0,0,0,1,1
V2CLOS40,V11,BASELINE,40,0,0,0,0,0,0,1,1
V2CLOS40,V11,EM_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V11,SW_ONLY,40,0,0,0,0,0,0,1,1
V2CLOS40,V11,COMBINED,40,0,0,0,0,0,0,1,1
V2CLOS240,V11,BASELINE,240,0,0,0,0,0,0,1,1
V2CLOS240,V11,EM_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V11,SW_ONLY,240,0,0,0,0,0,0,1,1
V2CLOS240,V11,COMBINED,240,0,0,0,0,0,0,1,1
