Record,Fixture,Variant,Arm,Closure_s,Elapsed_s,Status,Error
V2CLOS40_V01_BASELINE_return100ns,V2CLOS40,V01,BASELINE,1e-07,13.7876706,passed,
V2CLOS40_V01_BASELINE_return45000ns,V2CLOS40,V01,BASELINE,4.5e-05,12.0327681,passed,
V2CLOS40_V01_EM_ONLY_return100ns,V2CLOS40,V01,EM_ONLY,1e-07,12.2661558,passed,
V2CLOS40_V01_EM_ONLY_return45000ns,V2CLOS40,V01,EM_ONLY,4.5e-05,11.6466543,passed,
V2CLOS40_V01_SW_ONLY_return100ns,V2CLOS40,V01,SW_ONLY,1e-07,13.8433932,passed,
V2CLOS40_V01_SW_ONLY_return45000ns,V2CLOS40,V01,SW_ONLY,4.5e-05,13.6339392,passed,
V2CLOS40_V01_COMBINED_return100ns,V2CLOS40,V01,COMBINED,1e-07,13.4223121,passed,
V2CLOS40_V01_COMBINED_return45000ns,V2CLOS40,V01,COMBINED,4.5e-05,13.5222422,passed,
V2CLOS240_V01_BASELINE_return100ns,V2CLOS240,V01,BASELINE,1e-07,11.3958753,passed,
V2CLOS240_V01_BASELINE_return45000ns,V2CLOS240,V01,BASELINE,4.5e-05,12.3366883,passed,
V2CLOS240_V01_EM_ONLY_return100ns,V2CLOS240,V01,EM_ONLY,1e-07,13.0747276,passed,
V2CLOS240_V01_EM_ONLY_return45000ns,V2CLOS240,V01,EM_ONLY,4.5e-05,9.6950689,passed,
V2CLOS240_V01_SW_ONLY_return100ns,V2CLOS240,V01,SW_ONLY,1e-07,10.6180581,passed,
V2CLOS240_V01_SW_ONLY_return45000ns,V2CLOS240,V01,SW_ONLY,4.5e-05,10.1318567,passed,
V2CLOS240_V01_COMBINED_return100ns,V2CLOS240,V01,COMBINED,1e-07,10.3464278,passed,
V2CLOS240_V01_COMBINED_return45000ns,V2CLOS240,V01,COMBINED,4.5e-05,9.649928,passed,
V2CLOS40_V02_BASELINE_return100ns,V2CLOS40,V02,BASELINE,1e-07,11.684954,passed,
V2CLOS40_V02_BASELINE_return45000ns,V2CLOS40,V02,BASELINE,4.5e-05,12.7460774,passed,
V2CLOS40_V02_EM_ONLY_return100ns,V2CLOS40,V02,EM_ONLY,1e-07,12.0890592,passed,
V2CLOS40_V02_EM_ONLY_return45000ns,V2CLOS40,V02,EM_ONLY,4.5e-05,11.965788,passed,
V2CLOS40_V02_SW_ONLY_return100ns,V2CLOS40,V02,SW_ONLY,1e-07,14.3030047,passed,
V2CLOS40_V02_SW_ONLY_return45000ns,V2CLOS40,V02,SW_ONLY,4.5e-05,13.593566,passed,
V2CLOS40_V02_COMBINED_return100ns,V2CLOS40,V02,COMBINED,1e-07,13.0752766,passed,
V2CLOS40_V02_COMBINED_return45000ns,V2CLOS40,V02,COMBINED,4.5e-05,13.4018907,passed,
V2CLOS240_V02_BASELINE_return100ns,V2CLOS240,V02,BASELINE,1e-07,11.3573411,passed,
V2CLOS240_V02_BASELINE_return45000ns,V2CLOS240,V02,BASELINE,4.5e-05,11.945947,passed,
V2CLOS240_V02_EM_ONLY_return100ns,V2CLOS240,V02,EM_ONLY,1e-07,12.4715137,passed,
V2CLOS240_V02_EM_ONLY_return45000ns,V2CLOS240,V02,EM_ONLY,4.5e-05,10.4169622,passed,
V2CLOS240_V02_SW_ONLY_return100ns,V2CLOS240,V02,SW_ONLY,1e-07,10.1242187,passed,
V2CLOS240_V02_SW_ONLY_return45000ns,V2CLOS240,V02,SW_ONLY,4.5e-05,10.3334996,passed,
V2CLOS240_V02_COMBINED_return100ns,V2CLOS240,V02,COMBINED,1e-07,10.0238643,passed,
V2CLOS240_V02_COMBINED_return45000ns,V2CLOS240,V02,COMBINED,4.5e-05,10.1441391,passed,
V2CLOS40_V03_BASELINE_return100ns,V2CLOS40,V03,BASELINE,1e-07,10.671808,passed,
V2CLOS40_V03_BASELINE_return45000ns,V2CLOS40,V03,BASELINE,4.5e-05,13.4507603,passed,
V2CLOS40_V03_EM_ONLY_return100ns,V2CLOS40,V03,EM_ONLY,1e-07,11.7693862,passed,
V2CLOS40_V03_EM_ONLY_return45000ns,V2CLOS40,V03,EM_ONLY,4.5e-05,11.6073325,passed,
V2CLOS40_V03_SW_ONLY_return100ns,V2CLOS40,V03,SW_ONLY,1e-07,13.7613712,passed,
V2CLOS40_V03_SW_ONLY_return45000ns,V2CLOS40,V03,SW_ONLY,4.5e-05,13.2612064,passed,
V2CLOS40_V03_COMBINED_return100ns,V2CLOS40,V03,COMBINED,1e-07,12.7562967,passed,
V2CLOS40_V03_COMBINED_return45000ns,V2CLOS40,V03,COMBINED,4.5e-05,12.9209961,passed,
V2CLOS240_V03_BASELINE_return100ns,V2CLOS240,V03,BASELINE,1e-07,11.189963,passed,
