Record,Fixture,Variant,Arm,Kind,Elapsed_s,Status,Error
V2DEV01_V01_BASELINE_clean,V2DEV01,V01,BASELINE,clean,7.7301974,passed,
V2DEV01_V01_BASELINE_exposed,V2DEV01,V01,BASELINE,exposed,8.7162075,passed,
V2DEV01_V01_EM_ONLY_clean,V2DEV01,V01,EM_ONLY,clean,5.7224776,passed,
V2DEV01_V01_EM_ONLY_exposed,V2DEV01,V01,EM_ONLY,exposed,8.0400004,passed,
V2DEV01_V01_SW_ONLY_clean,V2DEV01,V01,SW_ONLY,clean,6.0213525,passed,
V2DEV01_V01_SW_ONLY_exposed,V2DEV01,V01,SW_ONLY,exposed,7.3532413,passed,
V2DEV01_V01_COMBINED_clean,V2DEV01,V01,COMBINED,clean,7.1060904,passed,
V2DEV01_V01_COMBINED_exposed,V2DEV01,V01,COMBINED,exposed,10.0593592,passed,
V2DEV02_V01_BASELINE_clean,V2DEV02,V01,BASELINE,clean,5.7951692,passed,
V2DEV02_V01_BASELINE_exposed,V2DEV02,V01,BASELINE,exposed,8.8982156,passed,
V2DEV02_V01_EM_ONLY_clean,V2DEV02,V01,EM_ONLY,clean,5.9683549,passed,
V2DEV02_V01_EM_ONLY_exposed,V2DEV02,V01,EM_ONLY,exposed,8.6870049,passed,
V2DEV02_V01_SW_ONLY_clean,V2DEV02,V01,SW_ONLY,clean,7.7622461,passed,
V2DEV02_V01_SW_ONLY_exposed,V2DEV02,V01,SW_ONLY,exposed,10.4005169,passed,
V2DEV02_V01_COMBINED_clean,V2DEV02,V01,COMBINED,clean,7.678884,passed,
V2DEV02_V01_COMBINED_exposed,V2DEV02,V01,COMBINED,exposed,10.9098164,passed,
V2DEV01_V02_BASELINE_clean,V2DEV01,V02,BASELINE,clean,7.7937197,passed,
V2DEV01_V02_BASELINE_exposed,V2DEV01,V02,BASELINE,exposed,8.96523,passed,
V2DEV01_V02_EM_ONLY_clean,V2DEV01,V02,EM_ONLY,clean,5.6987658,passed,
V2DEV01_V02_EM_ONLY_exposed,V2DEV01,V02,EM_ONLY,exposed,7.756295,passed,
V2DEV01_V02_SW_ONLY_clean,V2DEV01,V02,SW_ONLY,clean,6.0831554,passed,
V2DEV01_V02_SW_ONLY_exposed,V2DEV01,V02,SW_ONLY,exposed,7.4878546,passed,
V2DEV01_V02_COMBINED_clean,V2DEV01,V02,COMBINED,clean,6.7739364,passed,
V2DEV01_V02_COMBINED_exposed,V2DEV01,V02,COMBINED,exposed,10.3167689,passed,
V2DEV02_V02_BASELINE_clean,V2DEV02,V02,BASELINE,clean,5.8025653,passed,
V2DEV02_V02_BASELINE_exposed,V2DEV02,V02,BASELINE,exposed,8.8958873,passed,
V2DEV02_V02_EM_ONLY_clean,V2DEV02,V02,EM_ONLY,clean,5.8640644,passed,
V2DEV02_V02_EM_ONLY_exposed,V2DEV02,V02,EM_ONLY,exposed,8.792554,passed,
V2DEV02_V02_SW_ONLY_clean,V2DEV02,V02,SW_ONLY,clean,7.6918543,passed,
V2DEV02_V02_SW_ONLY_exposed,V2DEV02,V02,SW_ONLY,exposed,10.3035901,passed,
V2DEV02_V02_COMBINED_clean,V2DEV02,V02,COMBINED,clean,7.7519873,passed,
V2DEV02_V02_COMBINED_exposed,V2DEV02,V02,COMBINED,exposed,11.0674972,passed,
V2DEV01_V03_BASELINE_clean,V2DEV01,V03,BASELINE,clean,7.7144747,passed,
V2DEV01_V03_BASELINE_exposed,V2DEV01,V03,BASELINE,exposed,8.5148937,passed,
V2DEV01_V03_EM_ONLY_clean,V2DEV01,V03,EM_ONLY,clean,5.820877,passed,
V2DEV01_V03_EM_ONLY_exposed,V2DEV01,V03,EM_ONLY,exposed,8.01163,passed,
V2DEV01_V03_SW_ONLY_clean,V2DEV01,V03,SW_ONLY,clean,6.2945161,passed,
V2DEV01_V03_SW_ONLY_exposed,V2DEV01,V03,SW_ONLY,exposed,7.3834691,passed,
V2DEV01_V03_COMBINED_clean,V2DEV01,V03,COMBINED,clean,7.253403,passed,
V2DEV01_V03_COMBINED_exposed,V2DEV01,V03,COMBINED,exposed,10.1236613,passed,
V2DEV02_V03_BASELINE_clean,V2DEV02,V03,BASELINE,clean,5.7666304,passed,
V2DEV02_V03_BASELINE_exposed,V2DEV02,V03,BASELINE,exposed,8.8247411,passed,
V2DEV02_V03_EM_ONLY_clean,V2DEV02,V03,EM_ONLY,clean,5.9160636,passed,
V2DEV02_V03_EM_ONLY_exposed,V2DEV02,V03,EM_ONLY,exposed,8.7868506,passed,
V2DEV02_V03_SW_ONLY_clean,V2DEV02,V03,SW_ONLY,clean,7.5999985,passed,
V2DEV02_V03_SW_ONLY_exposed,V2DEV02,V03,SW_ONLY,exposed,10.3776188,passed,
V2DEV02_V03_COMBINED_clean,V2DEV02,V03,COMBINED,clean,7.918065,passed,
V2DEV02_V03_COMBINED_exposed,V2DEV02,V03,COMBINED,exposed,10.9913715,passed,
