Fixture,Variant,Arm,Ccp_pF,Ccn_pF,TaskSign,Phase_ns,EMICountPeak_counts,EMICountFinal_counts,WindowPairedRMSE_deg,WindowPairedPeak_deg,ExecutionGuardPass,TaskSuccess
V2EVAL05,V01,BASELINE,120,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL05,V01,SW_ONLY,120,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL07,V01,BASELINE,120,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL07,V01,SW_ONLY,120,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL09,V01,BASELINE,240,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL09,V01,SW_ONLY,240,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL11,V01,BASELINE,240,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL11,V01,SW_ONLY,240,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL05,V02,BASELINE,120,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL05,V02,SW_ONLY,120,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL07,V02,BASELINE,120,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL07,V02,SW_ONLY,120,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL09,V02,BASELINE,240,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL09,V02,SW_ONLY,240,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL11,V02,BASELINE,240,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL11,V02,SW_ONLY,240,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL05,V05,BASELINE,120,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL05,V05,SW_ONLY,120,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL07,V05,BASELINE,120,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL07,V05,SW_ONLY,120,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL09,V05,BASELINE,240,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL09,V05,SW_ONLY,240,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL11,V05,BASELINE,240,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL11,V05,SW_ONLY,240,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL05,V06,BASELINE,120,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL05,V06,SW_ONLY,120,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL07,V06,BASELINE,120,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL07,V06,SW_ONLY,120,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL09,V06,BASELINE,240,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL09,V06,SW_ONLY,240,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL11,V06,BASELINE,240,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL11,V06,SW_ONLY,240,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL05,V09,BASELINE,120,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL05,V09,SW_ONLY,120,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL07,V09,BASELINE,120,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL07,V09,SW_ONLY,120,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL09,V09,BASELINE,240,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL09,V09,SW_ONLY,240,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL11,V09,BASELINE,240,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL11,V09,SW_ONLY,240,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL05,V10,BASELINE,120,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL05,V10,SW_ONLY,120,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL07,V10,BASELINE,120,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL07,V10,SW_ONLY,120,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL09,V10,BASELINE,240,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL09,V10,SW_ONLY,240,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL11,V10,BASELINE,240,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL11,V10,SW_ONLY,240,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL05,V13,BASELINE,120,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL05,V13,SW_ONLY,120,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL07,V13,BASELINE,120,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL07,V13,SW_ONLY,120,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL09,V13,BASELINE,240,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL09,V13,SW_ONLY,240,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL11,V13,BASELINE,240,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL11,V13,SW_ONLY,240,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL05,V14,BASELINE,120,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL05,V14,SW_ONLY,120,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL07,V14,BASELINE,120,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL07,V14,SW_ONLY,120,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
V2EVAL09,V14,BASELINE,240,7,1,-75,1,0,0.00119630321528485,0.00233257721312445,1,1
V2EVAL09,V14,SW_ONLY,240,7,1,-75,1,0,6.52920835654622e-05,0.000216188119413851,1,1
V2EVAL11,V14,BASELINE,240,7,-1,-75,1,0,0.00150907266516772,0.00283883633699674,1,1
V2EVAL11,V14,SW_ONLY,240,7,-1,-75,1,0,0.00103852620266704,0.00176853484027804,1,1
