Record,Fixture,Variant,Arm,Kind,Elapsed_s,Status,Error
V2EVAL01_V01_BASELINE_clean,V2EVAL01,V01,BASELINE,clean,15.8211706,passed,
V2EVAL01_V01_BASELINE_exposed,V2EVAL01,V01,BASELINE,exposed,17.4072039,passed,
V2EVAL01_V01_EM_ONLY_clean,V2EVAL01,V01,EM_ONLY,clean,12.2214052,passed,
V2EVAL01_V01_EM_ONLY_exposed,V2EVAL01,V01,EM_ONLY,exposed,14.9236927,passed,
V2EVAL01_V01_SW_ONLY_clean,V2EVAL01,V01,SW_ONLY,clean,13.9033331,passed,
V2EVAL01_V01_SW_ONLY_exposed,V2EVAL01,V01,SW_ONLY,exposed,16.1813454,passed,
V2EVAL01_V01_COMBINED_clean,V2EVAL01,V01,COMBINED,clean,10.8002656,passed,
V2EVAL01_V01_COMBINED_exposed,V2EVAL01,V01,COMBINED,exposed,16.5123021,passed,
V2EVAL02_V01_BASELINE_clean,V2EVAL02,V01,BASELINE,clean,8.5981239,passed,
V2EVAL02_V01_BASELINE_exposed,V2EVAL02,V01,BASELINE,exposed,14.0147859,passed,
V2EVAL02_V01_EM_ONLY_clean,V2EVAL02,V01,EM_ONLY,clean,9.5256107,passed,
V2EVAL02_V01_EM_ONLY_exposed,V2EVAL02,V01,EM_ONLY,exposed,13.3821443,passed,
V2EVAL02_V01_SW_ONLY_clean,V2EVAL02,V01,SW_ONLY,clean,10.2099337,passed,
V2EVAL02_V01_SW_ONLY_exposed,V2EVAL02,V01,SW_ONLY,exposed,14.5109912,passed,
V2EVAL02_V01_COMBINED_clean,V2EVAL02,V01,COMBINED,clean,10.1395808,passed,
V2EVAL02_V01_COMBINED_exposed,V2EVAL02,V01,COMBINED,exposed,14.8457533,passed,
V2EVAL03_V01_BASELINE_clean,V2EVAL03,V01,BASELINE,clean,7.4601848,passed,
V2EVAL03_V01_BASELINE_exposed,V2EVAL03,V01,BASELINE,exposed,11.5191471,passed,
V2EVAL03_V01_EM_ONLY_clean,V2EVAL03,V01,EM_ONLY,clean,7.6381049,passed,
V2EVAL03_V01_EM_ONLY_exposed,V2EVAL03,V01,EM_ONLY,exposed,12.8254059,passed,
V2EVAL03_V01_SW_ONLY_clean,V2EVAL03,V01,SW_ONLY,clean,10.095896,passed,
V2EVAL03_V01_SW_ONLY_exposed,V2EVAL03,V01,SW_ONLY,exposed,13.544747,passed,
V2EVAL03_V01_COMBINED_clean,V2EVAL03,V01,COMBINED,clean,9.6390482,passed,
V2EVAL03_V01_COMBINED_exposed,V2EVAL03,V01,COMBINED,exposed,12.0161885,passed,
V2EVAL04_V01_BASELINE_clean,V2EVAL04,V01,BASELINE,clean,8.1696611,passed,
V2EVAL04_V01_BASELINE_exposed,V2EVAL04,V01,BASELINE,exposed,11.4009017,passed,
V2EVAL04_V01_EM_ONLY_clean,V2EVAL04,V01,EM_ONLY,clean,7.5676087,passed,
V2EVAL04_V01_EM_ONLY_exposed,V2EVAL04,V01,EM_ONLY,exposed,12.0383252,passed,
V2EVAL04_V01_SW_ONLY_clean,V2EVAL04,V01,SW_ONLY,clean,10.1692989,passed,
V2EVAL04_V01_SW_ONLY_exposed,V2EVAL04,V01,SW_ONLY,exposed,11.545072,passed,
V2EVAL04_V01_COMBINED_clean,V2EVAL04,V01,COMBINED,clean,10.2314277,passed,
