Case,Ccp_pF,Ccn_pF,Cdiff_pF,InitialA,MaxStep_ns,Samples,Warnings,RelTol,AbsTol,PointwiseVoltageError_V,DifferentialError_V,InitialError,GridPass,FinitePass,KCLPass,Pass,RawFile,RawSHA256,DomainRejected
Cd100_Ccp40_Ccn7_A0,40,7,100,0,0.5,226680,0,1e-09,1e-12,1.35604947049117e-07,2.44110887726023e-07,1.77635683940025e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp40_Ccn7_A0\native_0.5ns\native_raw.mat,280fed8f1c623d70ebbf857ab2cdd431db344b38510ff577dcb2e41d525a5e64,0
Cd100_Ccp40_Ccn7_A0,40,7,100,0,0.25,311830,0,1e-09,1e-12,1.35605249917958e-07,2.44111518776791e-07,1.77635683940025e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp40_Ccn7_A0\native_0.25ns\native_raw.mat,0d7cf980c98035f7806da14817e4592a32bf900ffd34bd09be624a4892f92b10,0
Cd100_Ccp40_Ccn7_A0,40,7,100,0,0.125,555298,0,1e-09,1e-12,1.43647975514583e-07,2.59252652456965e-07,1.77635683940025e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp40_Ccn7_A0\native_0.125ns\native_raw.mat,1aa7424ea7c383ee907e9b91fe411e1be3ef932fb32893f6adbfa2844ef78522,0
Cd100_Ccp40_Ccn7_A1,40,7,100,1,0.5,229455,0,1e-09,1e-12,1.58234495284404e-07,2.88729519404285e-07,2.22044604925031e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp40_Ccn7_A1\native_0.5ns\native_raw.mat,a316962949ab2ecf52774c5b6ba9d654fe1630d03a8b6de1a0fbdfe111500554,0
Cd100_Ccp40_Ccn7_A1,40,7,100,1,0.25,309345,0,1e-09,1e-12,1.58234517932954e-07,2.88729569586366e-07,2.22044604925031e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp40_Ccn7_A1\native_0.25ns\native_raw.mat,a929e9f3cf0d382dfd97bf57cae83d158523a24eab9bffc1dc9a10c517427264,0
Cd100_Ccp40_Ccn7_A1,40,7,100,1,0.125,554631,0,1e-09,1e-12,1.68994072957673e-07,3.09137752063648e-07,2.22044604925031e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp40_Ccn7_A1\native_0.125ns\native_raw.mat,4164be301d75fbfbf2f3d801c703e7700fffa22f6086f7c6890e9f02f7a9ff68,0
Cd100_Ccp240_Ccn7_A0,240,7,100,0,0.5,236570,0,1e-09,1e-12,5.65939366481416e-07,5.92043383207397e-07,8.21565038222616e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp240_Ccn7_A0\native_0.5ns\native_raw.mat,a106e5928484bc17ab1fcf945b3cde8e609aae8d24c8ad46042f8d69803b3db2,0
Cd100_Ccp240_Ccn7_A0,240,7,100,0,0.25,322440,0,1e-09,1e-12,5.6593926878179e-07,5.92043299274536e-07,8.21565038222616e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp240_Ccn7_A0\native_0.25ns\native_raw.mat,960a9d3f370c1f454a0e11677008bcb31f6c7f8226b83c34ba8c13976c34ba5c,0
Cd100_Ccp240_Ccn7_A0,240,7,100,0,0.125,511189,0,1e-09,1e-12,5.79111934850829e-07,6.12602001348606e-07,8.21565038222616e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp240_Ccn7_A0\native_0.125ns\native_raw.mat,478bc1419e8e7bbf391ab49a5fbc649ec27fe85b71d65896ff5d923917bc41b1,0
Cd100_Ccp240_Ccn7_A1,240,7,100,1,0.5,233685,0,1e-09,1e-12,5.35836350845642e-07,5.58944918349624e-07,1.82076576038526e-14,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp240_Ccn7_A1\native_0.5ns\native_raw.mat,7ac38d872d153f74708872a48a5d40b05e7c1b57ec3223309e6b3f061bdf36c2,0
Cd100_Ccp240_Ccn7_A1,240,7,100,1,0.25,322791,0,1e-09,1e-12,5.35836280013413e-07,5.58944868389588e-07,1.82076576038526e-14,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp240_Ccn7_A1\native_0.25ns\native_raw.mat,1558b90a05669b02cccfee0a67c65d062cb96f606e74367f4e073ee2d71b0d93,0
Cd100_Ccp240_Ccn7_A1,240,7,100,1,0.125,514298,0,1e-09,1e-12,5.41247787699817e-07,5.6815066074023e-07,1.82076576038526e-14,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd100_Ccp240_Ccn7_A1\native_0.125ns\native_raw.mat,139ecb9425c2f95e6a74d0d6b31a76d413be76e2b9a9f7eaeadcca6cef35655a,0
Cd1000_Ccp40_Ccn7_A0,40,7,1000,0,0.5,247521,0,1e-09,1e-12,2.78916173268584e-07,4.8204130620455e-07,2.88657986402541e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp40_Ccn7_A0\native_0.5ns\native_raw.mat,ac57ceb78f80acaa9a5fac89c88c4ac39d17004d09306046a7ab1d639982d038,0
Cd1000_Ccp40_Ccn7_A0,40,7,1000,0,0.25,327146,0,1e-09,1e-12,2.78917656082456e-07,4.82044220095901e-07,2.88657986402541e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp40_Ccn7_A0\native_0.25ns\native_raw.mat,fc8a266f5742d96338215cd44380eec2004dfb0d32cd78bc02681e5b6bea4b5d,0
Cd1000_Ccp40_Ccn7_A0,40,7,1000,0,0.125,569981,0,1e-09,1e-12,2.99774979950485e-07,5.20056024022608e-07,2.88657986402541e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp40_Ccn7_A0\native_0.125ns\native_raw.mat,10c6d5b0da4cf712c6ff5fa876442d966bcee47bf8936c1ff57ae2e338ff8934,0
Cd1000_Ccp40_Ccn7_A1,40,7,1000,1,0.5,248548,0,1e-09,1e-12,2.78916583607014e-07,4.82042119331894e-07,7.99360577730113e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp40_Ccn7_A1\native_0.5ns\native_raw.mat,8fa852ebdc1534ea1867774b8247e4088e7c622902abc1ee334e20560f7dbe2d,0
Cd1000_Ccp40_Ccn7_A1,40,7,1000,1,0.25,330683,0,1e-09,1e-12,2.78918134366535e-07,4.82045168670453e-07,7.99360577730113e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp40_Ccn7_A1\native_0.25ns\native_raw.mat,01697ef871cb4b0f16bf6500930492e06253baea183996dc34318dcacb7a93ef,0
Cd1000_Ccp40_Ccn7_A1,40,7,1000,1,0.125,503489,0,1e-09,1e-12,2.99775467116348e-07,5.20056957942217e-07,7.99360577730113e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp40_Ccn7_A1\native_0.125ns\native_raw.mat,87b07485fd684eb07e4a3c380e70d33382d8b49acc95d5bba5dcb62a6da20f5a,0
Cd1000_Ccp240_Ccn7_A0,240,7,1000,0,0.5,244271,0,1e-09,1e-12,2.34052981973321e-06,4.61425595799092e-06,6.88338275267597e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp240_Ccn7_A0\native_0.5ns\native_raw.mat,b3d28006808f1fb23ddba63e752c1b34567eb23eb6aa0b7736916258f55aeb7f,0
Cd1000_Ccp240_Ccn7_A0,240,7,1000,0,0.25,337669,0,1e-09,1e-12,2.34052987835298e-06,4.61425626063772e-06,6.88338275267597e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp240_Ccn7_A0\native_0.25ns\native_raw.mat,ac24ba2d50669e87a745f6b41a56443d9746dd417d35b6b4655a86484aa4be9e,0
Cd1000_Ccp240_Ccn7_A0,240,7,1000,0,0.125,528979,0,1e-09,1e-12,2.50394792478126e-06,4.93578882054813e-06,6.88338275267597e-15,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp240_Ccn7_A0\native_0.125ns\native_raw.mat,04195edf0c07a360196734c9e4d5e57eb6a58f2b0f197660972629e54a783ab9,0
Cd1000_Ccp240_Ccn7_A1,240,7,1000,1,0.5,241082,0,1e-09,1e-12,2.33326215592911e-06,4.63433407693614e-06,1.73194791841524e-14,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp240_Ccn7_A1\native_0.5ns\native_raw.mat,14ce297eef9cc4129362c6c980be996029b51b2f68e6277943f95aba91b42aeb,0
Cd1000_Ccp240_Ccn7_A1,240,7,1000,1,0.25,340333,0,1e-09,1e-12,2.33326217746743e-06,4.63433413799841e-06,1.73194791841524e-14,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp240_Ccn7_A1\native_0.25ns\native_raw.mat,35ce0e8df623b9944dd6d5e4aa6518c751226ef6a757399b4c10f92e6315a41f,0
Cd1000_Ccp240_Ccn7_A1,240,7,1000,1,0.125,526775,0,1e-09,1e-12,2.39343377517187e-06,4.76126057069592e-06,1.73194791841524e-14,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-15\wha-2\work\v2_integration\native\attempt_002\Cd1000_Ccp240_Ccn7_A1\native_0.125ns\native_raw.mat,5344dbd58feb2050d81e164c7bd86327ab9be860d7ef3e1eda0b949f74af6911,0
