Case,Variant,CoarseStep_ns,FineStep_ns,VoltageError_V,DifferentialError_V,ThresholdSequenceExact,ThresholdTimeError_ns,ComparatorSequenceExact,ComparatorTimeError_ns,OutputSequenceExact,OutputTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,Pass
Cd100_Ccp40_Ccn7_A0,typical_illustration_25ns_transport,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,2.0194959528437e-07,1,3.61683068477586e-10,1,3.61683068477586e-10,1,3.61683068477586e-10,1,1
Cd100_Ccp40_Ccn7_A0,typical_illustration_25ns_inertial,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,2.0194959528437e-07,1,3.61683068477586e-10,1,3.61683068477586e-10,1,3.61683068477586e-10,1,1
Cd100_Ccp40_Ccn7_A0,typical_illustration_40ns_transport,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,2.0194959528437e-07,1,3.61683068477586e-10,1,3.61683068477586e-10,1,3.61683068477586e-10,1,1
Cd100_Ccp40_Ccn7_A0,typical_illustration_40ns_inertial,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,2.0194959528437e-07,1,3.61683068477586e-10,1,3.61683068477586e-10,1,3.61683068477586e-10,1,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_25ns_transport,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,4.34189088762554e-09,1,4.34189088762554e-09,1,4.34189088762554e-09,1,4.34189088762554e-09,1,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_25ns_inertial,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,4.34189088762554e-09,1,4.34189088762554e-09,1,4.34189088762554e-09,1,4.34189088762554e-09,1,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_40ns_transport,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,4.34189088762554e-09,1,4.34189088762554e-09,1,4.34189088762554e-09,1,4.34189088762554e-09,1,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_40ns_inertial,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,4.34189088762554e-09,1,4.34189088762554e-09,1,4.34189088762554e-09,1,4.34189088762554e-09,1,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_25ns_transport,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,2.1542165431045e-08,1,2.43903137161876e-09,1,2.43903137161876e-09,1,2.43903137161876e-09,1,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_25ns_inertial,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,2.1542165431045e-08,1,2.43903137161876e-09,1,2.43903137161876e-09,1,2.43903137161876e-09,1,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_40ns_transport,0.5,0.25,6.48720455131979e-07,1.24509031529385e-07,1,2.1542165431045e-08,1,2.43903137161876e-09,1,2.43903137161876e-09,1,2.43903137161876e-09,1,1
