Case,Variant,MaxStep_ns,ThresholdSequenceExact,ThresholdTimeError_ns,ComparatorSequenceExact,ComparatorTimeError_ns,OutputSequenceExact,OutputTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,NativeDomainPass,ReferenceContinuousDomainPass,DomainAgreement,NativeStressFlag,GrazingUnresolved,Pass
Cd100_Ccp40_Ccn7_A0,typical_illustration_25ns_transport,0.5,1,3.106383219772e-07,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,typical_illustration_25ns_inertial,0.5,1,3.106383219772e-07,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,typical_illustration_40ns_transport,0.5,1,3.106383219772e-07,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,typical_illustration_40ns_inertial,0.5,1,3.106383219772e-07,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_25ns_transport,0.5,1,2.54698148558158e-07,1,2.54698148558158e-07,1,2.54698148558158e-07,1,2.54698148558158e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_25ns_inertial,0.5,1,2.54698148558158e-07,1,2.54698148558158e-07,1,2.54698148558158e-07,1,2.54698148558158e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_40ns_transport,0.5,1,2.54698148558158e-07,1,2.54698148558158e-07,1,2.54698148558158e-07,1,2.54698148558158e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_40ns_inertial,0.5,1,2.54698148558158e-07,1,2.54698148558158e-07,1,2.54698148558158e-07,1,2.54698148558158e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_25ns_transport,0.5,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_25ns_inertial,0.5,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_40ns_transport,0.5,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_40ns_inertial,0.5,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1.27788472620467e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_25ns_transport,0.5,1,1.05645760829819e-07,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_25ns_inertial,0.5,1,1.05645760829819e-07,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_40ns_transport,0.5,1,1.05645760829819e-07,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_40ns_inertial,0.5,1,1.05645760829819e-07,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1.10368393027235e-08,1,1,1,1,0,0,1
