Fixture,Partition,Kind,Policy,ReferenceGoverned,WindowStart_s,WindowStop_s,WindowSamples,RequestedWindowRMSE_deg,CommandWindowRMSE_deg,ShapingWindowRMSE_deg,WindowDisturbanceRMSE_deg,FullRequestedRMSE_deg,FinalRequestedError_deg,FinalRequestedTailRMSE_deg,MaxTrueVelocity_rad_s,MaxCandidateMeasurementRate_rad_s,CandidateMeasurementRateSamples,MaxReferenceVelocity_rad_s,MaxReferenceAcceleration_rad_s2,WindowPeakCurrent_A,FullPeakCurrent_A,AlarmSamples,FirstAlarm_s,SafeStopDuration_s,FinalMode,StopOccurred,ResetReleaseOccurred,ReferenceTracePass,ReferenceBoundsPass,FinitePass,CommandBoundsPass,StopZeroPass,CommitsRemainStopped,ReleaseEvidencePass,CommandInvariantsPass,FirstReceiverExposure_s,FirstResponse_s,FirstStop_s,PreexistingAlarm,PreexistingResponse,FirstPostExposureAlarm_s,FirstPostExposureResponse_s,FirstPostExposureStop_s,BehaviorApplicable,AlarmDeadlinePass,CleanAlarmPass,ActualVelocityPass,CandidateMeasurementRatePass,FinalRequestedTrackingPass,DeclaredBehaviorPass
development_original_noise_reversal,development,clean,RAW,0,1.4,1.9,500,47.5918488940919,47.5918488940919,0,0,20.3924140805944,0.0534249198322711,0.0729059303446192,26.0482716843351,25.8124738711604,3000,1570.7963267949,1570796.3267949,2.87721347009691,2.87721347009691,41,1.427,0,0,0,0,1,0,1,1,1,1,1,1,NaN,1.427,NaN,0,0,NaN,NaN,NaN,1,1,0,0,0,1,0
development_original_noise_reversal,development,clean,GOVERNED,1,1.4,1.9,500,50.7659530447144,9.55149626720526,44.000887882216,0,22.7415546073944,0.048717589931566,0.0659598874620236,7.700787564167,8.01324152089389,3000,7.93591937613994,100.000254481314,0.123153313492103,0.123153313492103,0,NaN,0,0,0,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1
development_noiseless_reversal,development,clean,RAW,0,1.4,1.9,500,47.592239345781,47.592239345781,0,0,20.3925543417869,0.0538782040442175,0.0733994220041605,26.0481400486264,25.8141997990073,3000,1570.7963267949,1570796.3267949,2.87713544301578,2.87713544301578,41,1.427,0,0,0,0,1,0,1,1,1,1,1,1,NaN,1.427,NaN,0,0,NaN,NaN,NaN,1,1,0,0,0,1,0
development_noiseless_reversal,development,clean,GOVERNED,1,1.4,1.9,500,50.7659009727545,9.5514677339502,44.000887882216,0,22.7415375299673,0.0491704482714962,0.0664541147095382,7.70074777665634,7.70059556643796,3000,7.93591937613994,100.000254481314,0.123238810020777,0.123238810020777,0,NaN,0,0,0,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1
clean_step_80,evaluation,clean,RAW,0,0.137,0.837,700,17.9391618356782,17.9391618356782,0,0,8.66920530270959,9.47271750667203e-06,1.29366991765614e-05,22.9248041660268,22.9226461477887,3000,1396.26340159546,1396263.40159546,2.55748221182083,2.55748221182083,0,NaN,0,0,0,0,1,0,1,1,1,1,1,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,0,1,1,0
clean_step_80,evaluation,clean,GOVERNED,1,0.137,0.837,700,37.3237568804054,7.86752665103006,32.0352995325529,0,18.0405541222859,3.31156488644769e-05,4.52142800044318e-05,7.1525878990569,7.15255949380822,3000,7.52661314106129,100,0.123291966749982,0.123291966749982,0,NaN,0,0,0,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1
clean_reversal_75,evaluation,clean,RAW,0,1.117,1.917,800,204.677498224628,204.677498224628,0,0,171.053631252822,223.389639643095,223.389639643095,53.0472954097906,47.4841395836661,3000,2617.99387799149,2617993.87799149,4.79496171784895,4.79496171784895,1871,1.13,1.62,4,1,0,1,0,1,1,1,1,1,1,NaN,1.13,1.38,0,0,NaN,NaN,NaN,1,1,0,0,0,0,0
clean_reversal_75,evaluation,clean,GOVERNED,1,1.117,1.917,800,75.3557930959644,11.7557694876359,67.3493953877285,0,42.360247450172,0.0239449439499625,0.0325067363749569,9.80325786747495,9.80303432841861,3000,9.27412178593151,100.017955344089,0.122825314053688,0.123291966749982,0,NaN,0,0,0,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1
clean_reversal_100,evaluation,clean,RAW,0,1.263,2.163,900,300.017025628102,300.017025628102,0,0,235.716486611961,300.017025628102,300.017025628102,30.8638788185893,29.5981426145273,3000,3490.65850398866,3490658.50398866,2.89410468691453e-13,3.19685276477604,2787,0.204,2.427,4,1,0,1,0,1,1,1,1,1,1,NaN,0.204,0.573,0,0,NaN,NaN,NaN,1,1,0,0,0,0,0
clean_reversal_100,evaluation,clean,GOVERNED,1,1.263,2.163,900,101.676568961954,12.9368412653582,92.9353071513075,0,60.4778639126371,0.0979839437449053,0.132390952191199,10.4710124673802,10.4709393041329,3000,9.70027497404002,100.009231936316,0.122867170763011,0.123291966749982,0,NaN,0,0,0,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1
