Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Grid,FirstParameter,SecondParameter,FirstValue,SecondValue
physical_only,0.000349711937564453,0.00113979093440958,0.00109034461434355,0,0.059716547994495,0.00281679443850706,0.0586268381820742,0.0586268381820742,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.111321257134641,0.0292834913510041,0.01,1,ground_conversion,angle_sensitivity,0,1
physical_only,0.000517139198302147,0.00168547454845522,0.00161235542502645,0,0.0883063013799863,0.00416535628675653,0.0586268381820742,0.0866948846731146,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.111289461482258,0.0279596646586882,0.01,1,ground_conversion,angle_sensitivity,0,1.47875763662831
physical_only,0.000764723538685782,0.0024924083598504,0.00238428289770493,0,0.130583617528025,0.00615955241831762,0.0586268381820742,0.128200722766979,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.111242443418494,0.0260020458278555,0.01,1,ground_conversion,angle_sensitivity,0,2.18672414788656
physical_only,0.00113084077272957,0.00368566789570493,0.00352577654282656,0,0.193101521638102,0.00910848517679911,0.0586268381820742,0.18957779781294,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.11117291509772,0.0231072020321549,0.01,1,ground_conversion,angle_sensitivity,0,3.23363503288679
physical_only,0.00167223942849265,0.00545020954686737,0.00521376898776397,0,0.285550349766903,0.0134692420133078,0.0586268381820742,0.280339616251063,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.111070099562328,0.0188264296624145,0.01,1,ground_conversion,angle_sensitivity,0,4.78176249895018
physical_only,0.00247283682514973,0.00805953898864322,0.00770990070625361,0,0.422259760359681,0.0199177444867733,0.0586268381820742,0.414554348380711,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.110918060304281,0.0124962048299946,0.01,1,ground_conversion,angle_sensitivity,0,7.07106781186547
physical_only,0.00349711937567065,0.0113979093442421,0.0109034461433146,0,0.597165479945097,0.0281679443850777,0.0586268381820742,0.586268381820742,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.11073218231246,0.00470811067156434,0.01,1,ground_conversion,angle_sensitivity,0,10
physical_only,0.00365672633933508,0.0119181048272027,0.0114010745470476,0,0.624419845272754,0.0294535167642289,0.0586268381820742,0.61302540846545,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.110737938138903,0.00588942257993934,0.01,1,ground_conversion,angle_sensitivity,0,10.4563955259127
physical_only,0.00540741199933959,0.0176239885273252,0.0168594260522099,0,0.923365614659327,0.0435546128406624,0.0586268381820742,0.906516004215476,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.111033206898759,0.0197269309234842,0.01,1,ground_conversion,angle_sensitivity,0,15.4624747355496
physical_only,0.00799625178841471,0.0260616076226397,0.0249310050238061,0,1.36543395407747,0.0644067163485193,0.0586268381820742,1.34051746395942,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.111485747649827,0.0405289734220679,0.01,1,ground_conversion,angle_sensitivity,0,22.8652525963663
physical_only,0.0118245183965214,0.0385388012947793,0.0368669140678256,0,2.01914588690366,0.0952419236505264,0.0586268381820742,1.98230043686361,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.11215494574133,0.071290152624316,0.01,1,ground_conversion,angle_sensitivity,0,33.8121668903121
physical_only,0.0174855968783062,0.0569895467211722,0.054517230716662,0,2.98582739972544,0.140839721925387,0.0586268381820742,2.93134190910371,0,0,13262911.9243246,0.0450000000000002,0,0,0,0,0.113144527529593,0.116778481281333,0.01,1,ground_conversion,angle_sensitivity,0,50
physical_only,0.00391433977069634,0.00560565041209695,0.00242669087193919,0,0.0641468790421324,0.00298499559486738,0.0635028146598498,0.0635028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.105785080054033,0.029063624896714,0.005,1,ground_conversion,angle_sensitivity,0.05,1
physical_only,0.00578835982826654,0.00828939835510624,0.00358848765854823,0,0.0948576872494223,0.00441408503121275,0.0635028146598498,0.0939052721256454,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.103102797346651,0.0276345354603687,0.005,1,ground_conversion,angle_sensitivity,0.05,1.47875763662831
physical_only,0.0085595812996048,0.0122580111206597,0.00530650352902559,0,0.140271529412952,0.00652736194863087,0.0635028146598498,0.138863138275458,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0991363513094903,0.0255212585429506,0.005,1,ground_conversion,angle_sensitivity,0.05,2.18672414788656
physical_only,0.012657546213131,0.018126627554595,0.00784703261738733,0,0.207427595320962,0.00965238632857562,0.0635028146598498,0.205344926171007,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0932709389417171,0.0223962341630058,0.005,1,ground_conversion,angle_sensitivity,0.05,3.23363503288679
physical_only,0.0187174431236576,0.0268048889226946,0.0116038594078736,0,0.306735140628381,0.0142735399950705,0.0635028146598498,0.303655377718254,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0845974156109023,0.017775080496511,0.005,1,ground_conversion,angle_sensitivity,0.05,4.78176249895018
physical_only,0.0276785619572611,0.0396379341934114,0.0171592957137245,0,0.453586931626466,0.0211071062694296,0.0635028146598498,0.449032708704123,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0717713767490181,0.0109415142221519,0.005,1,ground_conversion,angle_sensitivity,0.05,7.07106781186547
physical_only,0.0391433977069415,0.0560565041207341,0.0242669087191247,0,0.641468790421343,0.0298499559486775,0.0635028146598498,0.635028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0553660911562045,0.00235405533578108,0.005,1,ground_conversion,angle_sensitivity,0.05,10
physical_only,0.04092988486519,0.0586148978886578,0.0253744395758574,0,0.670745139017449,0.0312122945830446,0.0635028146598498,0.664010547092119,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.052851406832266,0.00345961244625416,0.005,1,ground_conversion,angle_sensitivity,0.05,10.4563955259127
physical_only,0.0605253798106948,0.0866772278729621,0.0375226462979305,0,0.991869496553299,0.0461554189713669,0.0635028146598498,0.981910667314216,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0254489664888162,0.0163428119636194,0.005,1,ground_conversion,angle_sensitivity,0.05,15.4624747355496
physical_only,0.0895023676049231,0.128174612638956,0.0554868997596042,0,1.46673459256692,0.0682526782756901,0.0635028146598498,1.4520078977777,0,0,13262911.9243246,0.00200000000000022,0,0,0,0,0.0212936144064719,0.0362040577841086,0.005,1,ground_conversion,angle_sensitivity,0.05,22.8652525963663
physical_only,0.132352309592104,0.189539187261744,0.0820516767523445,0,2.16894497966527,0.100929169220513,0.0635028146598498,2.1471677672834,0,0,13262911.9243246,0.00800000000000001,0,0,0,0,0.0781499119358305,0.0688805487289317,0.005,1,ground_conversion,angle_sensitivity,0.05,33.8121668903121
physical_only,0.195716988534712,0.280282520603626,0.121334543595681,0,3.20734395210663,0.149249779743383,0.0635028146598498,3.17514073299249,0,0,13262911.9243246,0.012,0,0,0,0,0.168893245277712,0.117201159251802,0.005,1,ground_conversion,angle_sensitivity,0.05,50
physical_only,0.00769303883452448,0.0111389275326003,0.00484150685454971,0,0.0696491326881113,0.00320486204915777,0.0685028146598498,0.0685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.100250347793314,0.0288437584424237,0,1,ground_conversion,angle_sensitivity,0.1,1
physical_only,0.0113761399254241,0.0164717741526849,0.00715941523395755,0,0.102994186847118,0.00473921422953368,0.0685028146598498,0.101299060308787,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0949175011732289,0.0273094062620478,0,1,ground_conversion,angle_sensitivity,0.1,1.47875763662831
physical_only,0.0168225537900761,0.0243577618170808,0.010587039951035,0,0.15230344032849,0.00700814923353978,0.0685028146598498,0.149796759014891,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0870315135088331,0.0250404712580417,0,1,ground_conversion,angle_sensitivity,0.1,2.18672414788656
physical_only,0.0248764798846672,0.0360192262982025,0.0156556661768723,0,0.225219875470506,0.0103633541977274,0.0685028146598498,0.221513101335441,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0753700490277113,0.0216852662938541,0,1,ground_conversion,angle_sensitivity,0.1,3.23363503288679
physical_only,0.0367862846018926,0.0532637059538991,0.0231509359155726,0,0.33304561077251,0.0153248891609743,0.0685028146598498,0.327564190213005,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0581255693720148,0.0167237313306071,0,1,ground_conversion,angle_sensitivity,0.1,4.78176249895018
physical_only,0.0543979992782199,0.0787641119344373,0.034234623280264,0,0.492493740275399,0.0226617968772735,0.0685028146598498,0.48438804776345,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0326251633914766,0.00938682361430794,0,1,ground_conversion,angle_sensitivity,0.1,7.07106781186547
physical_only,0.0769303883452085,0.111389275325914,0.0484150685456752,0,0.696491326881247,0.0320486204915814,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0,0,0,1,ground_conversion,angle_sensitivity,0.1,10
physical_only,0.0804414568499688,0.116473032015257,0.0506247106127668,0,0.728278879423799,0.0335113051919843,0.0685028146598498,0.716292524721682,0,0,13262911.9243246,0.00100000000000011,0,0,0,0,0.00508375668934267,0.00146268470040282,0,1,ground_conversion,angle_sensitivity,0.1,10.4563955259127
physical_only,0.118953418618393,0.172235385553808,0.0748616774207366,0,1.07694795454307,0.0495550984660297,0.0685028146598498,1.05922304099196,0,0,13262911.9243246,0.00900000000000012,0,0,0,0,0.0608461102278938,0.0175064779744482,0,1,ground_conversion,angle_sensitivity,0.1,15.4624747355496
physical_only,0.175903276184978,0.254694391685336,0.110702277176755,0,1.59254501203183,0.0732799802905095,0.0685028146598498,1.56633416075953,0,0,13262911.9243246,0.0150000000000001,0,0,0,0,0.143305116359423,0.0412313597989281,0,1,ground_conversion,angle_sensitivity,0.1,22.8652525963663
physical_only,0.260118312966493,0.376631276711127,0.163701837767256,0,2.35498809821646,0.108363330466566,0.0685028146598498,2.31622860173496,0,0,13262911.9243246,0.0210000000000001,0,0,0,0,0.265242001385213,0.0763147099749849,0,1,ground_conversion,angle_sensitivity,0.1,33.8121668903121
physical_only,0.384651941726067,0.556946376629601,0.242075342728433,0,3.4824566344063,0.160243102457909,0.0685028146598498,3.42514073299249,0,0,13262911.9243246,0.026,0,0,0,0,0.445557101303687,0.128194481966328,0,1,ground_conversion,angle_sensitivity,0.1,50
physical_only,0.0114762655270109,0.0166749440776493,0.00725632283721112,0,0.0751513863341284,0.003424728503449,0.0735028146598498,0.0735028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0947170706727721,0.0286238919881324,0.005,1,ground_conversion,angle_sensitivity,0.15,1
physical_only,0.0169706152880297,0.0246582008951512,0.0107303428093669,0,0.111130686444781,0.00506434342785345,0.0735028146598498,0.108692848491928,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0867351253756821,0.026984277063728,0.005,1,ground_conversion,angle_sensitivity,0.15,1.47875763662831
physical_only,0.0250954269554644,0.0364635028792312,0.0158675763730062,0,0.164335351243984,0.00748893651844761,0.0735028146598498,0.160730379754324,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0749317628124501,0.0245596839731338,0.005,1,ground_conversion,angle_sensitivity,0.15,2.18672414788656
physical_only,0.0371100542548312,0.0539206833408766,0.0234642997363828,0,0.24301215562003,0.0110743220668781,0.0735028146598498,0.237681276499875,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.057477450284142,0.0209742984247034,0.005,1,ground_conversion,angle_sensitivity,0.15,3.23363503288679
physical_only,0.0548767761250281,0.0797356222625308,0.0346980124233034,0,0.359356080916633,0.0163762383268778,0.0735028146598498,0.351473002707756,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.031666752340823,0.0156723821647037,0.005,1,ground_conversion,angle_sensitivity,0.15,4.78176249895018
physical_only,0.0811494517684386,0.117909660332018,0.0513099508467906,0,0.531400548924287,0.0242164874851157,0.0735028146598498,0.519743386822778,0,0,13262911.9243246,0.00100000000000011,0,0,0,0,0.00689408645545462,0.00849591494396312,0.005,1,ground_conversion,angle_sensitivity,0.15,7.07106781186547
physical_only,0.114762655270053,0.166749440776334,0.0725632283722511,0,0.75151386334122,0.0342472850344881,0.0735028146598498,0.735028146598498,0,0,13262911.9243246,0.00900000000000012,0,0,0,0,0.0553660911562999,0.00235405533578517,0.005,1,ground_conversion,angle_sensitivity,0.15,10
physical_only,0.12000037151077,0.174359810648161,0.0758749816497208,0,0.785812619830192,0.0358103158009258,0.0735028146598498,0.768574502351246,0,0,13262911.9243246,0.01,0,0,0,0,0.0629728550239145,0.00385615510781036,0.005,1,ground_conversion,angle_sensitivity,0.15,10.4563955259127
physical_only,0.177451465769774,0.257835901517065,0.11220070854353,0,1.16202641253285,0.0529547779606922,0.0735028146598498,1.13653541466971,0,0,13262911.9243246,0.018,0,0,0,0,0.146448231546535,0.0209061574691107,0.005,1,ground_conversion,angle_sensitivity,0.15,15.4624747355496
physical_only,0.262407710137948,0.381276808365315,0.165917654593861,0,1.71835543149676,0.0783072823053305,0.0735028146598498,1.68066042374136,0,0,13262911.9243246,0.0250000000000001,0,0,0,0,0.269889138394785,0.046258661813749,0.005,1,ground_conversion,angle_sensitivity,0.15,22.8652525963663
physical_only,0.388037405276632,0.563815992039488,0.245351998782187,0,2.54103121676759,0.115797491712617,0.0735028146598498,2.48528943618652,0,0,13262911.9243246,0.0310000000000001,0,0,0,0,0.452428322068958,0.0837488712210358,0.005,1,ground_conversion,angle_sensitivity,0.15,33.8121668903121
physical_only,0.573813276350254,0.833747203881564,0.362816141861192,0,3.757569316706,0.171236425172436,0.0735028146598498,3.67514073299249,0,0,13262911.9243246,0.036,0,0,0,0,0.722359533911033,0.139187804680854,0.005,1,ground_conversion,angle_sensitivity,0.15,50
physical_only,0.0152606529234859,0.0222111211582317,0.00967113881986617,0,0.0806536399801327,0.0036445949577402,0.0785028146598498,0.0785028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0891837935522687,0.0284040255338412,0.01,1,ground_conversion,angle_sensitivity,0.2,1
physical_only,0.0225668070505399,0.0328448650308157,0.0143012703847635,0,0.119267186042483,0.00538947262617447,0.0785028146598498,0.11608663667507,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.078552749578097,0.026659147865407,0.01,1,ground_conversion,angle_sensitivity,0.2,1.47875763662831
physical_only,0.0333708382602971,0.0485695949883299,0.021148112795022,0,0.176367262159503,0.00796972380335532,0.0785028146598498,0.171664000493756,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0628320121160162,0.0240788966882261,0.01,1,ground_conversion,angle_sensitivity,0.2,2.18672414788656
physical_only,0.049347381918102,0.0718226594968796,0.0312729332958678,0,0.260804435769548,0.0117852899360288,0.0785028146598498,0.253849451664309,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0395848515405535,0.0202633305555527,0.01,1,ground_conversion,angle_sensitivity,0.2,3.23363503288679
physical_only,0.0729728178590181,0.106208306213963,0.0462450889310152,0,0.38566655106073,0.0174275874927801,0.0785028146598498,0.375381815202507,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00778470190934482,0.0146210329988013,0.01,1,ground_conversion,angle_sensitivity,0.2,4.78176249895018
physical_only,0.107909111675305,0.157056343887268,0.0683852784133428,0,0.570307357573175,0.0257711780929573,0.0785028146598498,0.555098725882105,0,0,13262911.9243246,0.00800000000000001,0,0,0,0,0.0460321919603107,0.0100434896406319,0.01,1,ground_conversion,angle_sensitivity,0.2,7.07106781186547
physical_only,0.152606529234844,0.222111211582088,0.0967113881987952,0,0.806536399801142,0.0364459495773927,0.0785028146598498,0.785028146598498,0,0,13262911.9243246,0.016,0,0,0,0,0.110732182312543,0.00470811067156806,0.01,1,ground_conversion,angle_sensitivity,0.2,10
physical_only,0.159571422951622,0.232248267904215,0.101125252686687,0,0.843346360236656,0.038109326409869,0.0785028146598498,0.82085647998081,0,0,13262911.9243246,0.0170000000000001,0,0,0,0,0.120863721535866,0.00627668070032195,0.01,1,ground_conversion,angle_sensitivity,0.2,10.4563955259127
