Parameter,Value,MaxNoFaultDifference
cap_imbalance,-5,0
cap_imbalance,1,0
cap_imbalance,5,0
ind_imbalance,-15,0
ind_imbalance,3,0
ind_imbalance,15,0
voltage_rise,25,0
voltage_rise,100,0
voltage_rise,400,0
current_rise,50,0
current_rise,200,0
current_rise,800,0
voltage_step,6,0
voltage_step,24,0
voltage_step,48,0
current_step,0.5,0
current_step,3,0
current_step,6,0
cap_transfer,0,0
cap_transfer,0.2,0
cap_transfer,1,0
ind_transfer,0,0
ind_transfer,0.5,0
ind_transfer,1,0
return_resistance,5,0
return_resistance,25,0
return_resistance,100,0
return_inductance,2,0
return_inductance,20,0
return_inductance,100,0
shared_conversion,0,0
shared_conversion,0.1,0
shared_conversion,0.5,0
ground_voltage,-0.5,0
ground_voltage,0.1,0
ground_voltage,0.5,0
ground_conversion,0,0
ground_conversion,0.1,0
ground_conversion,0.5,0
termination,60,0
termination,120,0
termination,240,0
bandwidth,30,0
bandwidth,5000000,0
bandwidth,10000000,0
angle_sensitivity,1,0
angle_sensitivity,10,0
angle_sensitivity,50,0
envelope_frequency,5,0
envelope_frequency,120,0
envelope_frequency,400,0
noise_margin,0.025,0
noise_margin,0.2,0
noise_margin,0.4,0
common_mode_limit,0.025,0
common_mode_limit,7,0
common_mode_limit,15,0
receiver_capacitance,10,0
receiver_capacitance,100,0
receiver_capacitance,1000,0
pwm_frequency,5,0
pwm_frequency,20,0
pwm_frequency,100,0
voltage_fall,25,0
voltage_fall,100,0
voltage_fall,400,0
minimum_pulse,10,0
minimum_pulse,50,0
minimum_pulse,500,0
count_cap,1,0
count_cap,4,0
count_cap,16,0
cap_mean,5,0
cap_mean,9.5,0
cap_mean,30,0
ind_mean,10,0
ind_mean,18.5,0
ind_mean,100,0
