Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Parameter,Value,NominalValue,Unit,Role
physical_only,0.0760783190012119,0.111255691586489,0.0481093591751681,0,0.599587136465734,0.0276844974618685,0.0590165042803788,0.590165042803788,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00757477880979121,0.0166371657350751,0.0344918037245475,cap_imbalance,-5,1,pF,response
combined_phase2b,0.0494277405359293,0.125210798794586,0.0287149145398568,0,0.660187743075088,0.0305631201629299,0.0590165042803788,0.590165042803788,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0857936421337942,0.0182187942967399,0.0344918037245475,cap_imbalance,-5,1,pF,response
physical_only,0.0762507246760753,0.111283187083142,0.048173048627347,0,0.590483511913021,0.0276844974618685,0.059016504280379,0.59016504280379,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00599669989104495,0.0131710895402661,0.0273060112819335,cap_imbalance,-3.75,1,pF,response
combined_phase2b,0.0505883592907533,0.125734390806528,0.0304010738284408,0,0.676456940296434,0.0311352411291526,0.059016504280379,0.59016504280379,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.067919966689271,0.0144232121515865,0.0273060112819335,cap_imbalance,-3.75,1,pF,response
physical_only,0.0764258365459841,0.11131068257984,0.0482367380795577,0,0.604819126890275,0.0276844974618685,0.0604898127483271,0.604898127483271,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00441862097239411,0.00970501334546024,0.0201202188393194,cap_imbalance,-2.5,1,pF,response
combined_phase2b,0.0524014935557298,0.126280553035385,0.0320872331170504,0,0.697216411704373,0.0318507117057309,0.0604898127483271,0.604898127483271,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0500462912447414,0.0106276300064321,0.0201202188393194,cap_imbalance,-2.5,1,pF,response
physical_only,0.076603636052264,0.111338178076513,0.0483004275317621,0,0.631253856518577,0.0286627528718561,0.062280379935399,0.62280379935399,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00284054205367329,0.00623893715065267,0.0129344263967053,cap_imbalance,-1.25,1,pF,response
combined_phase2b,0.0548024162597484,0.126907216041181,0.0337733924056472,0,0.737427173685991,0.0332578931661906,0.062280379935399,0.62280379935399,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0321726158001927,0.00683204786127778,0.0129344263967053,cap_imbalance,-1.25,1,pF,response
physical_only,0.0767841045246478,0.111365673573223,0.0483641169839346,0,0.662677174783461,0.0304157038919247,0.0657279134978227,0.657279134978227,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00126246313498428,0.0027728609558455,0.00574863395409126,cap_imbalance,0,1,pF,response
combined_phase2b,0.057717822194205,0.127533879047042,0.0354595516942376,0,0.777637935667647,0.0346650746266513,0.0657279134978227,0.657279134978227,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0142989403556886,0.00303646571612562,0.00574863395409126,cap_imbalance,0,1,pF,response
