Case,Comparison,WaveformsPassed,MaxWaveformLimitRatio,InitialStatePassed,InitialStateMaxLimitRatio,MaxEventTimeDifference_s,EventTimingPassed,EventClassificationMatched,AllEventsResolved,MaxEnergyLimitRatio,EnergyPassed,CurrentTimingComparedEvents,MaxCurrentEventTimeDifference_s,CurrentTimingPassed,ExecutionComplete,Diagnostic,Pass
nominal,spice_tolerances_10x,0,Inf,0,Inf,Inf,0,0,0,Inf,0,0,NaN,0,0,ngspice diagnostic prevents accepting this run. Inspect C:\Users\adand\Documents\Codex\2026-09-09\le\work\sc01b\project\06_Circuit_Simulations\SC01B\results\parts\partA\nominal\spice_tight_tolerance\ngspice.log,0
nominal,native_0.5_to_0.125ns,1,0.839561215994912,1,0,4.46958448408559e-12,1,1,0,0.151740657582366,1,2,2.21583988332081e-11,1,1,,0
nominal,native_0.25_to_0.125ns,1,0.177080344355699,1,0,1.22401922277059e-12,1,1,0,0.0294655981453129,1,2,5.82632047212069e-12,1,1,,0
nominal,spice_0.25_to_0.125ns,1,0.128844659235191,1,0,6.7254222464963e-13,1,1,0,0.0223764237448458,1,2,4.1403760718119e-12,1,1,,0
nominal,native_to_original_spice_0.125ns,1,0.0341609995944252,1,1.40485280930506e-08,2.4599635632135e-13,1,1,0,0.00140714623622167,1,2,8.12891862146897e-13,1,1,,0
nominal,native_consistency_10x,1,0,1,0,0,1,1,0,0,1,2,0,1,1,,0
holdout_bus18,native_0.5_to_0.125ns,1,0.689419198637175,1,0,1.21015287914023e-11,1,1,0,0.0457350740614649,1,2,3.90454659113948e-11,1,1,,0
holdout_bus18,native_0.25_to_0.125ns,1,0.15660982901031,1,0,5.05951012965029e-12,1,1,0,0.0100866862024376,1,2,5.30823353310928e-12,1,1,,0
holdout_bus18,spice_0.25_to_0.125ns,1,0.0971053510972166,1,0,4.67377463398138e-13,1,1,0,0.00954487164324972,1,2,2.95245855622952e-12,1,1,,0
holdout_bus18,native_to_original_spice_0.125ns,1,0.0278804253123873,1,1.03941077966812e-08,3.17718613166223e-12,1,1,0,0.000213476562950069,1,2,6.55951280620993e-13,1,1,,0
holdout_load4ohm,native_0.5_to_0.125ns,0,1.07031718115252,1,0,3.02709498406259e-11,1,1,0,0.205920857805739,1,2,2.88007747449012e-11,1,1,,0
holdout_load4ohm,native_0.25_to_0.125ns,1,0.223474109328569,1,0,8.40215079958996e-12,1,1,0,0.0448774449391027,1,2,5.61842896358122e-12,1,1,,0
holdout_load4ohm,spice_0.25_to_0.125ns,1,0.135177322914737,1,0,2.43521879161987e-13,1,1,0,0.0235678549269662,1,2,2.99589823985936e-12,1,1,,0
holdout_load4ohm,native_to_original_spice_0.125ns,1,0.0489829784382594,1,3.02488700754111e-07,8.6751742857334e-13,1,1,0,0.00183047775823757,1,2,8.66710624608882e-13,1,1,,0
holdout_gate47,native_0.5_to_0.125ns,1,0.0645874378145881,1,0,Inf,0,1,0,0.00940201000377733,1,1,2.02183849708294e-11,1,1,,0
holdout_gate47,native_0.25_to_0.125ns,1,0.0187539867876036,1,0,Inf,0,1,0,0.00155736764751821,1,1,2.75591994293748e-12,1,1,,0
holdout_gate47,spice_0.25_to_0.125ns,1,0.0055303400349993,1,0,Inf,0,1,0,0.000624971017430674,1,1,1.50267242107137e-12,1,1,,0
holdout_gate47,native_to_original_spice_0.125ns,1,0.00476261073850299,1,1.35131860258195e-08,Inf,0,1,0,1.66223026268195e-05,1,1,9.93114908174198e-13,1,1,,0
holdout_bus30_load16_gate10,spice_tolerances_10x,0,Inf,0,Inf,Inf,0,0,0,Inf,0,0,NaN,0,0,ngspice diagnostic prevents accepting this run. Inspect C:\Users\adand\Documents\Codex\2026-09-09\le\work\sc01b\project\06_Circuit_Simulations\SC01B\results\parts\partC\holdout_bus30_load16_gate10\spice_tight_tolerance\ngspice.log,0
holdout_bus30_load16_gate10,native_0.5_to_0.125ns,1,0.971155884502672,1,0,4.76627265961842e-11,1,1,0,0.344463110198177,1,1,1.7580682623249e-11,1,1,,0
holdout_bus30_load16_gate10,native_0.25_to_0.125ns,1,0.219827922783081,1,0,9.21376517511613e-12,1,1,0,0.0665483521986495,1,1,3.67003848957277e-12,1,1,,0
holdout_bus30_load16_gate10,spice_0.25_to_0.125ns,1,0.132384946987729,1,0,1.53016009710644e-12,1,1,0,0.00123882780878275,1,1,1.12718239410453e-12,1,1,,0
holdout_bus30_load16_gate10,native_to_original_spice_0.125ns,1,0.0379508018276856,1,1.94790321948721e-08,5.39322714837739e-13,1,1,0,0.00448049767410989,1,1,8.91785141046676e-14,1,1,,0
holdout_bus30_load16_gate10,native_consistency_10x,1,0,1,0,0,1,1,0,0,1,1,0,1,1,,0
