Case,Engine,EventId,Kind,Pulse,CommandTime_s,RequestedWindowStart_s,RequestedWindowEnd_s,WindowStart_s,WindowEnd_s,DriverCommandDeadTime_s,GateDiagnosticLevel_V,Ipre_A,HighCurrentPre_A,LowCurrentPre_A,SwitchBeforeFraction,SwitchAfterFraction,SwitchT10_s,SwitchT50_s,SwitchT90_s,EdgeTime_s,HighGateT10_s,HighGateT50_s,HighGateT90_s,LowGateT50_s,GateMidpointDeadTime_s,HighCurrentT10_s,HighCurrentT50_s,HighCurrentT90_s,PeakHighVds_V,PeakLowVds_V,PeakAbsHighVgs_V,PeakAbsLowVgs_V,HighDrainTerminalEnergy_J,HighGateTerminalEnergy_J,LowDrainTerminalEnergy_J,LowGateTerminalEnergy_J,HighTerminalEnergy_J,LowTerminalEnergy_J,Clipped,CounterpartGateClipped,VoltageResolved,GateResolved,CounterpartGateResolved,CurrentResolved,VoltageGrazing,GateGrazing,VoltageRecrossingCount,ChannelOverlapKnown,DissipatedEnergyKnown,Resolved,Status,CurrentTimingStatus
nominal,native,pulse_1_high_off,high_off,1,2.019e-06,1.919e-06,2.519e-06,1.919e-06,2.519e-06,3.01e-07,6,2.98096418175618,2.98096427723845,9.54822678700395e-08,0.999864226298262,-0.000138856601799898,2.2810478910668e-06,2.25512601463568e-06,2.20456809134877e-06,7.64797997180312e-08,2.32455712798751e-06,2.08984746928218e-06,2.03261720650051e-06,2.39679415085017e-06,3.06946681567984e-07,2.28936176759343e-06,2.28348283730662e-06,2.23947498407305e-06,24.9779824852383,23.8490597914638,11.9999967001831,10.2468594440139,2.11326776381313e-06,-2.57991211105362e-07,-2.47699835369972e-07,2.0330341926209e-07,1.85527655270777e-06,-4.43964161078816e-08,0,0,1,1,1,1,0,0,0,1,0,1,resolved,resolved
nominal,native,pulse_1_high_on,high_on,1,4.02e-06,3.92e-06,4.52e-06,3.92e-06,4.52e-06,3.01e-07,6,2.96405918869605,0.000834701386071266,-2.96420098948833,-0.028823861962524,0.999865003538398,4.05048350508894e-06,4.05596116220494e-06,4.0676500048003e-06,1.7166499711352e-08,4.03287507208172e-06,4.10847890615002e-06,4.26833333984324e-06,3.78984541237731e-06,3.1863349377271e-07,4.04652215359751e-06,4.04825525663548e-06,4.04912914019369e-06,24.7072261844015,24.2204818575534,11.9047599041375,2.12804135099692,1.48626409458585e-06,2.99864630998656e-07,1.67177888734056e-06,-1.38539743882755e-08,1.78612872558451e-06,1.65792491295229e-06,0,0,1,1,0,1,0,0,0,1,0,0,missing_or_ambiguous_crossing,resolved
nominal,spice,pulse_1_high_off,high_off,1,2.019e-06,1.919e-06,2.519e-06,1.919e-06,2.519e-06,3.01e-07,6,2.98096418176837,2.98096427766626,9.56406664620825e-08,0.999864226307107,-0.000138856600081499,2.28104789962685e-06,2.25512598438711e-06,2.20456809446076e-06,7.64798051660874e-08,2.32455710003465e-06,2.08984746383791e-06,2.03261714806387e-06,2.39679413352785e-06,3.06946669689937e-07,2.2893616930166e-06,2.28348282323077e-06,2.23947499173408e-06,24.9783352138349,23.8490568735216,11.9999966975478,10.2468592987984,2.11327361839022e-06,-2.57991213605076e-07,-2.47698713915083e-07,2.03303415484809e-07,1.85528240478514e-06,-4.43952984302742e-08,0,0,1,1,1,1,0,0,0,0,0,1,resolved,resolved
nominal,spice,pulse_1_high_on,high_on,1,4.02e-06,3.92e-06,4.52e-06,3.92e-06,4.52e-06,3.01e-07,6,2.96405918840858,0.000834783381978478,-2.96420090718421,-0.0288238510172037,0.99986500355761,4.0504837510853e-06,4.05596119420756e-06,4.06765002188949e-06,1.7166270804192e-08,4.03287502799793e-06,4.10847889701886e-06,4.26833333004989e-06,3.78984541084163e-06,3.18633486177231e-07,4.04652163459266e-06,4.04825444374361e-06,4.04912854524969e-06,24.7072261829219,24.2206831240085,11.9047599102601,2.12803919879464,1.48626181629468e-06,2.99864601629014e-07,1.67175643431041e-06,-1.3853985040395e-08,1.78612641792369e-06,1.65790244927001e-06,0,0,1,1,0,1,0,0,0,0,0,0,missing_or_ambiguous_crossing,resolved
holdout_bus18,native,pulse_1_high_off,high_off,1,2.019e-06,1.919e-06,2.519e-06,1.919e-06,2.519e-06,3.01e-07,6,2.235723138256,2.23572320985521,7.1599212114748e-08,0.999864227170749,-0.000139099615148743,2.27263113657929e-06,2.24563536144994e-06,2.20117477619454e-06,7.1456360384745e-08,2.32025977179386e-06,2.08984722083478e-06,2.03261719515757e-06,2.39558054010004e-06,3.0573331926526e-07,2.28345565168278e-06,2.27882383762036e-06,2.21667068318843e-06,18.8741479469711,17.8871339175663,11.9999967001375,10.2681405085385,1.17104130640459e-06,-2.56694697641854e-07,-1.62754910509647e-07,2.04337579690309e-07,9.14346608762733e-07,4.15826691806621e-08,0,0,1,1,1,1,0,0,0,1,0,1,resolved,resolved
holdout_bus18,native,pulse_1_high_on,high_on,1,4.02e-06,3.92e-06,4.52e-06,3.92e-06,4.52e-06,3.01e-07,6,2.22297628789498,0.0017155074537154,-2.22199975605547,-0.0379217471388288,0.999865033980386,4.05160976536733e-06,4.05703796994714e-06,4.06775407819794e-06,1.6144312830617e-08,4.03293016478919e-06,4.10719505332385e-06,4.26704922005302e-06,3.78984565937665e-06,3.17349393947202e-07,4.047213718537e-06,4.04900411164024e-06,4.04993264022222e-06,18.6964552022095,18.242992515675,11.9059836308782,1.94146848245333,7.53611771119591e-07,2.98251701740636e-07,6.9486577617751e-07,-1.25182346014158e-08,1.05186347286023e-06,6.82347541576095e-07,0,0,1,1,0,1,0,0,0,1,0,0,missing_or_ambiguous_crossing,resolved
holdout_bus18,spice,pulse_1_high_off,high_off,1,2.019e-06,1.919e-06,2.519e-06,1.919e-06,2.519e-06,3.01e-07,6,2.23572313826486,2.23572321021296,7.16978291847841e-08,0.999864227175595,-0.00013909961639916,2.27263111655643e-06,2.2456353491551e-06,2.20117478107565e-06,7.14563354807875e-08,2.32025659460773e-06,2.08984722119892e-06,2.03261715160335e-06,2.39558053051934e-06,3.05733309320427e-07,2.2834549957315e-06,2.27882385925374e-06,2.21667068092846e-06,18.874278177711,17.8871324930863,11.9999966979384,10.2681402352972,1.17104326051913e-06,-2.56694699836512e-07,-1.62754723565034e-07,2.043375817485e-07,9.14348560682613e-07,4.15828581834662e-08,0,0,1,1,1,1,0,0,0,0,0,1,resolved,resolved
holdout_bus18,spice,pulse_1_high_on,high_on,1,4.02e-06,3.92e-06,4.52e-06,3.92e-06,4.52e-06,3.01e-07,6,2.22297628780952,0.00171557577439654,-2.22199968762607,-0.0379217388507777,0.999865033974089,4.05160945321702e-06,4.05703804983096e-06,4.06775414790662e-06,1.61446946895969e-08,4.03293017589785e-06,4.10719504417674e-06,4.26704921061403e-06,3.78984566243872e-06,3.17349381738021e-07,4.04721354192791e-06,4.04900399878393e-06,4.04993269070234e-06,18.696454091629,18.2430600666705,11.9059836374989,1.94147361025929,7.53610299436029e-07,2.9825167586257e-07,6.94866362297664e-07,-1.25182365241832e-08,1.0518619752986e-06,6.82348125773481e-07,0,0,1,1,0,1,0,0,0,0,0,0,missing_or_ambiguous_crossing,resolved
holdout_load4ohm,native,pulse_1_high_off,high_off,1,2.019e-06,1.919e-06,2.519e-06,1.919e-06,2.519e-06,3.01e-07,6,5.92433679132263,5.92433688620239,9.48797591604489e-08,0.999728482571375,-0.000276346190017663,2.27395642283091e-06,2.24977543812955e-06,2.20098996961623e-06,7.29664532146815e-08,2.32164073518864e-06,2.08984845165199e-06,2.03261723457697e-06,2.39631880324411e-06,3.06470351592116e-07,2.28314350837912e-06,2.28042798563135e-06,2.25588220695643e-06,25.430569080959,23.6986926501709,11.9999967003629,10.2552675409759,4.62432177291666e-06,-2.58545883375648e-07,-4.21168140040209e-08,2.03312525622684e-07,4.36577588954101e-06,1.61195711618663e-07,0,0,1,1,1,1,0,0,0,1,0,1,resolved,resolved
holdout_load4ohm,native,pulse_1_high_on,high_on,1,4.02e-06,3.92e-06,4.52e-06,3.92e-06,4.52e-06,3.01e-07,6,5.90745604472428,0.000544752469842295,-5.90788528329124,-0.0297739040996268,0.999729462411377,4.0511175211447e-06,4.05627349635568e-06,4.06795471198941e-06,1.68371908447189e-08,4.0328752381477e-06,4.10856308087978e-06,4.26841968719723e-06,3.78984443268884e-06,3.18718648190936e-07,4.04717654828859e-06,4.04928770115756e-06,4.05042857568743e-06,24.7399374313412,24.1809362445345,11.9046754604394,2.14620006314001,2.14994512024274e-06,3.00127026838049e-07,2.12054657152277e-06,-1.38887703161708e-08,2.45007214708078e-06,2.1066578012066e-06,0,0,1,1,0,1,0,0,0,1,0,0,missing_or_ambiguous_crossing,resolved
