ValidationStart_s,ValidationEnd_s,ValidationRecordClipped,InitialLoadCurrent_A,ValidationInitialLoadCurrent_A,PeakSwitch_V,MinSwitch_V,PeakHighVds_V,PeakLowVds_V,MinHighVds_V,MinLowVds_V,PeakAbsHighVgs_V,PeakAbsLowVgs_V,PeakAbsHighCurrent_A,PeakAbsLowCurrent_A,PeakAbsLoadCurrent_A,PeakAbsFeedCurrent_A,LoadCurrentChange_A,MaxLoadCurrentDeparture_A,HighVdsOverRating_V,LowVdsOverRating_V,HighGateOverRating_V,LowGateOverRating_V,DeviceVoltageLimitsPassed,GateVoltageLimitsPassed,HighTerminalEnergy_J,LowTerminalEnergy_J,HighGateCharge_C,LowGateCharge_C,FeedCharge_C,GateDiagnosticLevel_V,GateMidpointOverlap_s,TerminalCoincidenceFloor_A,ForwardTerminalCurrentCoincidence_s,ChannelOverlapKnown,nativeChannelOverlap_s,PeakSharedForwardChannelCurrent_A,ChannelOverlapFloor_A,DissipatedEnergyKnown,AllFinite,EventCount,UnresolvedEventCount,ClippedEventCount,UnresolvedCurrentTimingCount,UnavailableCurrentTimingCount,VoltageGrazingEventCount,VoltageRecrossingCount,Case,Engine
1e-06,5e-06,0,2.98096418175618,2.98096418175618,24.2204818575534,-1.09907464694752,24.9779824852383,24.2204818575534,-0.262650748983027,-1.09907464694752,11.9999967001831,11.9999869801765,8.24605379874291,5.28231048131583,2.98096419015807,2.98096484591429,-0.0172067315773394,0.0172682924329659,0,0,0,0,1,1,3.6753523074198e-06,1.5170193868011e-06,-2.73534793239228e-12,9.05920271051235e-13,6.59072118293804e-06,6,0,0.00298096419015807,4.54535848521894e-08,1,4.06449577199143e-08,3.19690171405656,0.00298096419015807,0,1,2,1,0,0,0,0,0,nominal,native
1e-06,5e-06,0,2.98096418176837,2.98096418176837,24.2206831239843,-1.09905230098885,24.9783352138349,24.2206831240085,-0.262758820057492,-1.09905230098995,11.9999966975649,11.9999869793099,8.24585370034613,5.28211037864085,2.98096419017023,2.98096484620725,-0.0172067316307301,0.0172682925454368,0,0,0,0,1,1,3.6753558520908e-06,1.51699804042027e-06,-2.73538196459407e-12,9.05516713571187e-13,6.59072056499789e-06,6,0,0.00298096419017023,4.54532946100399e-08,0,NaN,NaN,0.00298096419017023,0,1,2,1,0,0,0,0,0,nominal,spice
1e-06,5e-06,0,2.235723138256,2.235723138256,18.242992515675,-0.96498762399742,18.8741479469711,18.242992515675,-0.272906351012367,-0.96498762399742,11.9999967001375,11.9999870480929,5.98653823137176,3.76380902619504,2.2357231467165,2.23572401475577,-0.0129802658645009,0.01302715775681,0,0,0,0,1,1,1.99513860823161e-06,6.0572690355812e-07,-2.70032049132335e-12,1.34945669459813e-12,4.90261139325021e-06,6,0,0.0022357231467165,4.13874938153842e-08,1,3.3036771188161e-08,0.307106210310368,0.0022357231467165,0,1,2,1,0,0,0,0,0,holdout_bus18,native
1e-06,5e-06,0,2.23572313826486,2.23572313826486,18.2430600666523,-0.964896453381725,18.874278177711,18.2430600666705,-0.272997986460869,-0.96489645338269,11.9999966979399,11.9999870469733,5.98685008741911,3.76412064247261,2.23572314672514,2.23572401468391,-0.0129802657578657,0.0130271579571533,0,0,0,0,1,1,1.99513906289974e-06,6.05727675994789e-07,-2.70041806223028e-12,1.34849049997448e-12,4.90261149489632e-06,6,0,0.00223572314672514,4.13869927399965e-08,0,NaN,NaN,0.00223572314672514,0,1,2,1,0,0,0,0,0,holdout_bus18,spice
1e-06,5e-06,0,5.92433679132263,5.92433679132263,24.1809362445345,-1.67855882351936,25.430569080959,24.1809362445345,-0.252069441482359,-1.67855882351936,11.9999967003629,11.99998702749,12.0572811580484,6.17413488531749,5.92433679959518,5.92433745850238,-0.0171995600971178,0.017246686979365,0,0,0,0,1,1,6.89146594033426e-06,2.27496345351521e-06,-2.73814184151509e-12,1.5444506636569e-12,1.30338923802623e-05,6,0,0.00592433679959518,4.03679157729598e-08,1,3.72401852388277e-08,3.78336946219586,0.00592433679959518,0,1,2,1,0,0,0,0,0,holdout_load4ohm,native
1e-06,5e-06,0,5.9243367921099,5.9243367921099,24.1810097609769,-1.67875504178932,25.4307349631908,24.1810097610011,-0.252187396324469,-1.678755041791,11.9999966977506,11.9999870265733,12.0561940535845,6.17400876923507,5.92433680038269,5.92433745954776,-0.0171995602138297,0.0172466873458452,0,0,0,0,1,1,6.89149999652881e-06,2.27492623255516e-06,-2.73818218210814e-12,1.54392300429304e-12,1.30338923609222e-05,6,0,0.00592433680038269,4.03678003487437e-08,0,NaN,NaN,0.00592433680038269,0,1,2,1,0,0,0,0,0,holdout_load4ohm,spice
1e-06,5e-06,0,2.98096418174238,2.98096418174238,27.3549859317143,-5.05171221808337,27.212481910445,27.3549859317143,-5.21693801454427,-5.05171221808337,11.9999934003679,11.9904647361148,186.919472830665,183.954820417779,2.98096418635246,14.1407811266504,-0.0164020121159947,0.0164020121159947,0,0,0,0,1,1,0.000255255855539793,0.000270489820335396,-3.27381493798242e-10,5.45704315344378e-11,2.83250803527652e-05,6,0,0.00298096418635246,3.0409679902687e-07,1,3.04193070608188e-07,183.464202233378,0.00298096418635246,0,1,2,2,0,1,0,0,0,holdout_gate47,native
1e-06,5e-06,0,2.98096418175433,2.98096418175433,27.3549979322295,-5.05171733844228,27.2124961607289,27.3549979322569,-5.21692950504431,-5.05171733844733,11.999993395109,11.9904647342886,186.919663538992,183.955011055985,2.98096418636446,14.1407811262782,-0.0164020120955053,0.0164020120955053,0,0,0,0,1,1,0.000255255850253557,0.000270489812453678,-3.27381396351208e-10,5.45704258002349e-11,2.83250798359866e-05,6,0,0.00298096418636446,3.04097613904357e-07,0,NaN,NaN,0.00298096418636446,0,1,2,2,0,1,0,0,0,holdout_gate47,spice
1e-06,5e-06,0,1.86903237471483,1.86903237471483,30.8407072023732,-0.860147012840008,30.78889321515,30.8407072023732,-0.876241424491383,-0.860147012840008,11.9999982840597,11.9999984199355,11.5431740253923,9.69661370489446,1.86903238865743,1.86903335555099,-0.0223359139970614,0.0224780381698431,0,0,0,0,1,1,2.20748401553007e-06,1.68325282240964e-06,2.8228174553261e-13,5.71230575857349e-13,3.97110399665725e-06,6,0,0.00186903238865743,2.24341210800252e-08,1,1.63050139549996e-08,5.10636178954194,0.00186903238865743,0,1,2,1,0,1,0,0,0,holdout_bus30_load16_gate10,native
1e-06,5e-06,0,1.86903237471905,1.86903237471906,30.8395170868334,-0.860398848917127,30.7889280206565,30.8395170868642,-0.875535639925619,-0.860398848917987,11.9999982824892,11.9999984194674,11.5435356842715,9.69697535902987,1.86903238866103,1.86903335557986,-0.0223359144918056,0.022478039170631,0,0,0,0,1,1,2.20747454702829e-06,1.68332824389245e-06,2.8221046473751e-13,5.7122926597196e-13,3.97110587315723e-06,6,0,0.00186903238866104,2.24319266646828e-08,0,NaN,NaN,0.00186903238866104,0,1,2,1,0,1,0,0,0,holdout_bus30_load16_gate10,spice
