Case,Run,Step_s,Samples,StopTime_s,Warnings,Runtime_s,Completed,Reused,Diagnostic
nominal,native_0.5_ns,5e-10,10001,5e-06,0,0,1,1,
nominal,native_0.25_ns,2.5e-10,20001,5e-06,0,0,1,1,
nominal,native_0.125_ns,1.25e-10,40001,5e-06,0,0,1,1,
nominal,spice_0.25_ns,2.5e-10,20425,5e-06,0,7.4098458,1,0,
nominal,spice_0.125_ns,1.25e-10,40210,5e-06,0,13.4080029,1,0,
nominal,native_tight_consistency,1.25e-10,40001,5e-06,0,0,1,1,
nominal,spice_tight_tolerance,1.25e-10,0,NaN,0,4.5974679,0,0,ngspice diagnostic prevents accepting this run. Inspect C:\Users\adand\Documents\Codex\2026-09-09\le\work\sc01b\project\06_Circuit_Simulations\SC01B\results\parts\partA\nominal\spice_tight_tolerance\ngspice.log
holdout_bus18,native_0.5_ns,5e-10,10001,5e-06,0,32.6782502,1,0,
holdout_bus18,native_0.25_ns,2.5e-10,20001,5e-06,0,67.2520222,1,0,
holdout_bus18,native_0.125_ns,1.25e-10,40001,5e-06,0,180.3291773,1,0,
holdout_bus18,spice_0.25_ns,2.5e-10,20380,5e-06,0,7.5002801,1,0,
holdout_bus18,spice_0.125_ns,1.25e-10,40195,5e-06,0,15.8649144,1,0,
holdout_load4ohm,native_0.5_ns,5e-10,10001,5e-06,0,33.6075383,1,0,
holdout_load4ohm,native_0.25_ns,2.5e-10,20001,5e-06,0,68.0369357,1,0,
holdout_load4ohm,native_0.125_ns,1.25e-10,40001,5e-06,0,175.9886747,1,0,
holdout_load4ohm,spice_0.25_ns,2.5e-10,20423,5e-06,0,7.4246404,1,0,
holdout_load4ohm,spice_0.125_ns,1.25e-10,40209,5e-06,0,14.9176626,1,0,
holdout_gate47,native_0.5_ns,5e-10,10001,5e-06,0,30.160979,1,0,
holdout_gate47,native_0.25_ns,2.5e-10,20001,5e-06,0,59.8845645,1,0,
holdout_gate47,native_0.125_ns,1.25e-10,40001,5e-06,0,136.5179402,1,0,
holdout_gate47,spice_0.25_ns,2.5e-10,20269,5e-06,0,5.5480762,1,0,
holdout_gate47,spice_0.125_ns,1.25e-10,40168,5e-06,0,11.212122,1,0,
holdout_bus30_load16_gate10,native_0.5_ns,5e-10,10001,5e-06,0,35.2313999,1,0,
holdout_bus30_load16_gate10,native_0.25_ns,2.5e-10,20001,5e-06,0,67.0874613,1,0,
holdout_bus30_load16_gate10,native_0.125_ns,1.25e-10,40001,5e-06,0,183.0333122,1,0,
holdout_bus30_load16_gate10,spice_0.25_ns,2.5e-10,20701,5e-06,0,7.4309386,1,0,
holdout_bus30_load16_gate10,spice_0.125_ns,1.25e-10,40313,5e-06,0,14.3720551,1,0,
holdout_bus30_load16_gate10,native_tight_consistency,1.25e-10,40001,5e-06,0,152.0725351,1,0,
holdout_bus30_load16_gate10,spice_tight_tolerance,1.25e-10,0,NaN,0,4.3640026,0,0,ngspice diagnostic prevents accepting this run. Inspect C:\Users\adand\Documents\Codex\2026-09-09\le\work\sc01b\project\06_Circuit_Simulations\SC01B\results\parts\partC\holdout_bus30_load16_gate10\spice_tight_tolerance\ngspice.log
