name,runtime_s,complete,stopTime_s,sampleCount,electricalDeckIdentical,controls,tranControl
absolute_only,4.796999999991385,False,2.0190000018035437e-06,16161,True,.options reltol=1e-5 abstol=1e-10 vntol=1e-7 method=trap gminsteps=0 srcsteps=1,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
baseline_repeat,11.375,True,5e-06,40210,True,.options reltol=1.0000000000000001e-05 abstol=1.0000000000000001e-09 vntol=9.9999999999999995e-08 method=trap gminsteps=0 srcsteps=1,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
gear_itl4_100,4.51600000000326,False,2.019e-06,16160,True,.options reltol=9.9999999999999995e-07 abstol=1e-10 vntol=1e-08 method=gear gminsteps=0 srcsteps=1 itl4=100,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
gear_order1,4.39100000000326,False,2.019e-06,16161,True,.options reltol=9.9999999999999995e-07 abstol=1e-10 vntol=1e-08 method=gear maxord=1 gminsteps=0 srcsteps=1 itl4=100,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
relative_only,4.719000000011874,False,2.019000002218488e-06,16161,True,.options reltol=1e-6 abstol=1e-9 vntol=1e-7 method=trap gminsteps=0 srcsteps=1,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
strict_changed_output_step,5.0,False,2.019e-06,16160,True,.options reltol=1e-6 abstol=1e-10 vntol=1e-8 method=trap gminsteps=0 srcsteps=1,tran 1e-10 5e-6 0 1.2500000000000001e-10
strict_dc_iteration,4.875,False,2.019e-06,16160,True,.options reltol=1e-6 abstol=1e-10 vntol=1e-8 method=trap gminsteps=0 srcsteps=1 itl1=1000,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
trap_fixed_source_steps,4.953000000008615,False,2.019e-06,16160,True,.options reltol=9.9999999999999995e-07 abstol=1e-10 vntol=1e-08 method=trap gminsteps=0 srcsteps=100 itl1=1000 itl4=100,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
trap_half_step,9.39000000001397,False,2.019e-06,32312,True,.options reltol=9.9999999999999995e-07 abstol=1e-10 vntol=1e-08 method=trap gminsteps=0 srcsteps=1 itl4=100,tran 6.2500000000000004e-11 5e-6 0 6.2500000000000004e-11
trap_hundredfold,6.280999999988126,False,2.019e-06,16161,True,.options reltol=1e-7 abstol=1e-11 vntol=1e-9 method=trap gminsteps=0 srcsteps=1 itl4=100,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
trap_itl4_100,3.8589999999967404,False,2.019e-06,16160,True,.options reltol=9.9999999999999995e-07 abstol=1e-10 vntol=1e-08 method=trap gminsteps=0 srcsteps=1 itl4=100,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
trap_itl4_1000,5.187999999994645,False,2.019e-06,16160,True,.options reltol=9.9999999999999995e-07 abstol=1e-10 vntol=1e-08 method=trap gminsteps=0 srcsteps=1 itl4=1000,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
trap_pivot,4.578000000008615,False,2.019e-06,16160,True,.options reltol=9.9999999999999995e-07 abstol=1e-10 vntol=1e-08 method=trap gminsteps=0 srcsteps=1 itl4=100 pivtol=1e-18 pivrel=1e-6,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
trap_tight_charge,4.577999999979511,False,2.019e-06,16167,True,.options reltol=9.9999999999999995e-07 abstol=1e-10 vntol=1e-08 method=trap gminsteps=0 srcsteps=1 itl4=100 chgtol=1e-16 trtol=1,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
voltage_only,12.062999999994645,True,5e-06,40210,True,.options reltol=1e-5 abstol=1e-9 vntol=1e-8 method=trap gminsteps=0 srcsteps=1,tran 1.2500000000000001e-10 5.0000000000000004e-06 0 1.2500000000000001e-10
