Case,Comparison,Signal,MaxAbsoluteDifference,ReferencePeakAbsolute,Limit,Pass,PeakAbsoluteDifference,RMSDifference
nominal,native_0.5_to_0.125ns,switch_V,0.0399310591615851,24.2204818575534,0.242204818575534,1,0.00317256828818557,0.000821040542848895
nominal,native_0.5_to_0.125ns,bus_V,0.000444238810011655,24.0175686085579,0.240175686085579,1,3.23444027117148e-09,1.52444133093925e-05
nominal,native_0.5_to_0.125ns,highVgs_V,0.00523015338922583,11.9999967001831,0.119999967001831,1,3.5527136788005e-14,0.000101996024947615
nominal,native_0.5_to_0.125ns,lowVgs_V,0.0092787002616892,11.9999869801765,0.119999869801765,1,5.45288258990695e-11,0.000237469922462088
nominal,native_0.5_to_0.125ns,highVds_V,0.0398500174021468,24.9779824852383,0.249779824852384,1,0.00172482269546137,0.000820490643436113
nominal,native_0.5_to_0.125ns,lowVds_V,0.0399310591615851,24.2204818575534,0.242204818575534,1,0.00317256828818557,0.000821040542848895
nominal,native_0.5_to_0.125ns,highCurrent_A,0.0443482286949433,8.24605379874291,0.0824605379874291,1,0.00016548497629465,0.0014007369553467
nominal,native_0.5_to_0.125ns,lowCurrent_A,0.0443482301095619,5.28231048131583,0.0528231048131583,1,0.000163956973972645,0.0014007374661312
nominal,native_0.5_to_0.125ns,highGateCurrent_A,0.000209206135568962,0.398148169802052,0.01,1,0.000183230975421111,4.07984099790525e-06
nominal,native_0.5_to_0.125ns,lowGateCurrent_A,0.000371148010467559,0.4283444451495,0.01,1,0.000145126175331523,9.49879689848398e-06
nominal,native_0.5_to_0.125ns,loadCurrent_A,3.82046212443754e-08,2.98096419015807,0.0298096419015807,1,1.91402449445377e-13,1.02885554620815e-08
nominal,native_0.5_to_0.125ns,feedCurrent_A,0.00021591125035747,2.98096484591429,0.0298096484591429,1,4.81516559958095e-09,8.86752638532726e-05
nominal,native_0.25_to_0.125ns,switch_V,0.0101051869671256,24.2204818575534,0.242204818575534,1,0.000380579261506142,0.000175303128749004
nominal,native_0.25_to_0.125ns,bus_V,9.37076676557069e-05,24.0175686085579,0.240175686085579,1,6.79559519767281e-10,3.07095773769241e-06
nominal,native_0.25_to_0.125ns,highVgs_V,0.00232069870240359,11.9999967001831,0.119999967001831,1,3.5527136788005e-14,2.68685366725132e-05
nominal,native_0.25_to_0.125ns,lowVgs_V,0.00238931175963997,11.9999869801765,0.119999869801765,1,5.1029402925451e-11,5.23824110801798e-05
nominal,native_0.25_to_0.125ns,highVds_V,0.0100550145218463,24.9779824852383,0.249779824852384,1,0.00018715796024793,0.000175188995829707
nominal,native_0.25_to_0.125ns,lowVds_V,0.0101051869671256,24.2204818575534,0.242204818575534,1,0.000380579261506142,0.000175303128749004
nominal,native_0.25_to_0.125ns,highCurrent_A,0.00935393396752726,8.24605379874291,0.0824605379874291,1,0.00233724029236804,0.000283956647910014
nominal,native_0.25_to_0.125ns,lowCurrent_A,0.00935393359025127,5.28231048131583,0.0528231048131583,1,0.00233724012461956,0.000283956744384018
nominal,native_0.25_to_0.125ns,highGateCurrent_A,9.28279480959526e-05,0.398148169802052,0.01,1,1.2704989604817e-07,1.07474146690095e-06
nominal,native_0.25_to_0.125ns,lowGateCurrent_A,9.55724703856006e-05,0.4283444451495,0.01,1,3.81131041054528e-05,2.09529644320743e-06
