modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
Nominal physics,nominal,nominal_seed_230101,1,230101,1,0.001,128,0.000122880617602787,0.000511372282202186,0.000122880617602787,0.000402375983749892,0,0,0
Nominal physics,nominal,nominal_seed_230101,1,230101,20,0.02,128,0.000100007368407992,0.000473880080637974,0.000100007368407992,0.000405217994500995,0,0,0
Nominal physics,nominal,nominal_seed_230101,1,230101,50,0.05,128,0.00010547849184088,0.000448049482033857,0.00010547849184088,0.000428450824664084,0,0,0
Nominal physics,nominal,nominal_seed_230101,1,230101,100,0.1,128,0.000107591760544734,0.00047839971681081,0.000107591760544734,0.000437267058994162,0,0,0
Nominal physics,nominal,nominal_seed_230101,1,230101,250,0.25,128,0.000107934870719078,0.000447853902277027,0.000107934870719078,0.000438691746719129,0,0,0
Persistent innovation,nominal,nominal_seed_230101,1,230101,1,0.001,128,0.000184373540384537,0.000543153937517833,0.000120371918489799,0.000702374031402603,0,0,0
Persistent innovation,nominal,nominal_seed_230101,1,230101,20,0.02,128,0.000248483895318346,0.000508844977460547,0.000126033788141664,0.000852906575024915,0,0,0
Persistent innovation,nominal,nominal_seed_230101,1,230101,50,0.05,128,0.000442728638388828,0.000619806748336291,0.000308540685465216,0.0015229325119453,0,0,0
Persistent innovation,nominal,nominal_seed_230101,1,230101,100,0.1,128,0.000781500245875621,0.000953683903070411,0.000644813023198059,0.0026712115911992,0,0,0
Persistent innovation,nominal,nominal_seed_230101,1,230101,250,0.25,128,0.00181285169736708,0.00186477430560285,0.00167537468817837,0.00614248666603597,0,0,0
Linear hybrid,nominal,nominal_seed_230101,1,230101,1,0.001,128,0.000242782385303972,0.000551115894527836,0.000172360089635773,0.000652406026324159,0,0,0
Linear hybrid,nominal,nominal_seed_230101,1,230101,20,0.02,128,0.000843662945678713,0.000965274527348957,0.000159281277876644,0.00228744745501205,0,0,0
Linear hybrid,nominal,nominal_seed_230101,1,230101,50,0.05,128,0.00290135355784433,0.00295949986213751,0.00121952049185147,0.00764927488609921,0,0,0
Linear hybrid,nominal,nominal_seed_230101,1,230101,100,0.1,128,0.00909672639799294,0.00912641106837826,0.00606220240682811,0.0230817299909912,0,0,0
Linear hybrid,nominal,nominal_seed_230101,1,230101,250,0.25,128,0.0413218278535845,0.0413799860845365,0.0364012471605212,0.0955243666659351,0,0,0
EDMD hybrid,nominal,nominal_seed_230101,1,230101,1,0.001,128,0.000241113223635585,0.000550261933386901,0.000172188507576669,0.000649045707072526,0,0,0
EDMD hybrid,nominal,nominal_seed_230101,1,230101,20,0.02,128,0.000822700832071854,0.000947237654327585,0.00015874005378951,0.00206106460734379,0,0,0
EDMD hybrid,nominal,nominal_seed_230101,1,230101,50,0.05,128,0.0028116469081156,0.00287271483633077,0.00118665569845454,0.00678769148010337,0,0,0
EDMD hybrid,nominal,nominal_seed_230101,1,230101,100,0.1,128,0.00882125350056615,0.00885154007933815,0.00587255198954713,0.020487946247651,0,0,0
EDMD hybrid,nominal,nominal_seed_230101,1,230101,250,0.25,128,0.0405257125781234,0.0405871958087163,0.0356351684169867,0.0931373054122389,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230101,1,230101,1,0.001,128,0.000122823861074388,0.000508771941689488,0.000123657105471724,0.000402375983749892,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230101,1,230101,20,0.02,128,0.000112978380274717,0.000475635251659275,0.000101205738064136,0.000605753434794073,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230101,1,230101,50,0.05,128,0.000155523977521398,0.000458829067860775,0.000125760241546827,0.00129238258304856,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230101,1,230101,100,0.1,128,0.000282703140243649,0.000551986330843306,0.000220674708156431,0.00282667390622177,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230101,1,230101,250,0.25,128,0.000764648187839332,0.0008564086949673,0.000751153080917881,0.00800629385757807,0,0,0
