regime,eventGroup,modelName,baseline,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,modelTruthRMSE,baselineTruthRMSE,truthRMSEDelta,modelNonfiniteForecastCount,baselineNonfiniteForecastCount,pairFailed,bothFailed,modelWins
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130101,1,130101,1,0.001,128,0.000128273009658633,0.000194345039971053,-6.60720303124202e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130101,1,130101,1,0.001,128,0.000128273009658633,0.000243993222369997,-0.000115720212711364,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130102,2,130102,1,0.001,128,0.000148716440489802,0.000221424889936307,-7.27084494465052e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130102,2,130102,1,0.001,128,0.000148716440489802,0.000261782127053145,-0.000113065686563343,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130103,3,130103,1,0.001,128,0.000123377305983527,0.000146251228062785,-2.28739220792585e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130103,3,130103,1,0.001,128,0.000123377305983527,0.00024488442522938,-0.000121507119245853,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130104,4,130104,1,0.001,128,0.000120252848066653,0.000169550370695858,-4.92975226292041e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130104,4,130104,1,0.001,128,0.000120252848066653,0.000264072666406967,-0.000143819818340314,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130105,5,130105,1,0.001,128,0.000137043598285932,0.000196508260023124,-5.9464661737192e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130105,5,130105,1,0.001,128,0.000137043598285932,0.000274665074152549,-0.000137621475866617,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130106,6,130106,1,0.001,128,0.000124634614684603,0.000195185673238999,-7.05510585543964e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130106,6,130106,1,0.001,128,0.000124634614684603,0.000257826021606414,-0.000133191406921811,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130107,7,130107,1,0.001,128,0.000117033637325839,0.000183775120744659,-6.67414834188195e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130107,7,130107,1,0.001,128,0.000117033637325839,0.00024118826396049,-0.000124154626634651,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130108,8,130108,1,0.001,128,0.000130404681970576,0.000185955889547374,-5.55512075767988e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130108,8,130108,1,0.001,128,0.000130404681970576,0.000278083324430226,-0.00014767864245965,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130109,9,130109,1,0.001,128,0.00012552947426864,0.000153194763196012,-2.76652889273723e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130109,9,130109,1,0.001,128,0.00012552947426864,0.000247275801974221,-0.000121746327705582,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130110,10,130110,1,0.001,128,0.000117187231870989,0.000162206272067901,-4.50190401969119e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130110,10,130110,1,0.001,128,0.000117187231870989,0.000237051851075902,-0.000119864619204914,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130101,1,130101,1,0.001,40,0.00014520108165865,0.000221026104189349,-7.58250225306989e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130101,1,130101,1,0.001,40,0.00014520108165865,0.000258557213864735,-0.000113356132206085,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130102,2,130102,1,0.001,45,0.000170706626029793,0.000277071808843327,-0.000106365182813533,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130102,2,130102,1,0.001,45,0.000170706626029793,0.00025447356117214,-8.37669351423472e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130103,3,130103,1,0.001,35,0.00011393922239921,0.000136735478577961,-2.27962561787514e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130103,3,130103,1,0.001,35,0.00011393922239921,0.000223090753591991,-0.000109151531192781,0,0,0,0,1
