modelName,regime,eventGroup,horizonSamples,horizonSeconds,forecastCount,nonfiniteForecastCount,learnedCandidateNonfiniteCount,unknownReversalForecastCount,startupTargetCount,truthBias,truthStd,truthRMSE,truthP95AbsoluteError,truthMaxAbsoluteError,measurementBias,measurementStd,measurementRMSE,measurementP95AbsoluteError,measurementMaxAbsoluteError,posteriorTruthRMSE,runCount
Nominal physics,nominal,all,1,0.001,1280,0,0,0,0,-1.25139060565394e-06,0.000126920415551111,0.000127245284260519,0.000246177783909103,0.000680173461888756,-1.19159127984274e-05,0.000469337012802297,0.000471300014841745,0.000840813180903781,0.0016321798580475,0.000127245284260519,10
Nominal physics,nominal,nearReversal,1,0.001,379,0,0,0,0,-1.00326602276008e-05,0.000133533503276317,0.000136155729182077,0.000284484481123484,0.000546163863918925,-3.2042954472103e-05,0.000463727538877282,0.000465758448868795,0.000789568942750002,0.00120022853311341,0.000136155729182077,10
Nominal physics,nominal,awayFromReversal,1,0.001,901,0,0,0,0,3.31654208208912e-06,0.00012178470481748,0.00012248090430511,0.000229986248063137,0.000680173461888756,-4.33911976613248e-06,0.000466913699863528,0.000470810789365311,0.000829144434849642,0.0016321798580475,0.00012248090430511,10
Nominal physics,nominal,all,20,0.02,1280,0,0,0,0,-2.03664340182031e-06,0.000100215932251151,0.000100386958325001,0.000205377621000447,0.000530445818106448,-3.07433457342545e-06,0.000461915344954197,0.000463114671764067,0.000793530435157637,0.00122614898985648,0.000100386958325001,10
Nominal physics,nominal,nearReversal,20,0.02,379,0,0,0,0,-2.82292222164097e-06,0.000113773953416065,0.000116473847806245,0.000247411437076231,0.000530445818106448,-2.13482669923615e-05,0.000458238942378114,0.000471676672121951,0.000791386650225813,0.00108122026762508,0.000116473847806245,10
Nominal physics,nominal,awayFromReversal,20,0.02,901,0,0,0,0,-1.77518132471726e-07,9.08447140627524e-05,9.14108580792055e-05,0.000181768930720418,0.000512705405313452,-5.71184550030736e-08,0.000458217294452743,0.000459223545706673,0.000792645694628269,0.00122614898985648,9.14108580792055e-05,10
Nominal physics,nominal,all,50,0.05,1280,0,0,0,0,-2.11201319437132e-06,0.000105447024821872,0.00010561287518735,0.000217128780782041,0.000560315206079978,-9.38402071739446e-06,0.00045962705943904,0.000461485685793694,0.000807795805337115,0.00137476047538254,0.00010561287518735,10
Nominal physics,nominal,nearReversal,50,0.05,382,0,0,0,0,7.34332372407881e-07,9.37566293388081e-05,9.46082366441134e-05,0.000192027621803344,0.000395085514525717,1.98600386936094e-05,0.000447283467922488,0.000452990784490421,0.000782768852599837,0.000990652821089705,9.46082366441134e-05,10
Nominal physics,nominal,awayFromReversal,50,0.05,898,0,0,0,0,-2.69450145003889e-06,0.000109347755045867,0.000109752675062673,0.000232919644928282,0.000560315206079978,-2.09598740188101e-05,0.000462214773402021,0.000464403821272497,0.000812104246742689,0.00137476047538254,0.000109752675062673,10
Nominal physics,nominal,all,100,0.1,1280,0,0,0,0,-2.14064068349974e-06,0.000107471071274815,0.000107635150244232,0.000221822021447864,0.000571666208118438,-3.48660266592659e-06,0.00046702050661196,0.00046878425207817,0.000812847720758279,0.00119293644972851,0.000107635150244232,10
Nominal physics,nominal,nearReversal,100,0.1,379,0,0,0,0,4.91862536853026e-06,9.58514091172522e-05,9.65375865709446e-05,0.000202538108715117,0.000535408054856856,-1.97413337177352e-05,0.000451812009692416,0.000471745848859543,0.000801017639889105,0.00119293644972851,9.65375865709446e-05,10
Nominal physics,nominal,awayFromReversal,100,0.1,901,0,0,0,0,-5.15738472599759e-06,0.000110664769094564,0.000111171546541032,0.000231666385237121,0.000571666208118438,-3.55234426630349e-06,0.000467508028649714,0.000468633171927424,0.000802198949035091,0.00118305867474078,0.000111171546541032,10
Nominal physics,nominal,all,250,0.25,1280,0,0,0,0,-2.14526776250367e-06,0.000107799884635106,0.000107963686953249,0.000222580441111347,0.000573500521251658,-4.84414125315795e-06,0.00046766939139169,0.000469123034084717,0.000821845988975531,0.00134477726879262,0.000107963686953249,10
Nominal physics,nominal,nearReversal,250,0.25,371,0,0,0,0,-1.85316558485551e-06,0.000102894265060512,0.000104691244212309,0.000212263614311272,0.000572137027485722,2.71972130565303e-05,0.000445337383829023,0.00045556637650619,0.000810958802895225,0.00134477726879262,0.000104691244212309,10
Nominal physics,nominal,awayFromReversal,250,0.25,909,0,0,0,0,-2.68970790495989e-06,0.000108474722875512,0.000108930684051076,0.000227855156618093,0.000573500521251658,-1.58591492172373e-05,0.000471565393990191,0.00047351100243135,0.000838991103805248,0.00133748632922953,0.000108930684051076,10
Persistent innovation,nominal,all,1,0.001,1280,0,0,0,0,-1.80818496204969e-06,0.000180605599779642,0.000180839750748407,0.000377519268762213,0.000988846596700343,-1.24727071548231e-05,0.000493258457130133,0.000495120427233163,0.00089908329866375,0.00149315449592828,0.000127284206982858,10
Persistent innovation,nominal,nearReversal,1,0.001,379,0,0,0,0,-1.11242122097583e-05,0.000188873355377659,0.0001909861720472,0.000388024857118109,0.000822678716679404,-3.31345064542606e-05,0.000487924907041581,0.000490025011134118,0.000861651508278989,0.00140629028972938,0.000137820384798807,10
