modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
Nominal physics,nominal,nominal_seed_130101,1,130101,1,0.001,128,0.000128273009658633,0.00048983988334491,0.000128273009658633,0.000680173461888756,0,0,0
Nominal physics,nominal,nominal_seed_130101,1,130101,20,0.02,128,9.78314106957545e-05,0.000448633034325196,9.78314106957545e-05,0.000512705405313452,0,0,0
Nominal physics,nominal,nominal_seed_130101,1,130101,50,0.05,128,0.000102942665874295,0.000463245279661486,0.000102942665874295,0.000529137262289148,0,0,0
Nominal physics,nominal,nominal_seed_130101,1,130101,100,0.1,128,0.000104917982626972,0.000459918135700826,0.000104917982626972,0.000535408054856856,0,0,0
Nominal physics,nominal,nominal_seed_130101,1,130101,250,0.25,128,0.000105238722141315,0.000474635980543014,0.000105238722141315,0.000536421394284836,0,0,0
Persistent innovation,nominal,nominal_seed_130101,1,130101,1,0.001,128,0.000194345039971053,0.000512702359851772,0.000125855894659851,0.000988846596700343,0,0,0
Persistent innovation,nominal,nominal_seed_130101,1,130101,20,0.02,128,0.000263804388639331,0.000510813788912973,0.000128205925373445,0.000982268701677169,0,0,0
Persistent innovation,nominal,nominal_seed_130101,1,130101,50,0.05,128,0.000473366355155252,0.000652596576918203,0.00032826860714248,0.0015201586951844,0,0,0
Persistent innovation,nominal,nominal_seed_130101,1,130101,100,0.1,128,0.000837793256303876,0.000968160826824204,0.000690787179644077,0.00290673417680265,0,0,0
Persistent innovation,nominal,nominal_seed_130101,1,130101,250,0.25,128,0.00194548870742622,0.00194178476134792,0.00179788861637139,0.00711212105264869,0,0,0
Linear hybrid,nominal,nominal_seed_130101,1,130101,1,0.001,128,0.000243993222369997,0.000542902172621159,0.000177948295571716,0.000789729584276588,0,0,0
Linear hybrid,nominal,nominal_seed_130101,1,130101,20,0.02,128,0.000751238458673779,0.000924626713253104,0.000167690115050054,0.00206019334187896,0,0,0
Linear hybrid,nominal,nominal_seed_130101,1,130101,50,0.05,128,0.00265790055881393,0.0026896319619482,0.00109056798847068,0.00673230447938244,0,0,0
Linear hybrid,nominal,nominal_seed_130101,1,130101,100,0.1,128,0.00856897045976884,0.00866522352475417,0.00566130033491389,0.0188172923504284,0,0,0
Linear hybrid,nominal,nominal_seed_130101,1,130101,250,0.25,128,0.038926213629089,0.0389932488666392,0.0344195196404146,0.0894526389890691,0,0,0
EDMD hybrid,nominal,nominal_seed_130101,1,130101,1,0.001,128,0.000243856531190248,0.000543028121252264,0.000177913659818195,0.000784539824447594,0,0,0
EDMD hybrid,nominal,nominal_seed_130101,1,130101,20,0.02,128,0.00075550519150756,0.000929706705157352,0.000168034468136722,0.00224372477637058,0,0,0
EDMD hybrid,nominal,nominal_seed_130101,1,130101,50,0.05,128,0.00268252207464474,0.00271733260115756,0.00109778033378693,0.00743780068036057,0,0,0
EDMD hybrid,nominal,nominal_seed_130101,1,130101,100,0.1,128,0.008656170649232,0.00875095667318401,0.00571717852479413,0.0206201359828827,0,0,0
EDMD hybrid,nominal,nominal_seed_130101,1,130101,250,0.25,128,0.0393947426335303,0.0394656164290251,0.0348179867821303,0.0909251044525011,0,0,0
Nominal physics,nominal,nominal_seed_130102,2,130102,1,0.001,128,0.000148716440489802,0.000507730548625276,0.000148716440489802,0.000546163863918925,0,0,0
