modelName,regime,eventGroup,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,nonfiniteForecastCount,learnedCandidateNonfiniteCount,unknownReversalForecastCount,startupTargetCount,truthBias,truthStd,truthRMSE,truthP95AbsoluteError,truthMaxAbsoluteError,measurementBias,measurementStd,measurementRMSE,measurementP95AbsoluteError,measurementMaxAbsoluteError,posteriorTruthRMSE
Nominal physics,nominal,all,nominal_seed_230101,1,230101,1,0.001,128,0,0,0,0,3.77825437241652e-06,0.000122822518197356,0.000122880617602787,0.000248245009064618,0.000402375983749892,-1.94724260355798e-05,0.00051100140472308,0.000511372282202186,0.000869148967409222,0.00105130469237238,0.000122880617602787
Nominal physics,nominal,all,nominal_seed_230102,2,230102,1,0.001,128,0,0,0,0,6.15238483275599e-06,8.5528630668183e-05,8.57496268394491e-05,0.000173198519556314,0.000220927700250007,-1.35598347427966e-05,0.000469476925096262,0.000469672707655122,0.000855948432767675,0.00103031547618737,8.57496268394491e-05
Nominal physics,nominal,all,nominal_seed_230103,3,230103,1,0.001,128,0,0,0,0,-1.13185535526251e-05,0.000156813664945178,0.000157221611644399,0.000324901737134176,0.000831109409043129,-2.51119934510868e-05,0.000461521926425613,0.000462204609222686,0.000812578901474015,0.00112718761503021,0.000157221611644399
Nominal physics,nominal,all,nominal_seed_230104,4,230104,1,0.001,128,0,0,0,0,7.97280463483332e-06,0.000116223251277063,0.000116496393725971,0.000215325902223562,0.00039256167298915,9.0582399134349e-05,0.000480645263061161,0.000489106368733905,0.000841099077840163,0.00102963499974074,0.000116496393725971
Nominal physics,nominal,all,nominal_seed_230105,5,230105,1,0.001,128,0,0,0,0,-3.67532962525604e-06,0.000150245649602987,0.000150290596087972,0.000354549267558957,0.000498991865784559,-1.88530033402001e-05,0.000481595681552064,0.000481964559095939,0.000848637443121136,0.00106346109179845,0.000150290596087972
Nominal physics,nominal,all,nominal_seed_230106,6,230106,1,0.001,128,0,0,0,0,1.11842018480975e-05,0.000104214854003306,0.000104813272851817,0.000213726234157247,0.000410893003350454,-6.12462634137921e-05,0.000482049739258833,0.000485924948836403,0.000865751601749565,0.0011150434444599,0.000104813272851817
Nominal physics,nominal,all,nominal_seed_230107,7,230107,1,0.001,128,0,0,0,0,-4.27701912774335e-06,0.000104126438990862,0.000104214241778832,0.000212775187400149,0.000389373943060989,4.0090256247526e-05,0.000495187252778775,0.000496807451595266,0.000795651658827598,0.00117479106835183,0.000104214241778832
Nominal physics,nominal,all,nominal_seed_230108,8,230108,1,0.001,128,0,0,0,0,3.71368271203165e-06,0.000126814287788264,0.000126868652655139,0.000254734006385621,0.000506295773732901,2.08537439611926e-05,0.000465294515598367,0.000465761596616893,0.000813741466393236,0.00132461008903545,0.000126868652655139
Nominal physics,nominal,all,nominal_seed_230109,9,230109,1,0.001,128,0,0,0,0,-1.00664129913467e-05,0.000114412822016509,0.000114854806222002,0.000223515239290761,0.000314198144920522,0.000110466329803307,0.0004609544268556,0.000474006111414176,0.000846459344230832,0.00101599369866243,0.000114854806222002
Nominal physics,nominal,all,nominal_seed_230110,10,230110,1,0.001,128,0,0,0,0,1.11882630791661e-05,0.000125809206937832,0.000126305715551811,0.000214247195711725,0.000763924239243957,-6.69684644652933e-06,0.000515995574685133,0.000516039030352326,0.000821008025518322,0.00140051160507595,0.000126305715551811
