regime,eventGroup,modelName,baseline,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,modelTruthRMSE,baselineTruthRMSE,truthRMSEDelta,modelNonfiniteForecastCount,baselineNonfiniteForecastCount,pairFailed,bothFailed,modelWins
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230101,1,230101,1,0.001,128,0.000122880617602787,0.000184373540384537,-6.14929227817494e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230101,1,230101,1,0.001,128,0.000122880617602787,0.000242782385303972,-0.000119901767701185,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230101,1,230101,1,0.001,128,0.000122880617602787,0.000122823861074388,5.67565283994835e-08,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230102,2,230102,1,0.001,128,8.57496268394491e-05,0.000135739109222807,-4.99894823833582e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230102,2,230102,1,0.001,128,8.57496268394491e-05,0.000219596399351872,-0.000133846772512423,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230102,2,230102,1,0.001,128,8.57496268394491e-05,8.57496268394491e-05,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230103,3,230103,1,0.001,128,0.000157221611644399,0.000223417261745262,-6.61956501008636e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230103,3,230103,1,0.001,128,0.000157221611644399,0.000258237461795885,-0.000101015850151486,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230103,3,230103,1,0.001,128,0.000157221611644399,0.000157221611644399,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230104,4,230104,1,0.001,128,0.000116496393725971,0.000155659642755644,-3.91632490296732e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230104,4,230104,1,0.001,128,0.000116496393725971,0.000255241059263156,-0.000138744665537185,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230104,4,230104,1,0.001,128,0.000116496393725971,0.000116496393725971,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230105,5,230105,1,0.001,128,0.000150290596087972,0.000232995162798197,-8.2704566710225e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230105,5,230105,1,0.001,128,0.000150290596087972,0.000269950316822093,-0.000119659720734122,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230105,5,230105,1,0.001,128,0.000150290596087972,0.000159710064069798,-9.41946798182632e-06,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230106,6,230106,1,0.001,128,0.000104813272851817,0.000136211516622827,-3.13982437710105e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230106,6,230106,1,0.001,128,0.000104813272851817,0.000246738126256671,-0.000141924853404854,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230106,6,230106,1,0.001,128,0.000104813272851817,0.000104813272851817,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230107,7,230107,1,0.001,128,0.000104214241778832,0.000139991610117452,-3.57773683386201e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230107,7,230107,1,0.001,128,0.000104214241778832,0.000236570135838198,-0.000132355894059366,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230107,7,230107,1,0.001,128,0.000104214241778832,0.000104214241778832,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230108,8,230108,1,0.001,128,0.000126868652655139,0.000186939629239309,-6.00709765841699e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230108,8,230108,1,0.001,128,0.000126868652655139,0.000245333576950215,-0.000118464924295076,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230108,8,230108,1,0.001,128,0.000126868652655139,0.000126868652655139,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230109,9,230109,1,0.001,128,0.000114854806222002,0.0001671193457899,-5.2264539567898e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230109,9,230109,1,0.001,128,0.000114854806222002,0.000263281216769629,-0.000148426410547627,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230109,9,230109,1,0.001,128,0.000114854806222002,0.000114854806222002,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230110,10,230110,1,0.001,128,0.000126305715551811,0.000172317047338383,-4.60113317865721e-05,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230110,10,230110,1,0.001,128,0.000126305715551811,0.000255680546870378,-0.000129374831318568,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230110,10,230110,1,0.001,128,0.000126305715551811,0.000126305715551811,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230101,1,230101,1,0.001,42,0.0001493213998333,0.000252620222446115,-0.000103298822612815,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230101,1,230101,1,0.001,42,0.0001493213998333,0.000246721808058036,-9.74004082247354e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230101,1,230101,1,0.001,42,0.0001493213998333,0.000150292921991707,-9.71522158406738e-07,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230102,2,230102,1,0.001,35,9.87456492128045e-05,0.00019276930916922,-9.40236599564158e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230102,2,230102,1,0.001,35,9.87456492128045e-05,0.000215474963822368,-0.000116729314609564,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230102,2,230102,1,0.001,35,9.87456492128045e-05,9.87456492128045e-05,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230103,3,230103,1,0.001,53,0.000162135524724061,0.000266992352550019,-0.000104856827825958,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230103,3,230103,1,0.001,53,0.000162135524724061,0.000286873838247665,-0.000124738313523604,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230103,3,230103,1,0.001,53,0.000162135524724061,0.000162135524724061,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230104,4,230104,1,0.001,34,0.000130055159655086,0.000190671262834201,-6.06161031791154e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230104,4,230104,1,0.001,34,0.000130055159655086,0.000230802453864249,-0.000100747294209163,0,0,0,0,1
