modelName,regime,originCount,physicsFallbackFraction,meanWeight,learnedFailureCount
Weighted linear hybrid,nominal,1280,0.98671875,0.00859375,0
Weighted linear hybrid,varied,1280,0.0625,0.9375,0
Weighted linear hybrid,nonlinear,1280,0.0625,0.9375,0
Weighted linear hybrid,stress,1280,0.28359375,0.71640625,0
Weighted linear hybrid,nonlinear_transient,768,0.0625,0.9375,0
Weighted linear hybrid,stress_changed_controller,768,0.4453125,0.546875,0
Weighted EDMD hybrid,nominal,1280,0.98671875,0.00859375,0
Weighted EDMD hybrid,varied,1280,0.0625,0.9375,0
Weighted EDMD hybrid,nonlinear,1280,0.0625,0.9375,0
Weighted EDMD hybrid,stress,1280,0.28359375,0.71640625,0
Weighted EDMD hybrid,nonlinear_transient,768,0.0625,0.9375,0
Weighted EDMD hybrid,stress_changed_controller,768,0.446614583333333,0.546223958333333,0
