modelName,regime,eventGroup,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,nonfiniteForecastCount,learnedCandidateNonfiniteCount,unknownReversalForecastCount,startupTargetCount,truthBias,truthStd,truthRMSE,truthP95AbsoluteError,truthMaxAbsoluteError,measurementBias,measurementStd,measurementRMSE,measurementP95AbsoluteError,measurementMaxAbsoluteError,posteriorTruthRMSE
Nominal physics,nominal,all,nominal_seed_130101,1,130101,1,0.001,128,0,0,0,0,-1.51074862458518e-05,0.000127380253046597,0.000128273009658633,0.000261465999691228,0.000680173461888756,-4.07351479085788e-05,0.000488143174734853,0.00048983988334491,0.00085938382949563,0.00102345138364462,0.000128273009658633
Nominal physics,nominal,all,nominal_seed_130102,2,130102,1,0.001,128,0,0,0,0,4.68221595161145e-06,0.000148642714337903,0.000148716440489802,0.000298541003009609,0.000546163863918925,-4.03202609412156e-05,0.000506127045873816,0.000507730548625276,0.000843713064153651,0.00120022853311341,0.000148716440489802
Nominal physics,nominal,all,nominal_seed_130103,3,130103,1,0.001,128,0,0,0,0,-5.9508427289276e-06,0.000123233709278624,0.000123377305983527,0.000221229358875807,0.000482541224059219,1.48338675508592e-05,0.000467933356252666,0.000468168420037491,0.000816216577354464,0.000976536429661889,0.000123377305983527
Nominal physics,nominal,all,nominal_seed_130104,4,130104,1,0.001,128,0,0,0,0,1.11442356773425e-05,0.000119735347660202,0.000120252848066653,0.000227127692911305,0.000614815419782394,-7.93117775548606e-05,0.000430158121266916,0.000437408696016431,0.000766716245125532,0.000947630823473489,0.000120252848066653
Nominal physics,nominal,all,nominal_seed_130105,5,130105,1,0.001,128,0,0,0,0,-1.39950510055756e-05,0.000136327130016396,0.000137043598285932,0.000283953315351471,0.000474011609175817,-3.46368378330787e-05,0.000465268443296674,0.000466555928976136,0.000890210836304701,0.000980793772988209,0.000137043598285932
Nominal physics,nominal,all,nominal_seed_130106,6,130106,1,0.001,128,0,0,0,0,6.88164460064614e-06,0.000124444486198344,0.000124634614684603,0.000244351896350026,0.000513095930032792,6.02077567344517e-05,0.00046940794758561,0.000473253415442012,0.000826345365493752,0.00107964803861131,0.000124634614684603
Nominal physics,nominal,all,nominal_seed_130107,7,130107,1,0.001,128,0,0,0,0,5.69804445269893e-07,0.000117032250207412,0.000117033637325839,0.000213580188829943,0.000476949310770663,-3.59609761409329e-05,0.00044692477324083,0.000448369205835298,0.000877887300871738,0.000970010043592373,0.000117033637325839
Nominal physics,nominal,all,nominal_seed_130108,8,130108,1,0.001,128,0,0,0,0,5.43695174171623e-06,0.000130291291480303,0.000130404681970576,0.000259075754401678,0.00044150013506844,4.59664035493611e-05,0.000491808839906001,0.000493952270229573,0.000876875173149459,0.0011380685684841,0.000130404681970576
Nominal physics,nominal,all,nominal_seed_130109,9,130109,1,0.001,128,0,0,0,0,-1.11342271551396e-05,0.000125034706765037,0.00012552947426864,0.000228615506260132,0.000641253622435108,-1.04699958681523e-05,0.000450424291991228,0.000450545961727856,0.000810381571864527,0.0016321798580475,0.00012552947426864
Nominal physics,nominal,all,nominal_seed_130110,10,130110,1,0.001,128,0,0,0,0,4.95884866236897e-06,0.000117082266520292,0.000117187231870989,0.000223837123409829,0.000468471544466442,1.26784042787292e-06,0.000477174133874376,0.000477175818182472,0.000840401845224353,0.000938935808658115,0.000117187231870989
