modelName,regime,horizonSamples,horizonSeconds,runCount,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,medianTruthRMSE,worstTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
Nominal physics,nominal,1,0.001,10,1280,0.000127245284260519,0.000471300014841745,0.000127245284260519,0.000125082044476621,0.000148716440489802,0.000680173461888756,0,0,0
Nominal physics,nominal,20,0.02,10,1280,0.000100386958325001,0.000463114671764067,0.000100386958325001,9.63822038124831e-05,0.000117652436964497,0.000530445818106448,0,0,0
Nominal physics,nominal,50,0.05,10,1280,0.00010561287518735,0.000461485685793694,0.00010561287518735,0.000101386155504073,0.000123300346117669,0.000560315206079978,0,0,0
Nominal physics,nominal,100,0.1,10,1280,0.000107635150244232,0.00046878425207817,0.000107635150244232,0.000103321676926767,0.000125489159097795,0.000571666208118438,0,0,0
Nominal physics,nominal,250,0.25,10,1280,0.000107963686953249,0.000469123034084717,0.000107963686953249,0.000103636063497187,0.000125844853614465,0.000573500521251658,0,0,0
Nominal physics,varied,1,0.001,10,1280,0.00816480239203119,0.00818133377491046,0.00816480239203119,0.00804862130516098,0.00965170491283059,0.0188821754922553,0,0,0
Nominal physics,varied,20,0.02,10,1280,0.0124052119475317,0.0123969595383958,0.0124052119475317,0.0122120435682018,0.0146467015878811,0.028682566024082,0,0,0
Nominal physics,varied,50,0.05,10,1280,0.0260710095933759,0.0260527603834538,0.0260710095933759,0.0256576768643602,0.0307555369571712,0.0601263968882034,0,0,0
Nominal physics,varied,100,0.1,10,1280,0.0495113462876853,0.0494937227595303,0.0495113462876853,0.0487427893344974,0.058277203207897,0.113965394491381,0,0,0
Nominal physics,varied,250,0.25,10,1280,0.113860972158386,0.113846489944616,0.113860972158386,0.113214734957426,0.132835112303327,0.255181826031277,180,0.140625,0
Nominal physics,nonlinear,1,0.001,10,1280,0.0158798685421643,0.0158699148393669,0.0158798685421643,0.0155901360231804,0.0247739934809318,0.0407615697670305,0,0,0
Nominal physics,nonlinear,20,0.02,10,1280,0.0240675742511006,0.0240674434276276,0.0240675742511006,0.0235186194513161,0.0376261060716329,0.0618630694409259,0,0,0
Nominal physics,nonlinear,50,0.05,10,1280,0.0500855313121596,0.0500792294486154,0.0500855313121596,0.0486479756667445,0.0785949710578051,0.129447002707085,0,0,0
Nominal physics,nonlinear,100,0.1,10,1280,0.0929271841360919,0.0929234902571524,0.0929271841360919,0.089184537030498,0.147014013054141,0.243028843118321,65,0.05078125,0
Nominal physics,nonlinear,250,0.25,10,1280,0.195310246480956,0.195311132635528,0.195310246480956,0.187019933463846,0.312990239654266,0.510759125510121,510,0.3984375,0
Nominal physics,stress,1,0.001,10,1280,0.0394859882732172,0.0394789232661218,0.0394859882732172,0.037285689736944,0.0586411169020565,0.0955257805014929,0,0,0
Nominal physics,stress,20,0.02,10,1280,0.0597341503005561,0.0597452851707015,0.0597341503005561,0.0564338653404122,0.0891278726746885,0.145039385954685,0,0,0
Nominal physics,stress,50,0.05,10,1280,0.123513779778676,0.12351330363377,0.123513779778676,0.116753477034489,0.185930460151159,0.30506314429292,217,0.16953125,0
Nominal physics,stress,100,0.1,10,1280,0.225966648764588,0.225983495884968,0.225966648764588,0.213914325474402,0.346297277420069,0.58149881835155,646,0.5046875,0
