rowScope,modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,runCount,forecastCount,nonfiniteForecastCount,nonfiniteForecastFraction,oneStepPairCount,oneStepNonfiniteCount,oneStepLiftedRelativeError,oneStepInnovationRMSE,oneStepInnovationNormalizedRMSE,constantCoordinateRMSE,quadraticConsistencyRMSE,quadraticConsistencyRelativeError,consistencyNonfiniteCount
run,Linear hybrid,nominal,nominal_seed_130101,1,130101,1,0.001,1,128,0,0,128,0,0.0470965520028878,0.000542902172621159,0.0469419904843257,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130101,1,130101,20,0.02,1,128,0,0,128,0,0.0470965520028878,0.000542902172621159,0.0469419904843257,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130101,1,130101,50,0.05,1,128,0,0,128,0,0.0470965520028878,0.000542902172621159,0.0469419904843257,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130101,1,130101,100,0.1,1,128,0,0,128,0,0.0470965520028878,0.000542902172621159,0.0469419904843257,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130101,1,130101,250,0.25,1,128,0,0,128,0,0.0470965520028878,0.000542902172621159,0.0469419904843257,0,0,0,0
run,EDMD hybrid,nominal,nominal_seed_130101,1,130101,1,0.001,1,128,0,0,128,0,0.0539392282140729,0.000543028121252264,0.0469528806220724,0,0.0169949076606489,0.0486192462412768,0
run,EDMD hybrid,nominal,nominal_seed_130101,1,130101,20,0.02,1,128,0,0,128,0,0.0539392282140729,0.000543028121252264,0.0469528806220724,0,0.103647894743497,0.28944464131762,0
run,EDMD hybrid,nominal,nominal_seed_130101,1,130101,50,0.05,1,128,0,0,128,0,0.0539392282140729,0.000543028121252264,0.0469528806220724,0,0.198457803689265,0.539302849281891,0
run,EDMD hybrid,nominal,nominal_seed_130101,1,130101,100,0.1,1,128,0,0,128,0,0.0539392282140729,0.000543028121252264,0.0469528806220724,0,0.338915561702962,0.879391689496461,0
run,EDMD hybrid,nominal,nominal_seed_130101,1,130101,250,0.25,1,128,0,0,128,0,0.0539392282140729,0.000543028121252264,0.0469528806220724,0,0.604261174723177,1.40769860423515,0
run,Linear hybrid,nominal,nominal_seed_130102,2,130102,1,0.001,1,128,0,0,128,0,0.0434323330636569,0.000540265439403357,0.0467140055694336,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130102,2,130102,20,0.02,1,128,0,0,128,0,0.0434323330636569,0.000540265439403357,0.0467140055694336,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130102,2,130102,50,0.05,1,128,0,0,128,0,0.0434323330636569,0.000540265439403357,0.0467140055694336,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130102,2,130102,100,0.1,1,128,0,0,128,0,0.0434323330636569,0.000540265439403357,0.0467140055694336,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130102,2,130102,250,0.25,1,128,0,0,128,0,0.0434323330636569,0.000540265439403357,0.0467140055694336,0,0,0,0
run,EDMD hybrid,nominal,nominal_seed_130102,2,130102,1,0.001,1,128,0,0,128,0,0.0607964631029744,0.000540113356886397,0.0467008557674545,0,0.0222524775243863,0.0577653014874809,0
run,EDMD hybrid,nominal,nominal_seed_130102,2,130102,20,0.02,1,128,0,0,128,0,0.0607964631029744,0.000540113356886397,0.0467008557674545,0,0.117052721001231,0.30171103289232,0
run,EDMD hybrid,nominal,nominal_seed_130102,2,130102,50,0.05,1,128,0,0,128,0,0.0607964631029744,0.000540113356886397,0.0467008557674545,0,0.215349580006978,0.564475758368691,0
run,EDMD hybrid,nominal,nominal_seed_130102,2,130102,100,0.1,1,128,0,0,128,0,0.0607964631029744,0.000540113356886397,0.0467008557674545,0,0.349584748566439,0.862830777731127,0
run,EDMD hybrid,nominal,nominal_seed_130102,2,130102,250,0.25,1,128,0,0,128,0,0.0607964631029744,0.000540113356886397,0.0467008557674545,0,0.625336264193606,1.48596906163823,0
run,Linear hybrid,nominal,nominal_seed_130103,3,130103,1,0.001,1,128,0,0,128,0,0.0381718490727262,0.000487693289050705,0.0421683590311634,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130103,3,130103,20,0.02,1,128,0,0,128,0,0.0381718490727262,0.000487693289050705,0.0421683590311634,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130103,3,130103,50,0.05,1,128,0,0,128,0,0.0381718490727262,0.000487693289050705,0.0421683590311634,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130103,3,130103,100,0.1,1,128,0,0,128,0,0.0381718490727262,0.000487693289050705,0.0421683590311634,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130103,3,130103,250,0.25,1,128,0,0,128,0,0.0381718490727262,0.000487693289050705,0.0421683590311634,0,0,0,0
