modelName,singularIndex,singularValue,retained,ridgeFilterFactor,inverseGain
Linear hybrid,1,2.18961532318923,1,0.999791467486121,0.456605987772271
Linear hybrid,2,1.08959659870914,1,0.99915840553891,0.916998462295704
Linear hybrid,3,1.00000000199091,1,0.999000999004973,0.99900099701605
Linear hybrid,4,0.0970700888608823,1,0.90405467027637,9.31342168205937
Linear hybrid,5,0.0937543421997112,1,0.897853667359255,9.57666222484595
Linear hybrid,6,0.0122991169968949,1,0.131392727199439,10.6831024725279
Linear hybrid,7,0.00048728111470408,1,0.000237386519007378,0.487165440736483
EDMD hybrid,1,6.37034332187062,1,0.999975358699736,0.156973542582333
EDMD hybrid,2,2.24177840076997,1,0.999801057197892,0.445985676753107
EDMD hybrid,3,2.18549681348713,1,0.999790680962464,0.457466089537427
EDMD hybrid,4,1.24038736933587,1,0.99935046411736,0.80567610475785
EDMD hybrid,5,1.08940716913485,1,0.999158113081659,0.917157644441735
EDMD hybrid,6,0.663436602533197,1,0.997733187693627,1.50388625512066
EDMD hybrid,7,0.224945752698744,1,0.980620377249872,4.35936382654514
EDMD hybrid,8,0.111141835909233,1,0.925107700870059,8.32366762076503
EDMD hybrid,9,0.0973253546381804,1,0.904509306006933,9.29366565752124
EDMD hybrid,10,0.0970468466734179,1,0.90401311978707,9.31522404668392
EDMD hybrid,11,0.0935304758826112,1,0.897414327286546,9.59488678762715
EDMD hybrid,12,0.0436344575293975,1,0.655643337427145,15.0258161680003
EDMD hybrid,13,0.0148278099271297,1,0.180236449920029,12.1552981057749
EDMD hybrid,14,0.0122913181555239,1,0.131248011524668,10.6781070885943
EDMD hybrid,15,0.00885137370387263,1,0.0726545627536145,8.20828101764892
EDMD hybrid,16,0.00876013195705987,1,0.0712706114602214,8.13579199600798
EDMD hybrid,17,0.00330402302893649,1,0.0107986836099068,3.26834392960716
EDMD hybrid,18,0.00169767667468731,1,0.00287382342776951,1.69279785168682
EDMD hybrid,19,0.000624326598775032,1,0.000389631829800988,0.624083341259958
EDMD hybrid,20,0.000487101182865279,1,0.000237211279806632,0.486985636970296
EDMD hybrid,21,0.000310661231816459,1,9.65010875950633e-05,0.310631252669715
EDMD hybrid,22,6.17220137121638e-05,1,3.8095924636345e-06,0.0617217785764455
