path,sha256
replay_controller.m,68aacdc62b32c4249da438743356d5e8ac77da5f7cff669fd9cebd4dbd2ec2d0
run_checks.m,c723d4d8e5587f8d241a24f31909a505378f93b5c0cd4d19bcd2ef82e41a5cd8
run_correction_study.m,2d37859a25277f3196fe62bdcfea6947916173cdbaece5a489267fca3d850732
run_diagnostics.m,c1d6522367319fa3efc1cf1bf68700882f3eabf74aea1f155f9491e8c5b07fb5
run_experiment.m,4ec141fae5c4175f96c4ccb1d04350b45c53302d653010ccb9eae232736873c6
run_verification.m,1f8e68e993960babcba18f1657eb35e256b2df9b04634fbab2fd15a78ffe91d6
code\edmd_fit.m,dd4da87c15bea747a7092d2d021ec428072dd1403dd40a956e12fc70bc25cb43
code\edmd_lift.m,8ed55452289dd91b28adfd6f1dc2f7ed5fdf3578bf552efaffd4f00f2a4ede16
code\edmd_load_controller.m,93a0dfb195ba8c5de0a0ecf9433f76cc3922b538feabc1ebe66625ba52cc9a34
code\edmd_predict.m,c696abab8fc0ac9dfcabd774fb276ac2161328bffe70c074b126f1b9b6fe0e26
code\edmd_score.m,73f75d589b8a2d16f91cc13670df88c53195ccad325d978bf7a668579679ad76
code\edmd_snapshot_pairs.m,ed2a9b82603c9fca458d52dbcccda13728b4a4316f2c2bf10174f4da996934b1
code\hybrid_correction_weight.m,b697434cad0de7116733ebabb799e8a6da7203902bf2049ab211414e2ceccb03
code\hybrid_endpoint_summary.m,7b23794ff6190cd3261d4ae11479f10b40e86d9737f0a91379f9864ba95425b7
code\hybrid_forecast.m,0114b5ab9bf30fed97d6fef2f916cbaa8c32ff3de48aec61ca3146f8da60624c
code\hybrid_make_figures.m,726c6b8193a792f0327bde46af46097fe4cd05304e9187032c32b5942af05230
code\hybrid_model_diagnostics.m,0f27b69938b12edc9a69bcfe7cc8c34ae4411604a916e31da71cc7d7d47eecd5
code\hybrid_prepare_records.m,f58753abb5bec013272b5d2f11240555b7816a6839f3a4a8b44b67b287204928
code\hybrid_reference_observer.m,b71e1cfc5bebd87100daf4bc35c4d90b39a1c25dabb2e8c28d59314f186f54a8
code\hybrid_score.m,4014bad8573ba1029b6a683ad0a7c3b31e8425877c0bb47012ce676e11149c32
code\hybrid_summarize.m,a583e74f19bc0d76eaf50477035d8d514f09b463538d94ba2de4e5a39dad01e8
code\hybrid_write_json.m,9b8d35673959da5a25615b16c8a9a2ad6c5c33fbeb3a14b8077e475095548b56
code\study_generate_records.m,0a0faa72aee0b2912b4bde465a396355f09cb6ea9d9a744edb9e8f34e171456d
tests\TestEDMDPrototype.m,5934610a8cc8b4269974ffd86929e59aa6cf51fe11e92a46feb0e3beee20fd74
tests\TestHybridCorrectionPolicy.m,c0a484a07c9ceccfd5c60b5cd621cdd0935afeb75d9c0f95f80d559355d06976
tests\TestHybridCorrectionWeight.m,59599760296d157ec9a16998a7650d5d76cee2253497900898c762c73b716f97
tests\TestHybridEndpointDiagnostics.m,09a2aa52ad1dace2425dafac1de23db4a4b69f91c1c8d2c76652e290aea6396e
tests\TestHybridForecast.m,ef58d5b5f519acdb795bb4d5060163dd79d0cc699d6a0b94ed4aefe95a7bbdf0
tests\TestHybridModelDiagnostics.m,feb5b09c47bb37075b44c5143701d73fb2cfce14d80df18bc1d705a6da036486
tests\TestHybridPreparation.m,134c1f8dd70648f85a316a3170476a0c521507c10e865945f9555b407ddddb4d
tests\TestHybridReplay.m,92fd5c5a9b6d08b2ba270dc6b9d999b51f22aaec84445772ce6222be7d244904
tests\TestStudyGenerator.m,be1634f2c62046fee6d8c93e1d11f0b3b0b8ef773eeecdc8fa11e637184026b5
tests\TestStudyTransients.m,b4911cc662f6b0bb2de26861867fde7f674e79a2e8041fc2f97407b8fbe99a92
reference_project\03_MATLAB\functions\actuator_state_space.m,62a51dc69fe6f8426c0f91d571b13a1689f5705343054a7ef37eb818a8edaeea
reference_project\03_MATLAB\functions\validate_parameters.m,9e059fe0227987a296454202fbe0db0e3c22a29b9de444478863e39c2e1a9756
reference_project\03_MATLAB\parameters\actuator_parameters.m,1aae0d6c2543d8d1bfe50af11a62b677cdc92c308338a72b2ae13f19d1ff32dc
