check,passed,detail
automated_tests,1,"74 tests; 74 passed."
disjoint_splits,1,"128 distinct planned seeds across all four splits."
distinct_measured_trajectories,1,"No identical measurement/input record across splits."
original_selection_degree_1,1,"Stored candidate is the minimum validation loss in its degree family."
original_selection_degree_2,1,"Stored candidate is the minimum validation loss in its degree family."
selection_order_recorded,1,"Recorded execution order agrees with reviewed runner; not independent preregistration."
refit_and_validation_reproduction,1,"All 18 validation candidates and both selected fits reproduce."
original_data_reproduction,1,"All 76 original measured inputs, outputs, times and true states reproduce."
original_forecast_and_benefit_reproduction,1,"Forecasts, paired bootstrap comparisons and the negative EDMD benefit screen reproduce."
correction_selection_reproduction,1,"All 20 candidate scores, eligibility and both minimum-loss eligible policies reproduce."
correction_evidence_reproduction,1,"All 52 additional records, 199680 endpoints, events, paired comparisons and weight usage reproduce."
diagnostic_evidence_reproduction,1,"All 102400 diagnostic endpoints and saved event, spectral and lifted-rollout tables reproduce."
original_default_preserved,1,"The original experiment/replay pointer is unchanged."
