time_s,theta_ref_rad,theta_rad,position_error_rad,voltage_cmd_V
0,0,0,0,0
0.001,0,0,0,0
0.002,0,0,0,0
0.003,0,0,0,0
0.004,0,0,0,0
0.005,0,0,0,0
0.006,0,0,0,0
0.007,0,0,0,0
0.008,0,0,0,0
0.009,0,0,0,0
0.01,0,0,0,0
0.011,0,0,0,0
0.012,0,0,0,0
0.013,0,0,0,0
0.014,0,0,0,0
0.015,0,0,0,0
0.016,0,0,0,0
0.017,0,0,0,0
0.018,0,0,0,0
0.019,0,0,0,0
0.02,0,0,0,0
0.021,0,0,0,0
0.022,0,0,0,0
0.023,0,0,0,0
0.024,0,0,0,0
0.025,0,0,0,0
0.026,0,0,0,0
0.027,0,0,0,0
0.028,0,0,0,0
0.029,0,0,0,0
0.03,0,0,0,0
0.031,0,0,0,0
0.032,0,0,0,0
0.033,0,0,0,0
0.034,0,0,0,0
0.035,0,0,0,0
0.036,0,0,0,0
0.037,0,0,0,0
0.038,0,0,0,0
0.039,0,0,0,0
0.04,0,0,0,0
0.041,0,0,0,0
0.042,0,0,0,0
0.043,0,0,0,0
0.044,0,0,0,0
0.045,0,0,0,0
0.046,0,0,0,0
0.047,0,0,0,0
0.048,0,0,0,0
0.049,0,0,0,0
0.05,0,0,0,0
0.051,0,0,0,0
0.052,0,0,0,0
0.053,0,0,0,0
0.054,0,0,0,0
0.055,0,0,0,0
0.056,0,0,0,0
0.057,0,0,0,0
0.058,0,0,0,0
0.059,0,0,0,0
0.06,0,0,0,0
0.061,0,0,0,0
0.062,0,0,0,0
0.063,0,0,0,0
0.064,0,0,0,0
0.065,0,0,0,0
0.066,0,0,0,0
0.067,0,0,0,0
0.068,0,0,0,0
0.069,0,0,0,0
0.07,0,0,0,0
0.071,0,0,0,0
0.072,0,0,0,0
0.073,0,0,0,0
0.074,0,0,0,0
0.075,0,0,0,0
0.076,0,0,0,0
0.077,0,0,0,0
0.078,0,0,0,0
0.079,0,0,0,0
0.08,0,0,0,0
0.081,0,0,0,0
0.082,0,0,0,0
0.083,0,0,0,0
0.084,0,0,0,0
0.085,0,0,0,0
0.086,0,0,0,0
0.087,0,0,0,0
0.088,0,0,0,0
0.089,0,0,0,0
0.09,0,0,0,0
0.091,0,0,0,0
0.092,0,0,0,0
0.093,0,0,0,0
0.094,0,0,0,0
0.095,0,0,0,0
0.096,0,0,0,0
0.097,0,0,0,0
0.098,0,0,0,0
0.099,0,0,0,0
0.1,0.523598775598299,0,0.523598775598299,1.4072926446309
0.101,0.523598775598299,4.45218265702949e-05,0.523554253771728,1.38892542072261
0.102,0.523598775598299,0.00031838385052,0.523280391747779,1.37064920251435
0.103,0.523598775598299,0.000965080559626825,0.522633695038672,1.35206237097213
0.104,0.523598775598299,0.00206510228706424,0.521533673311235,1.33293814664519
0.105,0.523598775598299,0.00365882019882503,0.519939955399474,1.3131606748891
0.106,0.523598775598299,0.00576115152665334,0.517837624071645,1.29268409317719
0.107,0.523598775598299,0.0083709588486258,0.515227816749673,1.27150632104951
0.108,0.523598775598299,0.0114770755216481,0.512121700076651,1.24965228197709
0.109,0.523598775598299,0.0150621692937141,0.508536606304585,1.22716316805648
0.11,0.523598775598299,0.0191052204968749,0.504493555101424,1.20408957655543
0.111,0.523598775598299,0.0235831121783154,0.500015663419983,1.18048712759693
0.112,0.523598775598299,0.0284716507836206,0.495127124814678,1.15641367207565
0.113,0.523598775598299,0.0337462215107945,0.489852554087504,1.13192751905639
0.114,0.523598775598299,0.0393822091123181,0.484216566485981,1.10708631698504
0.115,0.523598775598299,0.0453552679427882,0.478243507655511,1.08194635441002
0.116,0.523598775598299,0.0516414949559411,0.471957280642358,1.05656213006334
0.117,0.523598775598299,0.0582175400775308,0.465381235520768,1.03098609605619
0.118,0.523598775598299,0.0650606760316851,0.458538099566614,1.00526851247641
0.119,0.523598775598299,0.0721488417875956,0.451449933810703,0.979457373797389
0.12,0.523598775598299,0.0794606687254458,0.444138106872853,0.953598381680952
0.121,0.523598775598299,0.0869754953735181,0.436623280224781,0.927734947838143
0.122,0.523598775598299,0.0946733744878818,0.428925401110417,0.901908216430823
0.123,0.523598775598299,0.102535074912699,0.4210637006856,0.876157099227207
0.124,0.523598775598299,0.110542079804407,0.413056695793892,0.850518319115961
0.125,0.523598775598299,0.118676582254839,0.404922193343459,0.825026459117695
0.126,0.523598775598299,0.126921478996508,0.396677296601791,0.799714015017708
0.127,0.523598775598299,0.135260362647248,0.38833841295105,0.774611450376941
0.128,0.523598775598299,0.143677512805954,0.379921262792345,0.749747253085782
0.129,0.523598775598299,0.152157886217305,0.371440889380994,0.725147992888616
0.13,0.523598775598299,0.160687106162626,0.362911669435673,0.700838379477655
0.131,0.523598775598299,0.169251451194423,0.354347324403876,0.676841320865872
0.132,0.523598775598299,0.177837843306165,0.345760932292134,0.65317798182212
0.133,0.523598775598299,0.186433835611586,0.337164939986713,0.629867842200258
0.134,0.523598775598299,0.195027599596063,0.328571176002235,0.606928755027222
0.135,0.523598775598299,0.203607911994534,0.319990863603765,0.584377004237936
0.136,0.523598775598299,0.21216414134457,0.311434634253729,0.562227361961358
0.137,0.523598775598299,0.220686234258944,0.302912541339355,0.540493145274213
0.138,0.523598775598299,0.229164701458619,0.29443407413968,0.51918627234832
0.139,0.523598775598299,0.237590603604395,0.286008171993904,0.498317317925084
0.14,0.523598775598299,0.245955536963099,0.2776432386352,0.477895568057069
0.141,0.523598775598299,0.254251618942189,0.26934715665611,0.457929074062119
0.142,0.523598775598299,0.262471473524758,0.261127302073541,0.438424705640471
0.143,0.523598775598299,0.270608216635225,0.252990558963074,0.419388203109803
0.144,0.523598775598299,0.278655441464376,0.244943334133923,0.4008242287174
0.145,0.523598775598299,0.286607203780849,0.23699157181745,0.382736416992539
0.146,0.523598775598299,0.294458007254695,0.229140768343604,0.365127424105951
0.147,0.523598775598299,0.302202788817197,0.221395986781102,0.347998976206747
0.148,0.523598775598299,0.309836904079742,0.213761871518557,0.331351916710577
0.149,0.523598775598299,0.317356112833201,0.206242662765097,0.315186252516008
0.15,0.523598775598299,0.324756564647956,0.198842210950343,0.299501199129202
0.151,0.523598775598299,0.332034784593451,0.191563991004848,0.284295224679868
0.152,0.523598775598299,0.339187659094934,0.184411116503364,0.269566092814312
0.153,0.523598775598299,0.346212421943824,0.177386353654474,0.255310904454038
0.154,0.523598775598299,0.353106640477031,0.170492135121267,0.241526138410924
0.155,0.523598775598299,0.359868201939412,0.163730573658886,0.228207690852389
0.156,0.523598775598299,0.36649530004248,0.157103475555819,0.215350913612296
0.157,0.523598775598299,0.372986421731426,0.150612353866872,0.202950651345482
0.158,0.523598775598299,0.37934033417154,0.144258441426759,0.191001277525904
0.159,0.523598775598299,0.385556071964093,0.138042703634206,0.179496729290312
0.16,0.523598775598299,0.391632924600873,0.131965850997426,0.168430541131234
0.161,0.523598775598299,0.397570424165607,0.126028351432691,0.157795877444772
0.162,0.523598775598299,0.403368333289688,0.120230442308611,0.147585563940344
0.163,0.523598775598299,0.409026633368748,0.114572142229551,0.137792117921065
0.164,0.523598775598299,0.414545513045867,0.109053262552432,0.128407777444861
0.165,0.523598775598299,0.419925356966416,0.103673418631883,0.119424529377772
0.166,0.523598775598299,0.425166734808806,0.0984320407894928,0.110834136352142
0.167,0.523598775598299,0.430270390594726,0.0933283850035724,0.102628162643559
0.168,0.523598775598299,0.435237232281789,0.0883615433165102,0.0947979989814744
0.169,0.523598775598299,0.440068321640847,0.083530453957452,0.0873348863094191
0.17,0.523598775598299,0.444764864419675,0.0788339111786238,0.0802299385116562
0.171,0.523598775598299,0.449328200794098,0.0742705748042011,0.0734741641239271
0.172,0.523598775598299,0.453759796107132,0.0698389794911667,0.0670584870467118
0.173,0.523598775598299,0.458061231896179,0.0655375437021199,0.0609737662801121
0.174,0.523598775598299,0.462234197207813,0.0613645783904855,0.0552108147000711
0.175,0.523598775598299,0.466280480199266,0.0573182953990323,0.0497604168962011
0.176,0.523598775598299,0.470201960025251,0.0533968155730476,0.0446133460919743
0.177,0.523598775598299,0.474000599008379,0.0495981765899196,0.0397603801684518
0.178,0.523598775598299,0.477678435091033,0.045920340507266,0.03519231681309
0.179,0.523598775598299,0.481237574566193,0.0423612010321054,0.0308999878154809
0.18,0.523598775598299,0.484680185084396,0.0389185905139033,0.0268742725321242
0.181,0.523598775598299,0.488008488933662,0.035590286664637,0.0231061105425484
0.182,0.523598775598299,0.491224756588983,0.0323740190093154,0.0195865135192396
0.183,0.523598775598299,0.494331300527643,0.0292674750706561,0.0163065763339529
0.184,0.523598775598299,0.497330469306425,0.0262683062918734,0.0132574874230488
0.185,0.523598775598299,0.500224641896544,0.0233741337017551,0.0104305384345102
0.186,0.523598775598299,0.503016222271882,0.020582553326417,0.00781713317929036
0.187,0.523598775598299,0.505707634245986,0.0178911413523133,0.00540879590958423
0.188,0.523598775598299,0.508301316553047,0.0152974590452523,0.00319717894651963
0.189,0.523598775598299,0.510799718167979,0.0127990574303197,0.00117406967965841
0.19,0.523598775598299,0.513205293860543,0.010393481737756,-0.000668603039470558
0.191,0.523598775598299,0.515520499978354,0.00807827561994523,-0.0023387630877568
0.192,0.523598775598299,0.517747790453508,0.00585098514479065,-0.00384418182298072
0.193,0.523598775598299,0.519889613027463,0.00370916257083609,-0.00519247337676596
0.194,0.523598775598299,0.521948405688725,0.0016503699095739,-0.00639109046667494
0.195,0.523598775598299,0.523926593317854,-0.00032781771955559,-0.00744732070638174
0.196,0.523598775598299,0.525826584534219,-0.00222780893592012,-0.00836828339316628
0.197,0.523598775598299,0.527650768738907,-0.00405199314060867,-0.00916092675228439
0.198,0.523598775598299,0.529401513348179,-0.00580273774988038,-0.00983202561811533
0.199,0.523598775598299,0.531081161211808,-0.00748238561350933,-0.0103881795323307
0.2,0.523598775598299,0.532692028210677,-0.00909325261237814,-0.0108358112397056
0.201,0.523598775598299,0.534236401027977,-0.0106376254296779,-0.0111811655625643
0.202,0.523598775598299,0.535716535088383,-0.0121177594900842,-0.0114303086352459
0.203,0.523598775598299,0.537134652659599,-0.0135358770613007,-0.0115891274803864
0.204,0.523598775598299,0.53849294111069,-0.0148941655123913,-0.0116633299092011
0.205,0.523598775598299,0.539793551321659,-0.0161947757233604,-0.0116584447283992
0.206,0.523598775598299,0.541038596238783,-0.0174398206404847,-0.0115798222367617
0.207,0.523598775598299,0.542230149570252,-0.018631373971953,-0.0114326349948567
0.208,0.523598775598299,0.543370244616726,-0.0197714690184272,-0.0112218788518031
0.209,0.523598775598299,0.544460873231502,-0.0208620976332029,-0.01095237421342
0.21,0.523598775598299,0.545503984905016,-0.0219052093067176,-0.0106287675365556
0.211,0.523598775598299,0.546501485968527,-0.0229027103702286,-0.0102555330348196
0.212,0.523598775598299,0.547455238911862,-0.0238564633135635,-0.00983697458139518
0.213,0.523598775598299,0.548367061810225,-0.0247682862119262,-0.0093772277950471
0.214,0.523598775598299,0.549238727855135,-0.0256399522568362,-0.00888026229588487
0.215,0.523598775598299,0.550071964984659,-0.0264731893863606,-0.00834988411788337
0.216,0.523598775598299,0.5508684556082,-0.0272696800099012,-0.007789738265607
0.217,0.523598775598299,0.55162983642119,-0.028031060822891,-0.00720331140300931
0.218,0.523598775598299,0.552357698305156,-0.0287589227068573,-0.006593934662631
0.219,0.523598775598299,0.553053586308707,-0.0294548107104087,-0.00596478656393171
0.22,0.523598775598299,0.553718999705107,-0.0301202241068083,-0.00531889602993116
0.221,0.523598775598299,0.5543553921222,-0.0307566165239015,-0.00465914549174471
0.222,0.523598775598299,0.554964171740571,-0.0313653961422726,-0.00398827407102739
0.223,0.523598775598299,0.555546701555914,-0.0319479259576155,-0.0033088808307363
0.224,0.523598775598299,0.556104299701707,-0.0325055241034087,-0.00262342808503599
0.225,0.523598775598299,0.556638239828397,-0.033039464230098,-0.00193424475956192
0.226,0.523598775598299,0.557149751535401,-0.0335509759371021,-0.00124352979365647
0.227,0.523598775598299,0.55764002085236,-0.0340412452540608,-0.000553355576568523
0.228,0.523598775598299,0.558110190766162,-0.0345114151678633,0.000134328590020297
0.229,0.523598775598299,0.558561361790397,-0.0349625861920978,0.00081769301038839
0.23,0.523598775598299,0.55899459257398,-0.0353958169756809,0.00149502410100202
0.231,0.523598775598299,0.559410900545827,-0.0358121249475286,0.00216472089111366
0.232,0.523598775598299,0.559811262592542,-0.0362124869942432,0.00282529152393676
0.233,0.523598775598299,0.560196615766197,-0.0365978401678979,0.00347534976425936
0.234,0.523598775598299,0.560567858019407,-0.0369690824211077,0.00411361151803216
0.235,0.523598775598299,0.560925848964981,-0.0373270733666818,0.00473889136914876
0.236,0.523598775598299,0.561271410657557,-0.0376726350592583,0.00535009913831544
0.237,0.523598775598299,0.561605328394723,-0.0380065527964237,0.00594623646861839
0.238,0.523598775598299,0.561928351535223,-0.0383295759369244,0.00652639344209085
0.239,0.523598775598299,0.562241194331975,-0.0386424187336765,0.00708974523130226
0.24,0.523598775598299,0.562544536777681,-0.0389457611793818,0.00763554878970787
0.241,0.523598775598299,0.562839025460949,-0.0392402498626497,0.00816313958424644
0.242,0.523598775598299,0.563125274430928,-0.0395264988326293,0.0086719283733864
0.243,0.523598775598299,0.56340386606854,-0.0398050904702415,0.00916139803359886
0.244,0.523598775598299,0.563675351962497,-0.0400765763641978,0.00963110043697082
0.245,0.523598775598299,0.56394025378838,-0.0403414781900814,0.0100806533824546
0.246,0.523598775598299,0.564199064189154,-0.0406002885908556,0.0105097375830082
0.247,0.523598775598299,0.564452247655546,-0.0408534720572468,0.0109180937106833
0.248,0.523598775598299,0.564700241404837,-0.041101465806538,0.0113055195014914
0.249,0.523598775598299,0.564943456256688,-0.0413446806583893,0.0116718669216872
0.25,0.523598775598299,0.565182277504679,-0.0415835019063805,0.0120170393969178
0.251,0.523598775598299,0.565417065782348,-0.0418182901840496,0.0123409891054932
0.252,0.523598775598299,0.565648157922575,-0.0420493823242765,0.0126437143368666
0.253,0.523598775598299,0.565875867809235,-0.0422770922109365,0.0129252569162385
0.254,0.523598775598299,0.566100487220114,-0.042501711621815,0.0131856996960399
0.255,0.523598775598299,0.566322286660149,-0.0427235110618499,0.0134251641148934
0.256,0.523598775598299,0.566541516184128,-0.042942740585829,0.0136438078245097
0.257,0.523598775598299,0.566758406208039,-0.0431596306097406,0.0138418223848315
0.258,0.523598775598299,0.566973168308332,-0.0433743927100328,0.0140194310276111
0.259,0.523598775598299,0.567185996008399,-0.0435872204101003,0.0141768864884763
0.26,0.523598775598299,0.567397065551676,-0.0437982899533775,0.0143144689074281
0.261,0.523598775598299,0.567606536660767,-0.0440077610624678,0.0144324837975915
0.262,0.523598775598299,0.567814553282098,-0.0442157776837987,0.0145312600819433
0.263,0.523598775598299,0.56802124431564,-0.0444224687173416,0.0146111481976433
0.264,0.523598775598299,0.568226724329283,-0.0446279487309839,0.0146725182674884
0.265,0.523598775598299,0.568431094257493,-0.0448323186591945,0.0147157583379353
0.266,0.523598775598299,0.568634442083961,-0.0450356664856617,0.0147412726830535
0.267,0.523598775598299,0.568836843507935,-0.045238067909636,0.0147494801736813
0.268,0.523598775598299,0.569038362594042,-0.0454395869957431,0.0147408127110082
0.269,0.523598775598299,0.569239052405378,-0.0456402768070796,0.0147157137237176
0.27,0.523598775598299,0.569438955619739,-0.0458401800214402,0.0146746367277825
0.271,0.523598775598299,0.569638105128858,-0.046039329530559,0.0146180439479383
0.272,0.523598775598299,0.569836524620587,-0.0462377490222886,0.0145464049998109
0.273,0.523598775598299,0.570034229143964,-0.0464354535456656,0.0144601956316298
0.274,0.523598775598299,0.570231225657149,-0.04663245005885,0.014359896524418
0.275,0.523598775598299,0.570427513558249,-0.0468287379599504,0.0142459921494981
0.276,0.523598775598299,0.570623085199077,-0.0470243096007781,0.0141189696821428
0.277,0.523598775598299,0.570817926381897,-0.0472191507835977,0.0139793179701443
0.278,0.523598775598299,0.571012016839267,-0.0474132412409687,0.0138275265560629
0.279,0.523598775598299,0.57120533069709,-0.0476065550987916,0.0136640847518955
0.28,0.523598775598299,0.571397836921001,-0.0477990613227018,0.0134894807648679
0.281,0.523598775598299,0.571589499746265,-0.0479907241479661,0.0133042008730612
0.282,0.523598775598299,0.571780279091361,-0.0481815034930625,0.0131087286495463
0.283,0.523598775598299,0.571970130955437,-0.0483713553571382,0.0129035442337092
0.284,0.523598775598299,0.572159007799857,-0.0485602322015583,0.0126891236484307
0.285,0.523598775598299,0.572346858914073,-0.0487480833157738,0.0124659381617772
0.286,0.523598775598299,0.572533630766049,-0.0489348551677502,0.0122344536918732
0.287,0.523598775598299,0.572719267337508,-0.0491204917392094,0.0119951302536002
0.288,0.523598775598299,0.572903710444254,-0.0493049348459554,0.0117484214457983
0.289,0.523598775598299,0.573086900041856,-0.0494881244435571,0.0114947739776194
0.29,0.523598775598299,0.573268774516974,-0.0496699989186755,0.0112346272327192
0.291,0.523598775598299,0.573449270964632,-0.049850495366333,0.0109684128699571
0.292,0.523598775598299,0.573628325451723,-0.0500295498534241,0.0106965544593
0.293,0.523598775598299,0.573805873267079,-0.0502070976687798,0.0104194671516259
0.294,0.523598775598299,0.573981849158398,-0.0503830735600995,0.0101375573811503
0.295,0.523598775598299,0.574156187556371,-0.0505574119580723,0.00985122259919682
0.296,0.523598775598299,0.574328822786309,-0.0507300471880099,0.00956085103805906
0.297,0.523598775598299,0.574499689267621,-0.0509009136693224,0.00926682150372429
0.298,0.523598775598299,0.574668721701463,-0.0510699461031641,0.00896950319622527
0.299,0.523598775598299,0.574835855246884,-0.051237079648585,0.00866925555643841
0.3,0.523598775598299,0.575001025685818,-0.0514022500875195,0.00836642813813318
0.301,0.523598775598299,0.575164169577247,-0.0515653939789487,0.00806136050412567
0.302,0.523598775598299,0.575325224400868,-0.0517264488025688,0.00775438214539728
0.303,0.523598775598299,0.575484128690602,-0.0518853530923032,0.00744581242206568
0.304,0.523598775598299,0.575640822158285,-0.0520420465599866,0.00713596052511836
0.305,0.523598775598299,0.575795245807855,-0.0521964702095565,0.00682512545784588
0.306,0.523598775598299,0.575947342040381,-0.052348566442082,0.00651359603593318
0.307,0.523598775598299,0.57609705475025,-0.0524982791519508,0.00620165090519001
0.308,0.523598775598299,0.576244329412847,-0.0526455538145484,0.00588955857593701
0.309,0.523598775598299,0.57638911316404,-0.0527903375657407,0.0055775774730761
0.31,0.523598775598299,0.576531354871783,-0.0529325792734838,0.00526595600091109
0.311,0.523598775598299,0.576671005200171,-0.0530722296018722,0.00495493262180049
0.312,0.523598775598299,0.576808016666231,-0.053209241067932,0.00464473594776318
0.313,0.523598775598299,0.576942343689768,-0.0533435680914688,0.0043355848441701
0.314,0.523598775598299,0.577073942636564,-0.0534751670382647,0.00402768854468918
0.315,0.523598775598299,0.577202771855221,-0.0536039962569217,0.00372124677667954
0.316,0.523598775598299,0.577328791707939,-0.0537300161096398,0.00341644989624914
0.317,0.523598775598299,0.577451964595513,-0.053853188997214,0.00311347903222017
0.318,0.523598775598299,0.577572254976827,-0.0539734793785277,0.00281250623827547
0.319,0.523598775598299,0.577689629383113,-0.0540908537848146,0.00251369465258091
0.32,0.523598775598299,0.577804056427255,-0.0542052808289558,0.00221719866420514
0.321,0.523598775598299,0.577915506808371,-0.0543167312100717,0.00192316408568196
0.322,0.523598775598299,0.578023953311962,-0.054425177713663,0.00163172833109284
0.323,0.523598775598299,0.578129370805846,-0.0545305952075473,0.00134302059905869
0.324,0.523598775598299,0.578231736232133,-0.0546329606338342,0.0010571620600707
0.325,0.523598775598299,0.57833102859547,-0.0547322529971713,0.000774266047598807
0.326,0.523598775598299,0.578427228947791,-0.0548284533494922,0.000494438252450017
0.327,0.523598775598299,0.578520320369784,-0.0549215447714847,0.000217776919868265
0.328,0.523598775598299,0.578610287949297,-0.0550115123509984,-5.5626951107476e-05
0.329,0.523598775598299,0.578697118756895,-0.055098343158596,-0.000325689406490778
0.33,0.523598775598299,0.578780801818752,-0.0551820262204537,-0.00059233333484174
0.331,0.523598775598299,0.578861328087104,-0.0552625524888053,-0.00085548826382151
0.332,0.523598775598299,0.578938690408417,-0.0553399148101177,-0.00111509015621256
0.333,0.523598775598299,0.579012883489481,-0.0554141078911822,-0.00137108120577065
0.334,0.523598775598299,0.579083903861595,-0.0554851282632964,-0.00162340963327709
0.335,0.523598775598299,0.579151749843006,-0.0555529742447074,-0.00187202948311768
0.336,0.523598775598299,0.579216421499777,-0.0556176459014786,-0.00211690042071275
0.337,0.523598775598299,0.579277920605237,-0.055679145006938,-0.00235798753109426
0.338,0.523598775598299,0.579336250598159,-0.0557374749998605,-0.0025952611189127
0.339,0.523598775598299,0.579391416539823,-0.0557926409415238,-0.00282869651013193
0.34,0.523598775598299,0.579443425070084,-0.055844649471785,-0.00305827385566757
