scenario,preMaxAbsPositionDelta_rad,activePositionDeltaRMSE_rad,activeMaxAbsPositionDelta_rad,activeMaxAbsMeasurementDelta_rad,activeMaxAbsCommandDelta_V,postMaxAbsPositionDelta_rad,packetDropFraction,missingUpdateFraction,meanMeasurementAge_samples,maxMeasurementAge_samples,recoveryTime_s,recoveryCensored
none,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,0
capacitive_coupling,0,8.3170303470883e-06,2.20341383905254e-05,0.00102278894925667,0.00277286095584649,2.12000464090423e-05,0,0,0,0,2.22044604925031e-16,0
inductive_coupling,0,1.32572159700033e-05,3.69438124494526e-05,0.00392900504646065,0.0106440669622112,3.3030605306128e-05,0,0,0,0,2.22044604925031e-16,0
shared_impedance,0,5.34564146445812e-05,0.000141702208205752,0.00664137918989893,0.0179947843476835,0.00013624315956684,0,0,0,0,2.22044604925031e-16,0
combined_coupling,0,7.47538310220359e-05,0.000198931045900852,0.0104225038042941,0.0281679443850777,0.000190301035014717,0,0,0,0,2.22044604925031e-16,0
ground_offset,0,0.00163359894348666,0.00193257078877951,0.00174532925199433,0.00469097548210301,0.00193264116927205,0,0,0,0,0.0489999999999999,0
communication_delay,0,0.000366654000688514,0.000606360087576308,0.000661971773559533,0.0017040181432315,0.000122931355349243,0,0.02,7.93,8,0,0
communication_jitter,0,9.50002643790811e-05,0.000142965599978284,0.000409509249509776,0.00106356967604913,4.43043340860871e-05,0,0.6125,2.3175,6,0,0
packet_loss,0,1.30834499246391e-05,2.04132198977636e-05,0.000300704631048587,0.000791497339227419,5.80196359822871e-06,0.2275,0.2275,0.3,4,0,0
combined_phase2b,0,0.00105367183820571,0.00223463596341256,0.0141337905188649,0.0362474028859342,0.000642429153385526,0.2275,0.655,10.71,17,2.22044604925031e-16,0
