scenario,description,parameterSetId,parameterProvenance,capacitiveCouplingEnabled,inductiveCouplingEnabled,sharedImpedanceEnabled,groundOffsetEnabled,fixedDelayEnabled,jitterEnabled,packetLossEnabled,analysisStartTime_s,analysisStopTime_s,maxAbsReceiverDifferentialVoltage_V,receiverNoiseMargin_V,receiverMarginExceeded,maxTransmitDelay_samples,packetOpportunityCount,packetDropCount,jitterRandomSeed,packetLossRandomSeed
none,"Phase 2B reference case with every new mechanism disabled",REPRESENTATIVE-ACTUATOR-V0.2,Assumed reduced-order values for sensitivity analysis,0,0,0,0,0,0,0,NaN,NaN,0,0.2,0,0,0,0,260910,260911
capacitive_coupling,"Reduced-order capacitive near-field coupling only",REPRESENTATIVE-ACTUATOR-V0.2,Assumed reduced-order values for sensitivity analysis,1,0,0,0,0,0,0,0.85,1.15,0.00574863395409126,0.2,0,0,0,0,260910,260911
inductive_coupling,"Reduced-order inductive near-field coupling only",REPRESENTATIVE-ACTUATOR-V0.2,Assumed reduced-order values for sensitivity analysis,0,1,0,0,0,0,0,0.85,1.15,0.02249999999352,0.2,0,0,0,0,260910,260911
shared_impedance,"Shared-return impedance coupling only",REPRESENTATIVE-ACTUATOR-V0.2,Assumed reduced-order values for sensitivity analysis,0,0,1,0,0,0,0,0.85,1.15,0.0374814960029204,0.2,0,0,0,0,260910,260911
combined_coupling,"Capacitive, inductive, and shared-return coupling together",REPRESENTATIVE-ACTUATOR-V0.2,Assumed reduced-order values for sensitivity analysis,1,1,1,0,0,0,0,0.85,1.15,0.0586268381820742,0.2,0,0,0,0,260910,260911
ground_offset,"Controller/receiver ground-reference offset only",REPRESENTATIVE-ACTUATOR-V0.2,Assumed reduced-order values for sensitivity analysis,0,0,0,1,0,0,0,0.85,1.1,0.01,0.2,0,0,0,0,260910,260911
communication_delay,"Fixed deterministic communication delay only",REPRESENTATIVE-ACTUATOR-V0.2,Assumed reduced-order values for sensitivity analysis,0,0,0,0,1,0,0,0.7,1.1,0,0.2,0,8,400,0,260910,260911
communication_jitter,"Seeded bounded communication jitter only",REPRESENTATIVE-ACTUATOR-V0.2,Assumed reduced-order values for sensitivity analysis,0,0,0,0,0,1,0,0.7,1.1,0,0.2,0,8,400,0,260910,260911
packet_loss,"Seeded packet loss with hold-last reception only",REPRESENTATIVE-ACTUATOR-V0.2,Assumed reduced-order values for sensitivity analysis,0,0,0,0,0,0,1,0.7,1.1,0,0.2,0,0,400,91,260910,260911
combined_phase2b,"Exploratory combination of every Phase 2B mechanism",REPRESENTATIVE-ACTUATOR-V0.2,Assumed reduced-order values for sensitivity analysis,1,1,1,1,1,1,1,0.7,1.15,0.0685028146598498,0.2,0,16,400,91,260910,260911
