Context,Parameter,Label,Role,MinRMSE_deg,MaxRMSE_deg,RMSESpan_deg,MaxTrajectoryChange_deg,MaxCommandChange_V,MinReceiverPeak_V,MaxReceiverPeak_V,AnyCensored
combined_phase2b,ground_voltage,Ground common-mode offset,response,0.0603709493209783,0.449760948816807,0.389389999495829,0.706987449937602,0.0281529769453695,0.0586268381820742,0.108626838182074,0
combined_phase2b,current_rise,Current rise time,response,0.0590652916482523,0.256573922117462,0.19750863046921,0.639833361578312,0.0918043301085726,0.0330360382582464,0.214079947231809,0
combined_phase2b,ind_imbalance,Inductive imbalance,response,0.0603709493209783,0.236972769813081,0.176601820492103,0.590518816507807,0.0856726320387905,0.0421118156958792,0.152675885348598,0
combined_phase2b,shared_conversion,Shared-return CM-to-DM factor,response,0.0564225899624609,0.23290697404366,0.176484384081199,0.589648204976237,0.0951912173889756,0.0332255748687748,0.217752265455873,0
combined_phase2b,envelope_frequency,Receiver-equivalent envelope frequency,response,0.0603709493209783,0.307071127484994,0.246700178164016,0.567078527575628,0.0731681885077665,0.0590165041376562,0.0686889036903279,0
combined_phase2b,angle_sensitivity,Equivalent voltage-to-angle gain,response,0.0272232387644006,0.267438245061743,0.240215006297343,0.553083787835563,0.146092471833363,0.0685028146598498,0.0685028146598498,0
combined_phase2b,return_inductance,Shared-return inductance,response,0.0563900953733716,0.193501450211911,0.137111354838539,0.471718563980951,0.0761529739111797,0.0425748851540393,0.187767068653537,0
combined_phase2b,ground_conversion,Ground CM-to-DM factor,response,0.059085084004554,0.330992596000896,0.271907511996342,0.471324966625129,0.0187686512969117,0.0586268381820742,0.10850281465985,0
combined_phase2b,current_step,Commutation current step,response,0.058378699424403,0.119229732751656,0.0608510333272529,0.242438373814403,0.0348475201745157,0.0229721590904441,0.124230728157672,0
combined_phase2b,bandwidth,Equivalent baseband bandwidth,response,0.0578955732640707,0.0767719198704868,0.0188763466064162,0.189164073846847,0.0276709380053078,0.0241890167239979,0.0685028146724864,0
combined_phase2b,ind_transfer,Inductive transfer factor,response,0.060009938473834,0.0758871892723469,0.0158772507985129,0.0984198027513044,0.0142787720064652,0.0514602074116544,0.0882197149551582,0
combined_phase2b,return_resistance,Shared-return resistance,response,0.0579491085249503,0.0768737218586347,0.0189246133336844,0.0884472307464674,0.0142786826083476,0.0627410525474474,0.0903151790459446,0
combined_phase2b,cap_imbalance,Capacitive imbalance,response,0.0494277405359293,0.07314406593533,0.0237163253994007,0.0857936421337942,0.0182187942967399,0.0590165042803788,0.0835982467602473,0
combined_phase2b,cap_transfer,Capacitive transfer factor,response,0.057717822194205,0.07314406593533,0.015426243741125,0.0571957614225252,0.0121458628644926,0.0657279134978227,0.0835982467602473,0
combined_phase2b,voltage_rise,Voltage rise time,response,0.0583560956320345,0.0696841154894213,0.0113280198573868,0.0428968210669067,0.00910939714836993,0.0664216387883294,0.0796552554312332,0
combined_phase2b,voltage_step,Aggressor voltage step,response,0.0583560956320345,0.0632706450237584,0.0049145493917239,0.0142989403556504,0.00303646571612345,0.0664216387883294,0.071769272773206,0
combined_phase2b,termination,Differential termination,response,0.0590114137331707,0.0632706450237584,0.00425923129058773,0.0142989403556504,0.00303646571612345,0.0671153640788362,0.071769272773206,0
combined_phase2b,cap_mean,Mean paired capacitance,inactive,0.0603709493209774,0.0603709493209783,8.88178419700125e-16,6.36110936292703e-15,3.13984949151802e-16,0.0685028146598498,0.0685028146598498,0
combined_phase2b,ind_mean,Mean paired mutual inductance,inactive,0.0603709493209783,0.0603709493209786,2.42861286636753e-16,6.36110936292703e-15,5.41233724504764e-16,0.0685028146598497,0.0685028146598498,0
combined_phase2b,noise_margin,Differential diagnostic margin,diagnostic,0.0603709493209783,0.0603709493209783,0,0,0,0.0685028146598498,0.0685028146598498,0
combined_phase2b,common_mode_limit,Common-mode diagnostic limit,diagnostic,0.0603709493209783,0.0603709493209783,0,0,0,0.0685028146598498,0.0685028146598498,0
combined_phase2b,receiver_capacitance,Receiver differential capacitance,derived_only,0.0603709493209783,0.0603709493209783,0,0,0,0.0685028146598498,0.0685028146598498,0
combined_phase2b,pwm_frequency,PWM frequency (context only),inactive,0.0603709493209783,0.0603709493209783,0,0,0,0.0685028146598498,0.0685028146598498,0
combined_phase2b,voltage_fall,Voltage fall time (reserved),inactive,0.0603709493209783,0.0603709493209783,0,0,0,0.0685028146598498,0.0685028146598498,0
combined_phase2b,minimum_pulse,Minimum pulse width (reserved),inactive,0.0603709493209783,0.0603709493209783,0,0,0,0.0685028146598498,0.0685028146598498,0
combined_phase2b,count_cap,Spurious count cap (reserved),inactive,0.0603709493209783,0.0603709493209783,0,0,0,0.0685028146598498,0.0685028146598498,0
physical_only,ground_voltage,Ground common-mode offset,response,0.00349711937567065,0.379719155364112,0.376222035988441,0.66439309387502,0.0282486640293984,0.0586268381820742,0.108626838182074,0
physical_only,angle_sensitivity,Equivalent voltage-to-angle gain,response,0.00769303883452448,0.384651941726067,0.376958902891543,0.445557101303687,0.128194481966328,0.0685028146598498,0.0685028146598498,0
physical_only,ground_conversion,Ground CM-to-DM factor,response,0.00349711937567065,0.379719155364112,0.376222035988441,0.442928729250062,0.0188324426862673,0.0586268381820742,0.10850281465985,0
physical_only,envelope_frequency,Receiver-equivalent envelope frequency,response,0.0762592181563046,0.264801097096927,0.188541878940623,0.433181166917997,0.0590626152480462,0.0590165041376562,0.0686889036903279,0
physical_only,shared_conversion,Shared-return CM-to-DM factor,response,0.0760372900113747,0.0811777318669927,0.00514044185561804,0.0324757539115772,0.0719791373907361,0.0332255748687748,0.217752265455873,0
physical_only,return_inductance,Shared-return inductance,response,0.0762801476672852,0.0802465336728626,0.00396638600557737,0.0259806031292389,0.0575833099125885,0.0425748851540393,0.187767068653537,0
physical_only,current_rise,Current rise time,response,0.076235141733326,0.0801307050904108,0.0038955633570848,0.0255957307491716,0.0699046641047661,0.0330360382582464,0.214079947231809,0
physical_only,ind_imbalance,Inductive imbalance,response,0.075731918445013,0.0778180218217737,0.00208610337676067,0.0127003471948972,0.0638644017732696,0.0421118156958792,0.152675885348598,0
physical_only,current_step,Commutation current step,response,0.0760171831163529,0.0781257405849812,0.00210855746862833,0.01015569794531,0.0266499036983053,0.0229721590904441,0.124230728157672,0
physical_only,bandwidth,Equivalent baseband bandwidth,response,0.0759940157296931,0.0769303883454898,0.000936372615796752,0.00863351027652166,0.0213362143856856,0.0241890167239979,0.0685028146724864,0
physical_only,cap_imbalance,Capacitive imbalance,response,0.0760783190012119,0.0775322911955434,0.00145397219433153,0.00757477880979121,0.0166371657350751,0.0590165042803788,0.0835982467602473,0
